
[00:00:00.000 --> 00:00:03.000]  原來我們每個星期可以回來崇拜是一份恩典的
[00:00:03.000 --> 00:00:06.120]  原來我們每個星期能夠到教會里面崇拜是一個恩典
[00:00:06.120 --> 00:00:09.120]  每個星期見到弟兄姊妹不是一件必然的事情
[00:00:09.120 --> 00:00:11.720]  每個星期能夠見到弟兄姊妹不是一個必然的事情
[00:00:11.720 --> 00:00:13.960]  保羅在羅馬書有這樣的體會
[00:00:13.960 --> 00:00:15.760]  保羅在羅馬書有這樣的體會
[00:00:15.760 --> 00:00:19.040]  他說誰能使我們與基督的愛隔絕呢?
[00:00:19.040 --> 00:00:21.680]  他說誰能使我們與基督的愛隔絕呢?
[00:00:21.680 --> 00:00:23.160]  他說難道是患難嗎?
[00:00:23.160 --> 00:00:24.440]  他說難道是患難嗎?
[00:00:24.440 --> 00:00:25.400]  是困苦嗎?
[00:00:25.400 --> 00:00:26.040]  是困苦嗎?
[00:00:26.040 --> 00:00:26.800]  是逼邦嗎?
[00:00:26.800 --> 00:00:28.160]  是飢餓嗎?
[00:00:28.160 --> 00:00:28.840]  是飢餓嗎?
[00:00:28.840 --> 00:00:29.840]  是赤身怒體嗎?
[00:00:29.840 --> 00:00:30.520]  是赤身怒體嗎?
[00:00:30.520 --> 00:00:31.400]  是危險嗎?
[00:00:31.400 --> 00:00:31.960]  是危險嗎?
[00:00:31.960 --> 00:00:32.720]  是刀劍嗎?
[00:00:32.720 --> 00:00:33.920]  是刀劍嗎?
[00:00:33.920 --> 00:00:38.800]  你留意保羅說到一定外在的環境
[00:00:38.800 --> 00:00:40.800]  你看保羅在說一些外在的環境
[00:00:40.800 --> 00:00:42.400]  或者自身的限制
[00:00:42.400 --> 00:00:43.600]  或者一些自身的限制
[00:00:43.600 --> 00:00:46.240]  這些都不能與基督的愛隔絕
[00:00:46.240 --> 00:00:48.000]  這些都不能讓我們與基督的愛隔絕
[00:00:48.000 --> 00:00:50.040]  可能今時今日我們要加上一句
[00:00:50.040 --> 00:00:52.080]  可能今時今日我們要加上一句
[00:00:52.080 --> 00:00:54.600]  難道是新冠狀病毒肺炎嗎?
[00:00:54.600 --> 00:00:57.200]  難道是新冠狀病毒肺炎嗎?
[00:00:57.200 --> 00:00:58.200]  求主教導我們
[00:00:58.200 --> 00:00:59.200]  求主教導我們
[00:00:59.200 --> 00:01:01.520]  我們在禱告裏面彼此守望
[00:01:01.520 --> 00:01:03.120]  我們在禱告裏面彼此守望
[00:01:03.120 --> 00:01:04.560]  我們面目的分離
[00:01:04.560 --> 00:01:06.400]  我們面目雖然是分離
[00:01:06.400 --> 00:01:07.720]  我們的心卻不分離
[00:01:07.720 --> 00:01:09.440]  但是我們心卻沒有分離
[00:01:09.440 --> 00:01:14.440]  有一個農夫養了一羣雞
[00:01:14.440 --> 00:01:17.240]  有一位農夫養了一羣雞
[00:01:17.240 --> 00:01:21.680]  他每天都按時去餵食這些雞
[00:01:21.680 --> 00:01:26.080]  他每天都按時去餵食這些雞
[00:01:26.080 --> 00:01:29.400]  每次那些雞見到農夫出現的時候
[00:01:29.400 --> 00:01:32.040]  每次那些雞見到農夫出現的時候
[00:01:32.040 --> 00:01:35.200]  每次那些雞見到農夫出現的時候
[00:01:35.200 --> 00:01:37.200]  然後聽到雞的叫聲
[00:01:37.200 --> 00:01:38.880]  這些雞就知道要開飯了
[00:01:38.880 --> 00:01:40.560]  這些雞就知道要開飯了
[00:01:40.560 --> 00:01:43.160]  如是者,日復一日,年復一年
[00:01:43.160 --> 00:01:46.160]  如是者,日復一日,年復一年
[00:01:46.160 --> 00:01:50.080]  這些雞都習慣了每天有人來供應
[00:01:50.080 --> 00:01:51.440]  這些雞都習慣了每天有人來供應
[00:01:51.440 --> 00:01:54.720]  這些雞都習慣了每天有人來供應
[00:01:54.720 --> 00:01:58.800]  因爲農夫都是定時出現
[00:01:58.800 --> 00:02:01.040]  直到有一天的早晨
[00:02:01.040 --> 00:02:05.720]  農夫繼續如常出現
[00:02:05.720 --> 00:02:08.440]  同樣用他充滿慈性
[00:02:08.440 --> 00:02:11.400]  好像慈母呼喚兒子的聲音
[00:02:11.400 --> 00:02:13.680]  同樣用他充滿慈性
[00:02:13.680 --> 00:02:16.840]  好像慈母呼喚兒子的聲音
[00:02:16.840 --> 00:02:22.400]  雞羣聽到聲音出來
[00:02:22.400 --> 00:02:24.600]  就調節反射,以爲要出來開飯
[00:02:24.600 --> 00:02:28.400]  雞聽到調節反射,以爲要出來開飯
[00:02:28.400 --> 00:02:31.480]  這次農夫沒有飯喫
[00:02:31.480 --> 00:02:33.640]  這次農夫沒有飯喫
[00:02:33.640 --> 00:02:36.800]  原來有個親友要路過探望他
