
[00:00:00.000 --> 00:00:03.000]  今天我們繼續講大衛的生平
[00:00:03.000 --> 00:00:07.000]  提及到大衛和約拿丹的友情
[00:00:07.000 --> 00:00:10.000]  當我思想這段經文的時候
[00:00:10.000 --> 00:00:12.000]  想到一個題目
[00:00:12.000 --> 00:00:15.000]  就是「肝膽相照的友情」
[00:00:15.000 --> 00:00:17.000]  想起一句話
[00:00:17.000 --> 00:00:19.000]  一直都在腦海裡面
[00:00:19.000 --> 00:00:23.000]  這句話是一個廣告的標語
[00:00:23.000 --> 00:00:26.000]  廣告標語是很多年了
[00:00:26.000 --> 00:00:28.000]  現在不知道有沒有用
[00:00:28.000 --> 00:00:32.000]  這個品牌就說
[00:00:32.000 --> 00:00:35.000]  「他是你的真正朋友」
[00:00:35.000 --> 00:00:38.000]  大家想到什麼廣告嗎?
[00:00:38.000 --> 00:00:40.000]  有些人知道
[00:00:40.000 --> 00:00:42.000]  「生力啤」
[00:00:42.000 --> 00:00:44.000]  「生力啤」
[00:00:44.000 --> 00:00:46.000]  「生力是你真正的朋友」
[00:00:46.000 --> 00:00:49.000]  我經常想到「真正朋友」
[00:00:49.000 --> 00:00:52.000]  所以這個廣告其實都很深入民心
[00:00:52.000 --> 00:00:56.000]  因為感覺到跟香港很親切
[00:00:56.000 --> 00:00:58.000]  這個口號出來之後
[00:00:58.000 --> 00:01:00.000]  一直都很親切
[00:01:00.000 --> 00:01:02.000]  一大班人很開心
[00:01:02.000 --> 00:01:05.000]  覺得是很可靠的品牌
[00:01:05.000 --> 00:01:10.000]  覺得令到消費者感到有親和力
[00:01:10.000 --> 00:01:13.000]  和有信任感
[00:01:13.000 --> 00:01:15.000]  所以一想到
[00:01:15.000 --> 00:01:18.000]  就會想到這個品牌
[00:01:18.000 --> 00:01:22.000]  這次我在大排檔看到真正的朋友
[00:01:22.000 --> 00:01:25.000]  他們一起在享用
[00:01:25.000 --> 00:01:27.000]  在真正的朋友之間
[00:01:27.000 --> 00:01:29.000]  一邊喝一邊喝
[00:01:29.000 --> 00:01:31.000]  我看到他們幾杯
[00:01:31.000 --> 00:01:34.000]  最後結帳的時候
[00:01:34.000 --> 00:01:37.000]  有些人喝多了
[00:01:37.000 --> 00:01:40.000]  有些衝突出現了
[00:01:40.000 --> 00:01:43.000]  每個人都臉紅
[00:01:43.000 --> 00:01:45.000]  一定是喝到臉都紅了
[00:01:45.000 --> 00:01:47.000]  臉紅耳綠
[00:01:47.000 --> 00:01:49.000]  有些口角
[00:01:49.000 --> 00:01:50.000]  差不多想動手
[00:01:50.000 --> 00:01:53.000]  不過都是大家抑制了
[00:01:53.000 --> 00:01:59.000]  可能都是因為賣單問題等等的事情
[00:01:59.000 --> 00:02:01.000]  真正朋友
[00:02:01.000 --> 00:02:05.000]  我記得這次又是一班真正朋友
[00:02:05.000 --> 00:02:07.000]  不過是在蒙古的
[00:02:07.000 --> 00:02:11.000]  蒙古他們喝的酒就厲害很多了
