
[00:00:00.000 --> 00:00:06.000]  今天跟大家分享的經文記載在《路加福音》第24章13到35節
[00:00:06.000 --> 00:00:11.000]  經文記載著兩位信徒沮喪離開耶路撒冷
[00:00:11.000 --> 00:00:15.000]  但最後他們很興奮,充滿盼望地回去
[00:00:15.000 --> 00:00:19.000]  這兩位信徒面對面與耶穌傾談
[00:00:19.000 --> 00:00:23.000]  與耶穌同行了大約兩至三個小時,甚至半天的時間
[00:00:23.000 --> 00:00:27.000]  但不知為何,他們竟然認不出耶穌來
[00:00:27.000 --> 00:00:31.000]  有學者認為這兩個門徒是一對夫妻
[00:00:31.000 --> 00:00:34.000]  也有人認為他們是一對父子
[00:00:34.000 --> 00:00:39.000]  適逢今天是父親節,我們就先當他們是父子
[00:00:39.000 --> 00:00:45.000]  聖經有十多處記載耶穌復活後顯現
[00:00:45.000 --> 00:00:48.000]  例如耶穌向多瑪顯現
[00:00:48.000 --> 00:00:52.000]  又例如在提比利亞海向門徒顯現
[00:00:52.000 --> 00:00:57.000]  但沒有一次比以馬五師的記載更詳盡、更精彩
[00:00:57.000 --> 00:01:02.000]  事實上,以馬五師的故事只有在《路加福音》中記載
[00:01:02.000 --> 00:01:07.000]  有信徒學家認為以馬五師的故事是《路加順學》的精髓
[00:01:07.000 --> 00:01:11.000]  能夠明白第24章,就能夠明白《路加福音》
[00:01:11.000 --> 00:01:13.000]  能夠明白《少騰傳》的脈絡
[00:01:13.000 --> 00:01:15.000]  對於早期教會來說
[00:01:15.000 --> 00:01:19.000]  以馬五師的故事為信徒帶來新的希望
[00:01:19.000 --> 00:01:24.000]  更加是信徒生活的典範
[00:01:24.000 --> 00:01:27.000]  希望今天的經文以馬五師的故事
[00:01:27.000 --> 00:01:31.000]  可以成為弟兄姊妹的鼓勵和提醒
[00:01:31.000 --> 00:01:34.000]  若果當中有未信的朋友,或是你從來未聽過這個故事的
[00:01:34.000 --> 00:01:37.000]  希望你也得到幫助
[00:01:37.000 --> 00:01:42.000]  開始之前我們一起一個簡短的禱告
[00:01:42.000 --> 00:01:44.000]  親愛的主耶穌,感謝你這個清神
[00:01:44.000 --> 00:01:47.000]  讓我們有一起思考你的話語的時間
[00:01:47.000 --> 00:01:49.000]  願你的靈與我們一起
[00:01:49.000 --> 00:01:51.000]  願你與我們一起同行
