
[00:00:00.000 --> 00:00:04.000]  好 今天就和大家來到崇拜的廣道裏面
[00:00:04.000 --> 00:00:07.000]  去看一個新的開始
[00:00:07.000 --> 00:00:09.000]  上幾次在崇拜裏面
[00:00:09.000 --> 00:00:10.000]  我都和大家來看一下
[00:00:10.000 --> 00:00:12.500]  我們怎樣做一個土著喜悅的人
[00:00:12.500 --> 00:00:15.000]  完了之後 我又有機會
[00:00:15.000 --> 00:00:18.500]  未來有幾次會在大堂來到廣道
[00:00:18.500 --> 00:00:19.500]  所以我都會想一下
[00:00:19.500 --> 00:00:21.500]  到底有甚麼訊息
[00:00:21.500 --> 00:00:26.500]  是可以和大家在聖經裏面一起領受
[00:00:26.500 --> 00:00:31.000]  我就想起我曾經在年初的時候
[00:00:31.000 --> 00:00:34.000]  原來都寫過一篇文章
[00:00:34.000 --> 00:00:35.000]  我想問一下大家
[00:00:35.000 --> 00:00:36.500]  不知道大家記不記得
[00:00:36.500 --> 00:00:39.000]  給大家看一下文章的題目
[00:00:39.000 --> 00:00:43.000]  Fat and Slim
[00:00:43.000 --> 00:00:46.000]  大家有沒有人還記得有篇文章看過
[00:00:46.000 --> 00:00:49.000]  不是教你瘦身 也不是教你美容
[00:00:49.000 --> 00:00:50.000]  下一張
[00:00:50.000 --> 00:00:52.000]  這個就是我年初的時候
[00:00:52.000 --> 00:00:55.000]  幫教會有一個訓練士工通訊
[00:00:55.000 --> 00:00:57.500]  用了Fat and Slim來做一個題目
[00:00:57.500 --> 00:01:00.000]  其實內容主要是和大家來分享
[00:01:00.000 --> 00:01:02.500]  提摩太后書裏面的一些經文
[00:01:02.500 --> 00:01:05.000]  最後 其實我因為剛剛是年初
[00:01:05.000 --> 00:01:09.000]  我就送了一份新年禮物給大家
[00:01:09.000 --> 00:01:13.000]  請大家回去今年好好讀一下提摩太后書
[00:01:13.000 --> 00:01:15.000]  有沒有誰回去讀過
[00:01:15.000 --> 00:01:17.500]  大家都很忙
[00:01:17.500 --> 00:01:19.000]  我見到有些人舉手
[00:01:19.000 --> 00:01:20.000]  大家都很忙
[00:01:20.000 --> 00:01:21.000]  所以我想大家都很忙
[00:01:21.000 --> 00:01:24.000]  我不如在廣道和大家一起看
[00:01:24.000 --> 00:01:28.000]  未來幾次我都會和大家看看提摩太后書
[00:01:28.000 --> 00:01:29.500]  提摩太后書一般來說
[00:01:29.500 --> 00:01:33.500]  我們都會將它看為保羅的最後一封信
[00:01:33.500 --> 00:01:35.500]  是保羅寫給提摩太太
[00:01:35.500 --> 00:01:38.000]  所以我們覺得保羅是在當中
[00:01:38.000 --> 00:01:39.500]  來吩咐提摩太太
[00:01:39.500 --> 00:01:42.500]  來給一些最語重心長的說話
[00:01:42.500 --> 00:01:44.000]  所以我就將題目叫做
[00:01:44.000 --> 00:01:46.000]  保羅的叮嚀
[00:01:46.000 --> 00:01:48.500]  今天我就會主要講第一章
[00:01:48.500 --> 00:01:52.500]  然後希望以後會繼續講完提摩太后書
[00:01:52.500 --> 00:01:54.500]  保羅的叮嚀給提摩太太
[00:01:54.500 --> 00:01:57.000]  其實有點像奧運的口號
[00:01:57.000 --> 00:01:59.500]  剛才我提過就是激勵新一代
[00:01:59.500 --> 00:02:01.000]  提摩太太相對保羅來說
[00:02:01.000 --> 00:02:02.500]  就是他的下一代
[00:02:02.500 --> 00:02:04.000]  是新的一代
[00:02:04.000 --> 00:02:06.500]  保羅他預備離開世界之前
[00:02:06.500 --> 00:02:09.500]  他知道他應該將一些最重要的說話
