
[00:00:00.000 --> 00:00:05.080]  我們揭開剛才的約翰福音第五章
[00:00:05.080 --> 00:00:07.480]  我們揭開約翰福音第五章
[00:00:07.480 --> 00:00:11.000]  不過揭開之前 我還要先講兩件事情
[00:00:11.000 --> 00:00:12.280]  講多兩件事情
[00:00:12.280 --> 00:00:13.200]  第一件事就是
[00:00:13.200 --> 00:00:16.680]  這次我講道的內容
[00:00:16.680 --> 00:00:18.440]  其實我二十多年前
[00:00:18.440 --> 00:00:22.440]  聽過培靈會蘇穎睿牧師講
[00:00:22.440 --> 00:00:24.440]  深深刻在我腦海裏面
[00:00:24.440 --> 00:00:26.840]  我都不知道我抄了他多少
[00:00:26.840 --> 00:00:27.800]  因為我沒有聽過
[00:00:27.800 --> 00:00:29.680]  不過總之我二十多年前是聽過
[00:00:29.680 --> 00:00:31.480]  啟發了我
[00:00:31.480 --> 00:00:34.760]  所以你們都快點去下個星期聽培靈會
[00:00:34.760 --> 00:00:36.760]  很厲害 影響你二十多年都不止
[00:00:36.760 --> 00:00:37.760]  或者不止
[00:00:37.760 --> 00:00:41.760]  所以我又給一些credit蘇牧師
[00:00:41.760 --> 00:00:43.080]  總之我聽完之後
[00:00:43.080 --> 00:00:45.000]  原來段經文是這個意思
[00:00:45.000 --> 00:00:46.880]  所以我是被啟發了
[00:00:46.880 --> 00:00:48.280]  但是我抄了多少
[00:00:48.280 --> 00:00:49.560]  我真的不知道 我沒有再聽
[00:00:49.560 --> 00:00:50.680]  第二
[00:00:50.680 --> 00:00:54.080]  很好 段經文講得很入心
[00:00:54.080 --> 00:00:56.480]  所以這個叫做七個記號
[00:00:56.480 --> 00:00:57.960]  或者七個神蹟
[00:00:57.960 --> 00:01:00.360]  所以你記住聽完之後
[00:01:00.360 --> 00:01:02.280]  嘩 真是這麼深
[00:01:02.280 --> 00:01:04.960]  這麼inspiring
[00:01:04.960 --> 00:01:06.960]  聖經的話語真是很寶貴
[00:01:06.960 --> 00:01:09.120]  那就要參加Fion
[00:01:09.120 --> 00:01:11.480]  即是孫姑娘將要來的主日學
[00:01:11.480 --> 00:01:12.280]  四堂而已
[00:01:12.280 --> 00:01:13.880]  就是講七個記號
[00:01:13.880 --> 00:01:16.280]  廣告完畢 行不行
[00:01:16.280 --> 00:01:17.480]  OK 收到
[00:01:17.480 --> 00:01:20.680]  我現在還要講一件事
[00:01:20.680 --> 00:01:22.480]  不知道你在生活裏面
[00:01:22.480 --> 00:01:24.280]  有沒有遇過一些人
[00:01:24.280 --> 00:01:25.880]  他是多多埋怨
[00:01:25.880 --> 00:01:29.680]  經常都有很多的投訴
[00:01:29.680 --> 00:01:31.080]  不關我的事
[00:01:31.080 --> 00:01:32.480]  有沒有遇過這樣的人
[00:01:32.480 --> 00:01:34.680]  照我自己做了幾十年人
[00:01:34.680 --> 00:01:35.680]  一般來說
[00:01:35.680 --> 00:01:37.080]  我們認識的群體裏面
[00:01:37.080 --> 00:01:40.280]  一般有3%至5%這類型的人
[00:01:40.280 --> 00:01:41.480]  有沒有
[00:01:41.480 --> 00:01:42.280]  如果你說沒有
[00:01:42.280 --> 00:01:45.480]  OK 平時遇見的人都是好人
[00:01:45.480 --> 00:01:46.680]  但是一般來說
[00:01:46.680 --> 00:01:49.880]  在任何一個群體都有3%至5%的人
[00:01:49.880 --> 00:01:51.880]  是很多埋怨的
[00:01:51.880 --> 00:01:53.880]  尤其是我以前上班的時候
[00:01:53.880 --> 00:01:57.680]  「我們公司死定了 沒得做了」
[00:01:57.680 --> 00:01:59.680]  「產品又殘又不好」
[00:01:59.680 --> 00:02:01.680]  總之很多埋怨 很多投訴
[00:02:01.680 --> 00:02:03.880]  「這次不行了 死定了」
[00:02:03.880 --> 00:02:08.080]  他經常都說每件事都不行
[00:02:08.080 --> 00:02:09.880]  但他又沒有什麼改變
[00:02:09.880 --> 00:02:11.680]  一會兒我們再聽下去
[00:02:11.680 --> 00:02:13.080]  我今天講這段經文
[00:02:13.080 --> 00:02:14.280]  我們揭下去
[00:02:14.280 --> 00:02:18.080]  《約翰福音》第五章
[00:02:18.080 --> 00:02:20.480]  我們看回第一節開始看
[00:02:20.480 --> 00:02:22.480]  《約翰福音》第五章
[00:02:22.480 --> 00:02:24.480]  現在揭下去 第五章
[00:02:24.480 --> 00:02:26.080]  不要看PowerPoint
