
[00:00:00.000 --> 00:00:06.400]  我們在開始的時候,我們還是先在神的面前先禱告,好嗎?
[00:00:06.400 --> 00:00:08.900]  我們一起,下一次禱告
[00:00:08.900 --> 00:00:14.000]  親愛的聖天父,感謝祢,將祢的話語寫下來
[00:00:14.000 --> 00:00:21.600]  教導我們行事,能夠向耶穌基督
[00:00:21.600 --> 00:00:28.400]  求祢幫忙我們,準備我們的心
[00:00:30.900 --> 00:00:34.800]  聖靈運轉在我們每一個人的心靈裏面
[00:00:34.800 --> 00:00:41.000]  讓我們明白祢的旨意和教導
[00:00:41.000 --> 00:00:46.000]  禱告是奉主耶穌基督的命求
[00:00:46.000 --> 00:00:54.600]  感謝Mary讀的聖經很清楚
[00:00:59.200 --> 00:01:07.000]  每個星期天,我們開始學習神的話語的時候,是從讀經開始
[00:01:07.000 --> 00:01:15.000]  先聽清楚讀經
[00:01:15.000 --> 00:01:21.000]  然後在台上講解神的話
[00:01:21.000 --> 00:01:27.000]  這樣才能夠全套地吸收
[00:01:30.000 --> 00:01:38.000]  那好了,我回到我今天要講的主題,就是受苦的王
[00:01:38.000 --> 00:01:52.000]  我記得是兩個月前,是開始天國的講道
[00:01:57.000 --> 00:02:01.000]  我剛剛是第一次開始的,是我講的第一次
[00:02:01.000 --> 00:02:09.000]  然後到今天,也剛剛好有一些高潮出現
[00:02:09.000 --> 00:02:18.000]  我想這是神的安排,讓我講第一次和這一次的高潮
[00:02:23.000 --> 00:02:30.000]  讓我們可以將頭一次和今天的一次,合在一起來思考
[00:02:30.000 --> 00:02:38.000]  還記得我們第一次的重點嗎?可能難一點
[00:02:38.000 --> 00:02:43.000]  什麼是天國呢?
[00:02:43.000 --> 00:02:51.000]  余牧師也給我們溫習了,其實他也溫習過好幾次了
[00:02:51.000 --> 00:02:53.000]  什麼是天國呢?
[00:02:53.000 --> 00:03:05.000]  說是重點,重點不是在地域、國際、經濟和民生等
[00:03:05.000 --> 00:03:15.000]  最重要的是在天國的王身上
[00:03:15.000 --> 00:03:19.000]  那就是耶穌基督
[00:03:20.000 --> 00:03:24.000]  所以為什麼天國的系列,或者是馬可福音
[00:03:24.000 --> 00:03:31.000]  沒有說很多天國的經濟、民生等,沒有說這些
[00:03:31.000 --> 00:03:42.000]  而且天國的實現也是將來的
[00:03:47.000 --> 00:03:50.000]  所以主耶穌沒有講那些
[00:03:50.000 --> 00:03:56.000]  而是祂常常讓我們見到祂自己
[00:03:56.000 --> 00:04:02.000]  和祂對我們門徒的教導
[00:04:02.000 --> 00:04:09.000]  那好了,今天是回到今天的時候
[00:04:09.000 --> 00:04:16.000]  今天剛剛是講到我們的君王耶穌基督是被釘在十字架上
[00:04:18.000 --> 00:04:22.000]  可以說是馬可福音的記載在這裡是一個高潮
[00:04:22.000 --> 00:04:31.000]  如果你是已經是跟著每次的講道去聽
[00:04:31.000 --> 00:04:34.000]  或者是你自己讀過馬可福音
[00:04:34.000 --> 00:04:42.000]  也許你和我現在都有一種痛心的感覺
[00:04:48.000 --> 00:04:51.000]  因為神指派的那個君王
[00:04:51.000 --> 00:05:05.000]  尊貴、有權柄能力和智慧的君王
[00:05:05.000 --> 00:05:10.000]  竟然被釘在十字架上
[00:05:10.000 --> 00:05:16.000]  在人的眼光中這是一個冤案
[00:05:18.000 --> 00:05:22.000]  也許你和我都在心裡面說一句這麼沉重的話
[00:05:22.000 --> 00:05:28.000]  就是那個英語說的
[00:05:28.000 --> 00:05:35.000]  或者好像英文所說
[00:05:35.000 --> 00:05:39.000]  那個王死了,但願王萬歲
[00:05:39.000 --> 00:05:45.000]  但是我講到現在
[00:05:47.000 --> 00:05:52.000]  我建議你可能心水,你細心的人可能會注意到一點
[00:05:52.000 --> 00:06:01.000]  你有沒有發現我們講了那麼多次
[00:06:01.000 --> 00:06:06.000]  天國君王
[00:06:06.000 --> 00:06:11.000]  有沒有說到耶穌是天國的君王
[00:06:17.000 --> 00:06:20.000]  你們口頭有說,但是經文裡面沒有寫
[00:06:20.000 --> 00:06:26.000]  我講的經文沒有
[00:06:26.000 --> 00:06:31.000]  余牧師講的也沒有
[00:06:31.000 --> 00:06:37.000]  在馬可福音的第一章第一節
[00:06:37.000 --> 00:06:39.000]  他是這樣說的
[00:06:39.000 --> 00:06:44.000]  神的兒子耶穌基督的福音是這樣開始的
[00:06:48.000 --> 00:06:50.000]  也沒有說耶穌是君王
[00:06:50.000 --> 00:06:58.000]  而且如果你是聽余牧師的講道
[00:06:58.000 --> 00:07:01.000]  他每次都在講解有關耶穌的教訓
[00:07:01.000 --> 00:07:10.000]  教導我們怎樣做忠心的門徒
[00:07:15.000 --> 00:07:18.000]  但只要提到耶穌是基督
[00:07:18.000 --> 00:07:26.000]  在八章二十六節就提到這一點
[00:07:26.000 --> 00:07:31.000]  但是也沒有說他是君王
[00:07:31.000 --> 00:07:35.000]  為什麼
[00:07:35.000 --> 00:07:39.000]  是不是我們想多了
[00:07:39.000 --> 00:07:43.000]  在經文上加了一點東西上去
[00:07:45.000 --> 00:07:46.000]  沒有
[00:07:46.000 --> 00:07:48.000]  第一
[00:07:48.000 --> 00:07:54.000]  舊約的基督就是彌賽亞
[00:07:54.000 --> 00:07:57.000]  就包含了有君王的身份在裡面
[00:07:57.000 --> 00:08:03.000]  在舊約裡面基督的原文是彌賽亞
[00:08:03.000 --> 00:08:06.000]  其實這個涵義就是君王的意思
[00:08:06.000 --> 00:08:09.000]  第二
[00:08:09.000 --> 00:08:13.000]  馬可福音就是故意不說耶穌是君王
[00:08:16.000 --> 00:08:18.000]  馬可福音是故意不講清楚的
[00:08:18.000 --> 00:08:22.000]  一直等到今天的高潮才清楚地說
[00:08:22.000 --> 00:08:25.000]  耶穌是君王
[00:08:25.000 --> 00:08:29.000]  一直等到今天這段經文高潮的時候
[00:08:29.000 --> 00:08:31.000]  才講出耶穌是君王
[00:08:31.000 --> 00:08:36.000]  我們可以看看今天的經文在十五章二節那裡
[00:08:36.000 --> 00:08:43.000]  比拉多問他就是問耶穌
[00:08:43.000 --> 00:08:46.000]  你是猶太人的王嗎
[00:08:46.000 --> 00:08:51.000]  在我們的信中版是說
[00:08:51.000 --> 00:08:53.000]  這是你說的
[00:08:53.000 --> 00:08:56.000]  翻成是這是你說的
[00:08:56.000 --> 00:09:03.000]  但是在荷荷本的翻譯是你說的是
[00:09:03.000 --> 00:09:09.000]  因為那個原文是
[00:09:10.000 --> 00:09:13.000]  因為那個原文是
[00:09:13.000 --> 00:09:15.000]  希臘文是
[00:09:15.000 --> 00:09:20.000]  原文是希臘文
[00:09:20.000 --> 00:09:23.000]  它的意思是可以翻成兩個意思
[00:09:23.000 --> 00:09:26.000]  那將這個希臘文翻出來
[00:09:26.000 --> 00:09:28.000]  就是信中版也可以荷荷本也可以
[00:09:28.000 --> 00:09:32.000]  但是我想跟著一整個的
[00:09:32.000 --> 00:09:38.000]  馬可福音的那個敘事的那個流程
[00:09:38.000 --> 00:09:41.000]  應該說是翻譯成
[00:09:41.000 --> 00:09:43.000]  這是你說的
[00:09:43.000 --> 00:09:46.000]  你說的是會好一點
[00:09:46.000 --> 00:09:56.000]  然後在這裡的第九十二十八三十一節
[00:09:56.000 --> 00:09:59.000]  都說到耶穌君王的身份
[00:09:59.000 --> 00:10:06.000]  所以明白了嗎
[00:10:06.000 --> 00:10:07.000]  這個道理了嗎
[00:10:07.000 --> 00:10:11.000]  到現在聖經才證實的說清楚
[00:10:11.000 --> 00:10:13.000]  耶穌是君王
[00:10:13.000 --> 00:10:22.000]  但這位君王是被無辜的殺害
[00:10:22.000 --> 00:10:28.000]  這裡的經文清楚的說到
[00:10:28.000 --> 00:10:31.000]  比拉多是查不出耶穌有什麼罪
[00:10:37.000 --> 00:10:40.000]  也明白猶太人為什麼要殺耶穌
[00:10:40.000 --> 00:10:41.000]  是因為嫉妒
[00:10:41.000 --> 00:10:48.000]  為什麼嫉妒呢
[00:10:48.000 --> 00:10:53.000]  因為耶穌威脅著他們的統治權柄
[00:10:53.000 --> 00:11:00.000]  然後這裡的經文說到
[00:11:00.000 --> 00:11:03.000]  耶穌就這樣被掛在十字架上
[00:11:08.000 --> 00:11:12.000]  我們今天就再深一層的來思想一下
[00:11:12.000 --> 00:11:20.000]  耶穌怎樣的面對受苦和死亡
[00:11:20.000 --> 00:11:27.000]  有沒有注意耶穌在這個記載上面
[00:11:27.000 --> 00:11:29.000]  耶穌說了什麼話
[00:11:29.000 --> 00:11:35.000]  有什麼樣的表現
[00:11:38.000 --> 00:11:40.000]  在這裡的記載
[00:11:40.000 --> 00:11:44.000]  耶穌只說過一句話
[00:11:44.000 --> 00:11:48.000]  就是剛才你說的事
[00:11:48.000 --> 00:11:53.000]  祂沒有退縮
[00:11:53.000 --> 00:11:58.000]  祂沒有爭辯
[00:11:58.000 --> 00:12:01.000]  沒有呼天喊地
[00:12:01.000 --> 00:12:06.000]  但是你不要以為耶穌沒有感覺
[00:12:08.000 --> 00:12:12.000]  在上一章34節就記載了祂的感覺
[00:12:12.000 --> 00:12:20.000]  祂在克西瑪利園禱告的時候
[00:12:20.000 --> 00:12:22.000]  聖經是這樣記載
[00:12:22.000 --> 00:12:30.000]  聖經說祂是非常憂傷
[00:12:30.000 --> 00:12:35.000]  幾乎要死
[00:12:38.000 --> 00:12:41.000]  但是當面臨這個迫害的時候
[00:12:41.000 --> 00:12:48.000]  祂是從容不迫地面對
[00:12:48.000 --> 00:12:54.000]  為的是要完成神交給祂的使命
[00:12:54.000 --> 00:13:01.000]  我想了聖經將耶穌王者的身份
[00:13:01.000 --> 00:13:04.000]  和祂的受苦放在一起
[00:13:08.000 --> 00:13:10.000]  這樣的介紹是有深意的
[00:13:10.000 --> 00:13:19.000]  祂為的是要突出耶穌的使命
[00:13:19.000 --> 00:13:25.000]  祂是一個受苦的君王
[00:13:25.000 --> 00:13:30.000]  為了我全人類的罪的代價
[00:13:35.000 --> 00:13:38.000]  為了你為了我為了全人類願意付上代價
[00:13:38.000 --> 00:13:43.000]  而且在眾多的反對聲音當中
[00:13:43.000 --> 00:13:48.000]  祂默默無聲地
[00:13:48.000 --> 00:13:52.000]  被掛在木頭上
[00:13:52.000 --> 00:14:00.000]  但我想耶穌最傷心的是
[00:14:00.000 --> 00:14:04.000]  祂自己最傷心的還不是死亡本身
[00:14:05.000 --> 00:14:08.000]  我相信耶穌最傷心的不是死亡本身
[00:14:08.000 --> 00:14:13.000]  有沒有想過耶穌最傷心的是什麼事呢?
[00:14:13.000 --> 00:14:17.000]  我想第一個
[00:14:17.000 --> 00:14:21.000]  是祂與父神分離了
[00:14:21.000 --> 00:14:26.000]  因為祂承擔了千千萬萬的人的罪
