
[00:00:00.000 --> 00:00:06.500]  我們今天繼續看瑪麗基書領受神兵的訊息
[00:00:06.500 --> 00:00:13.000]  好像大家過去兩星期前聽過瑪麗基書的講述
[00:00:13.000 --> 00:00:15.000]  有幾多印象
[00:00:15.000 --> 00:00:17.000]  不要緊,這些很正常的
[00:00:17.000 --> 00:00:19.000]  記得記住多少
[00:00:19.000 --> 00:00:21.000]  反正我們仍然有時間
[00:00:21.000 --> 00:00:23.000]  大家可以回去看瑪麗基書
[00:00:23.000 --> 00:00:33.000]  多收集一些經文,相信能幫助我們兩個人領受神兵的訊息
[00:00:33.000 --> 00:00:35.000]  但是當時我的意思是
[00:00:35.000 --> 00:00:39.000]  大家跟前輩說你今天不可以做神兵訊息
[00:00:39.000 --> 00:00:41.000]  你要多收集經文,比較長一點
[00:00:41.000 --> 00:00:44.000]  才能夠教讀部份的經文
[00:00:44.000 --> 00:00:47.000]  所以大家希望你們有機會看到
[00:00:47.000 --> 00:00:51.000]  可以多收集一些童話的經文
[00:00:51.000 --> 00:00:55.000]  童話經歷上主的指引
[00:00:55.000 --> 00:00:57.000]  上次最重要是
[00:00:57.000 --> 00:01:05.000]  我們在二千年人身上所領受的鑒戒
[00:01:05.000 --> 00:01:07.000]  或是警戒在人身上
[00:01:07.000 --> 00:01:09.000]  上次主要提到
[00:01:09.000 --> 00:01:11.000]  第一部的神諭堂
[00:01:11.000 --> 00:01:14.000]  在瑪麗基書有六代神諭
[00:01:14.000 --> 00:01:17.000]  第一個是一章的一部五節
[00:01:17.000 --> 00:01:23.000]  然後看第二個和第三部的神
[00:01:23.000 --> 00:01:25.000]  神為甚麼要宣告
[00:01:25.000 --> 00:01:27.000]  為甚麼要為人的神
[00:01:27.000 --> 00:01:29.000]  為甚麼要敬畏我
[00:01:29.000 --> 00:01:31.000]  為甚麼要為人的神
[00:01:31.000 --> 00:01:35.000]  第一節講到神的愛意識
[00:01:35.000 --> 00:01:37.000]  同樣是愛你和我
[00:01:37.000 --> 00:01:41.000]  愛神是一個最重要的基礎
[00:01:41.000 --> 00:01:47.000]  所以神就是在基礎裡責備那些二千年人
[00:01:47.000 --> 00:01:51.000]  其實我為了講神
[00:01:51.000 --> 00:01:53.000]  其實不想插嘴
[00:01:53.000 --> 00:01:55.000]  但因為公義是神的屬性
[00:01:55.000 --> 00:01:58.000]  所以神要在外界上
[00:01:58.000 --> 00:02:00.000]  來給予那些二千年人
[00:02:00.000 --> 00:02:02.000]  這是九章的一部五節
[00:02:02.000 --> 00:02:06.000]  上次我們看第二個神的部份
[00:02:06.000 --> 00:02:10.000]  看到一章的六到十節
[00:02:10.000 --> 00:02:14.000]  上次看第二個神的重點是
[00:02:14.000 --> 00:02:17.000]  神是以色列人的父親
[00:02:17.000 --> 00:02:20.000]  神是以色列人的主人
[00:02:20.000 --> 00:02:22.000]  一群人對父親
[00:02:22.000 --> 00:02:26.000]  對主人的尊敬敬畏有
[00:02:26.000 --> 00:02:29.000]  但對神是沒有的
[00:02:29.000 --> 00:02:33.000]  這就是神要透過對比出來的神
[00:02:33.000 --> 00:02:35.000]  敬畏這群敬畏的人
[00:02:35.000 --> 00:02:40.000]  於是神輕看神輕視神
[00:02:40.000 --> 00:02:42.000]  很尊敬神的鬼神
[00:02:42.000 --> 00:02:44.000]  特別是在這個事情上
[00:02:44.000 --> 00:02:45.000]  上次我提到
[00:02:45.000 --> 00:02:49.000]  阿基伯是一個利利之下背景的賤人
[00:02:49.000 --> 00:02:52.000]  所以他特別熟悉聖殿的憲制
[00:02:52.000 --> 00:02:55.000]  所以他在上次提到的
[00:02:55.000 --> 00:02:57.000]  聖殿的憲制裡
[00:02:57.000 --> 00:03:00.000]  非常不良善
[00:03:00.000 --> 00:03:02.000]  非常不尊敬
[00:03:02.000 --> 00:03:04.000]  這是我們上次也提到的
[00:03:04.000 --> 00:03:08.000]  今天會進到賴基柱
[00:03:08.000 --> 00:03:13.000]  將十二到十四節重複提到
[00:03:13.000 --> 00:03:17.000]  他們想污穢了神的祭壇上
[00:03:17.000 --> 00:03:22.000]  很大的嚴重罪惡
[00:03:22.000 --> 00:03:26.000]  二章一到十六節
[00:03:26.000 --> 00:03:29.000]  一到九節是神的另一部分
[00:03:29.000 --> 00:03:32.000]  然後十到十六節
[00:03:32.000 --> 00:03:35.000]  是講到第三個神語
[00:03:35.000 --> 00:03:36.000]  這個神語
[00:03:36.000 --> 00:03:39.000]  大家有機會看到的
[00:03:39.000 --> 00:03:41.000]  我先不跟大家報告
[00:03:41.000 --> 00:03:44.000]  大致上我們可以進入到
[00:03:44.000 --> 00:03:46.000]  分類的多部分
[00:03:46.000 --> 00:03:48.000]  這個神語比較困難
[00:03:48.000 --> 00:03:49.000]  就是因為神語
[00:03:49.000 --> 00:03:53.000]  不是我們蒙神所解釋的詞
