
[00:00:00.000 --> 00:00:03.000]  27年前的晚上
[00:00:03.000 --> 00:00:08.300]  我不知道有多少的青少年
[00:00:08.300 --> 00:00:12.300]  在天安門廣場送上生命
[00:00:12.300 --> 00:00:15.100]  就是在這個關鍵的晚上
[00:00:15.100 --> 00:00:18.500]  中國的民主立了一個里程碑
[00:00:18.500 --> 00:00:22.500]  而這個里程碑總有一天
[00:00:22.500 --> 00:00:28.100]  總有一天中國會經歷民主
[00:00:28.100 --> 00:00:31.000]  當他平反的時候
[00:00:31.000 --> 00:00:36.000]  就是中國經歷民主的另一個步伐的開始
[00:00:36.000 --> 00:00:39.000]  昨天《明報》告訴我們一個調查
[00:00:39.000 --> 00:00:43.000]  現在香港78%的青少年
[00:00:43.000 --> 00:00:47.000]  還是堅持平反六四
[00:00:47.000 --> 00:00:49.000]  我聽到很開心
[00:00:49.000 --> 00:00:51.000]  因為不會因為這樣
[00:00:51.000 --> 00:00:54.000]  年紀過了27年這件事就沒有了
[00:00:54.000 --> 00:00:56.000]  昨晚《啟發》裏面有一個學員
[00:00:56.000 --> 00:00:59.000]  我問他兒子在哪裏
[00:00:59.000 --> 00:01:02.000]  他說太太帶了他六四去維園
[00:01:02.000 --> 00:01:04.000]  我心裏面一方面高興
[00:01:04.000 --> 00:01:06.000]  一方面知道香港有叛亡
[00:01:06.000 --> 00:01:08.000]  我想講這麼多
[00:01:08.000 --> 00:01:11.000]  想告訴大家
[00:01:11.000 --> 00:01:14.000]  在27年前一個關鍵的晚上
[00:01:14.000 --> 00:01:16.000]  是影響著中國
[00:01:16.000 --> 00:01:18.000]  不過在2000多年前
[00:01:18.000 --> 00:01:21.000]  一個關鍵的晚上是影響全世界
[00:01:21.000 --> 00:01:23.000]  今天想跟大家講這個訊息
[00:01:23.000 --> 00:01:27.000]  在《馬可福音》的14章32節到42節
[00:01:27.000 --> 00:01:31.000]  就是耶穌在主餐之後
[00:01:31.000 --> 00:01:33.000]  帶著門徒
[00:01:33.000 --> 00:01:35.000]  而且他還問一個說話
[00:01:35.000 --> 00:01:38.000]  就告訴彼得
[00:01:38.000 --> 00:01:40.000]  彼得
[00:01:40.000 --> 00:01:43.000]  今天你們這班人
[00:01:43.000 --> 00:01:46.000]  在這個晚上有人會跌倒
[00:01:46.000 --> 00:01:48.000]  彼得就很堅持的
[00:01:48.000 --> 00:01:50.000]  在他的屬性裏面就告訴他
[00:01:50.000 --> 00:01:52.000]  耶穌不會的
[00:01:52.000 --> 00:01:54.000]  怎麼人家離開
[00:01:54.000 --> 00:01:55.000]  我為你死
[00:01:55.000 --> 00:01:56.000]  我瞓生都願意
[00:01:56.000 --> 00:01:58.000]  這是我現代化講
[00:01:58.000 --> 00:01:59.000]  之後耶穌講了一個說話
[00:01:59.000 --> 00:02:00.000]  大家記不記得什麼
[00:02:00.000 --> 00:02:02.000]  今天雞叫聲之前
[00:02:02.000 --> 00:02:05.000]  你要三次的不認我
[00:02:05.000 --> 00:02:07.000]  我想照顧到今天
[00:02:07.000 --> 00:02:11.000]  耶穌帶著門徒去見這個禱告裏面
[00:02:11.000 --> 00:02:13.000]  在裏面那種生命的掙扎
[00:02:13.000 --> 00:02:15.000]  我們一起和耶穌去掙扎
[00:02:15.000 --> 00:02:17.000]  又讓這個關鍵的晚上
[00:02:17.000 --> 00:02:19.000]  成為我們本人
[00:02:19.000 --> 00:02:20.000]  或者我們教會
[00:02:20.000 --> 00:02:23.000]  神國另一個的里程碑
[00:02:23.000 --> 00:02:24.000]  我們一起看看
[00:02:24.000 --> 00:02:29.000]  馬克福音第十四章三十二節到四十二節
[00:02:29.000 --> 00:02:31.000]  我有些掙扎
[00:02:31.000 --> 00:02:34.000]  到底要不要做powerpoint
[00:02:34.000 --> 00:02:36.000]  我發覺越來越多人
[00:02:36.000 --> 00:02:38.000]  不懂得揭聖經
[00:02:38.000 --> 00:02:40.000]  這是很大的一件事
[00:02:40.000 --> 00:02:42.000]  不知道可能是靠電話
[00:02:42.000 --> 00:02:44.000]  不過我真的
[00:02:44.000 --> 00:02:45.000]  我由青少年開始
[00:02:45.000 --> 00:02:47.000]  我記得幾個星期前
[00:02:47.000 --> 00:02:48.000]  我講馬克福音
[00:02:48.000 --> 00:02:50.000]  和他們講撒種的比喻
[00:02:50.000 --> 00:02:52.000]  我買了六十本還是七十本
[00:02:52.000 --> 00:02:53.000]  馬克福音的單行本
[00:02:53.000 --> 00:02:54.000]  給了每一個青少年
[00:02:54.000 --> 00:02:57.000]  我鼓勵他們自己慢慢揭慢慢看
[00:02:57.000 --> 00:02:58.000]  因為這張信息裏面
[00:02:58.000 --> 00:03:00.000]  都有兩張powerpoint
[00:03:00.000 --> 00:03:01.000]  所以可能大家不連接
[00:03:01.000 --> 00:03:02.000]  我鼓勵大家
[00:03:02.000 --> 00:03:03.000]  你照開照讀
[00:03:03.000 --> 00:03:06.000]  不過你同時可以打開你的手機
[00:03:06.000 --> 00:03:09.000]  看馬克福音十四章三十二節
[00:03:09.000 --> 00:03:10.000]  到四十二節好不好
[00:03:10.000 --> 00:03:11.000]  如果有聖經
