
[00:00:00.000 --> 00:00:03.800]  各位良法紀念禮拜堂的弟兄姊妹大家好
[00:00:03.800 --> 00:00:07.000]  在此時我邀請大家再一同禱告
[00:00:07.000 --> 00:00:13.320]  愛我們的天父上帝
[00:00:13.320 --> 00:00:14.720]  我們多謝祢
[00:00:14.720 --> 00:00:17.320]  我們因著主祢的愛
[00:00:17.320 --> 00:00:19.440]  我們相聚在一切
[00:00:19.440 --> 00:00:23.120]  此刻我們就懇求上主的靈幫助我們
[00:00:23.120 --> 00:00:25.400]  叫我們無論講什麼聽什麼
[00:00:25.400 --> 00:00:29.560]  我們都領受上帝祢今天在經文當中
[00:00:29.560 --> 00:00:32.120]  要給予我們的提醒和鼓勵
[00:00:32.120 --> 00:00:33.720]  我們這樣祈禱交託
[00:00:33.720 --> 00:00:35.560]  奉靠我們同一的救主
[00:00:35.560 --> 00:00:38.040]  耶穌基督的聖名祈求
[00:00:38.040 --> 00:00:40.040]  誠心所願
[00:00:40.040 --> 00:00:44.360]  記得曾經有一次我開電視
[00:00:44.360 --> 00:00:47.560]  電視剛好在拍攝一個
[00:00:47.560 --> 00:00:49.560]  外國的綜藝節目
[00:00:49.560 --> 00:00:51.320]  可能你們也有看過
[00:00:51.320 --> 00:00:53.560]  我記得那天一開電視那一刻
[00:00:53.560 --> 00:00:55.640]  節目正在拍攝
[00:00:55.640 --> 00:00:57.920]  有一個外國的男生
[00:00:57.920 --> 00:01:02.120]  他正準備開始表演魔術
[00:01:02.120 --> 00:01:05.440]  那個男生大概二十多歲
[00:01:05.440 --> 00:01:06.960]  雖然他表演魔術
[00:01:06.960 --> 00:01:10.440]  不過他沒有穿魔術師的衣服
[00:01:10.440 --> 00:01:12.240]  他只穿著一件蜂褸
[00:01:12.240 --> 00:01:14.160]  穿著一條牛仔褲
[00:01:14.160 --> 00:01:19.200]  但是表演場地的台中間
[00:01:19.200 --> 00:01:20.800]  放了一幅
[00:01:20.800 --> 00:01:25.800]  大概是兩個人伸長手這麼寬的一塊墨
[00:01:25.800 --> 00:01:28.400]  垂直的一塊很大的墨
[00:01:28.400 --> 00:01:31.160]  放在台中間
[00:01:31.160 --> 00:01:32.800]  表演開始了
[00:01:32.800 --> 00:01:37.680]  那個男生隨便在台上做了幾下動作之後
[00:01:37.680 --> 00:01:41.880]  接著他就走進了那個墨的後面
[00:01:41.880 --> 00:01:46.080]  然後很古怪的事情發生了
[00:01:46.080 --> 00:01:49.360]  在墨的左右兩邊
[00:01:49.360 --> 00:01:52.080]  竟然忽然之間跳出了
[00:01:52.080 --> 00:01:55.440]  兩個一模一樣的他出來
[00:01:55.440 --> 00:01:59.240]  當場電視節目的鏡頭拍攝在場的人
[00:01:59.240 --> 00:02:01.320]  個個都嚇得呆了
[00:02:01.320 --> 00:02:02.800]  張開嘴巴
[00:02:02.800 --> 00:02:05.920]  然後那兩個一模一樣的他
[00:02:05.920 --> 00:02:12.000]  就合作在台上完成了之後的魔術
[00:02:12.000 --> 00:02:13.360]  演出完畢了
[00:02:13.360 --> 00:02:15.440]  接著那兩個他
[00:02:15.440 --> 00:02:18.960]  就站在台上等評判評分
[00:02:18.960 --> 00:02:23.400]  大家猜一下評判第一句問他們什麼
[00:02:23.400 --> 00:02:27.120]  評判當時第一句並不是問他們
[00:02:27.120 --> 00:02:31.160]  你們為什麼不先合作做一個呢
[00:02:31.160 --> 00:02:32.560]  評判不是這樣問的
[00:02:32.560 --> 00:02:33.720]  評判是問什麼呢
[00:02:33.720 --> 00:02:35.120]  評判是問
[00:02:35.120 --> 00:02:37.960]  你們誰是孿生哥哥
[00:02:37.960 --> 00:02:42.040]  誰是孿生弟弟
[00:02:42.040 --> 00:02:44.440]  事實上
[00:02:44.440 --> 00:02:47.960]  節目裏面那班評判他們明白
[00:02:47.960 --> 00:02:53.920]  世上是不會有兩個完全一樣的人
[00:02:53.920 --> 00:02:55.520]  其實同時間
[00:02:55.520 --> 00:02:57.720]  你和我都會知道
[00:02:57.720 --> 00:03:03.520]  世上都不會有兩個完全一樣的信徒
[00:03:03.520 --> 00:03:07.600]  不會有兩間完全一樣的堂會
[00:03:07.600 --> 00:03:12.480]  不過主耶穌是期望不同的我們
[00:03:12.480 --> 00:03:17.320]  能夠在祂的裏面合而為一
[00:03:17.320 --> 00:03:20.560]  今天是區會主日
