
[00:00:00.000 --> 00:00:02.320]  祖文滿心感謝 讚美祢
[00:00:02.320 --> 00:00:07.420]  謝謝祢藉著詩歌提醒我們不用懼怕
[00:00:07.420 --> 00:00:11.680]  因為祢是保護我們的神 祢是愛我們的神
[00:00:11.680 --> 00:00:15.200]  祖文在這個
[00:00:15.200 --> 00:00:19.500]  2017年最後一天
[00:00:19.500 --> 00:00:22.480]  我們這個元旦的除夕
[00:00:22.480 --> 00:00:25.520]  我們有很多很多的
[00:00:25.520 --> 00:00:28.440]  思緒 有很多很多的
[00:00:31.000 --> 00:00:32.000]  記憶
[00:00:32.000 --> 00:00:34.520]  都在2017年
[00:00:34.520 --> 00:00:36.300]  發生過
[00:00:36.300 --> 00:00:38.040]  我們感謝祢
[00:00:38.040 --> 00:00:40.780]  我們願意今天的崇拜
[00:00:40.780 --> 00:00:43.620]  也令祢得到滿足
[00:00:43.620 --> 00:00:47.600]  我們願意祢自己的名 祢自己的心意
[00:00:47.600 --> 00:00:49.500]  向著我們來說話
[00:00:49.500 --> 00:00:51.880]  用祢自己的話語
[00:00:51.880 --> 00:00:53.840]  來向我們
[00:00:53.840 --> 00:00:58.520]  發出祢對於我們的言語跟邀請
[00:00:58.920 --> 00:01:00.440]  天父我們感謝祢
[00:01:00.440 --> 00:01:03.920]  禱告感恩奉主耶穌的名祈求
[00:01:03.920 --> 00:01:04.920]  Amen
[00:01:04.920 --> 00:01:07.640]  志榮姊妹
[00:01:07.640 --> 00:01:12.220]  你會怎樣總結你的2018年呢
[00:01:12.220 --> 00:01:16.100]  2017年呢 我的時間走得很快
[00:01:16.100 --> 00:01:20.380]  我不知道你有沒有看過
[00:01:20.380 --> 00:01:23.220]  一個手機程式
[00:01:23.220 --> 00:01:26.220]  我們現在習慣叫做APP
[00:01:26.220 --> 00:01:29.620]  是記錄了一些人跑步
[00:01:29.620 --> 00:01:32.340]  的一些成績 看過嗎
[00:01:32.340 --> 00:01:35.260]  在Facebook 我常常看到朋友的一些
[00:01:35.260 --> 00:01:38.220]  Running Track的APP
[00:01:38.220 --> 00:01:41.280]  記錄他跑步 記錄什麼呢
[00:01:41.280 --> 00:01:44.540]  他記錄他跑步的成果
[00:01:44.540 --> 00:01:48.000]  跑了多遠 他的距離
[00:01:48.000 --> 00:01:50.040]  消耗多少的卡路里
[00:01:50.040 --> 00:01:51.880]  這個是我們很關注的
