
[00:00:00.000 --> 00:00:12.000]  好!「人生旅途的仰望,尚處職守」,詩篇第 123 篇,大家有聖經,你打開聖篇。
[00:00:12.000 --> 00:00:20.000]  《尚行詩》就係 120 篇,到第 134 篇,一共有 15 篇。
[00:00:20.000 --> 00:00:29.000]  係代表呢,喺上聖見嘅階梯呀,有 15 級,有 15 個朵,我哋要答。
[00:00:29.000 --> 00:00:33.000]  15 個級,我要上。
[00:00:33.000 --> 00:00:36.000]  「人生旅途的仰望」。
[00:00:36.000 --> 00:00:42.000]  咁詩篇呢,好奇妙記一本嘅詩集嚟嘅。
[00:00:42.000 --> 00:00:46.000]  佢其面在,佢係編輯而成嘅。
[00:00:46.000 --> 00:00:53.000]  係集咗神的子民呢,喺好多嘅時代裏面,唔同嘅處境裏面,嘅一啲嘅詩歌。
[00:00:53.000 --> 00:00:59.000]  而呢啲詩歌,主要,通常都係禱告嚟㗎嘛。
[00:00:59.000 --> 00:01:03.000]  禱告包括咗責任、包括咗感恩、包括咗祈求等等。
[00:01:03.000 --> 00:01:08.000]  包括咗生氣、討厭、傾心、討厭。
[00:01:08.000 --> 00:01:15.000]  好多嘅詩篇呢,嘅詩人,係唔係個人嘅詩人,係一個集體嘅創作。
[00:01:15.000 --> 00:01:19.000]  而佢哋都吐出一啲嘅心聲。
[00:01:19.000 --> 00:01:27.000]  而每一個嘅詩篇,每一篇嘅詩篇,都代表咗一個唔同嘅心情,一個唔同嘅處境。
[00:01:27.000 --> 00:01:35.000]  咁所以呢,係歷代信徒呢,好鍾意讀嘅一個嘅詩歌集,就係《詩篇》150篇。
[00:01:35.000 --> 00:01:40.000]  有好多呢,我哋都可以背仲嘅,大家可以識背嘅,唔使問啦。
[00:01:40.000 --> 00:01:43.000]  你大約識背廿三篇,係咪呢?
[00:01:43.000 --> 00:01:45.000]  咁仲有邊篇呢?
[00:01:45.000 --> 00:01:48.000]  《詩篇》第一篇啦,仲有呢?
[00:01:48.000 --> 00:01:54.000]  《詩篇》一百八篇啦,《詩篇》一百零三篇算啫?
[00:01:54.000 --> 00:01:56.000]  《詩篇》一百零九篇算啫?
[00:01:56.000 --> 00:01:58.000]  《詩篇》一百五十篇算啫?
[00:01:58.000 --> 00:02:00.000]  《詩篇》一百四十九篇算唔算啫?
[00:02:00.000 --> 00:02:06.000]  唔好,唔算勁喎!我係喺度check下你㗎喎!
[00:02:06.000 --> 00:02:09.000]  不過呢,呢個上行詩呢,佢係可以背嘅,因為佢短㗎!
[00:02:09.000 --> 00:02:16.000]  點小精幹嘅,雖然我哋背咗四、五鐘旅行呢,喺旅途當中呢,係可以一路背仲嘅。
[00:02:16.000 --> 00:02:21.000]  不過呢個旅行呢,先畀你問我哋嘅觀光,好似我上個禮拜所講嘅觀光。
