
[00:00:00.000 --> 00:00:02.000]  各位燈姐妹們平安
[00:00:02.000 --> 00:00:07.000]  很高興再次有機會在這裡跟大家一起研讀上帝的話語
[00:00:07.000 --> 00:00:08.000]  我們一同學習
[00:00:08.000 --> 00:00:11.000]  今天是門訓的系列主日
[00:00:11.000 --> 00:00:14.000]  我們繼續會去看啟示錄的經文
[00:00:14.000 --> 00:00:17.000]  我們今天是看第五章的經文
[00:00:17.000 --> 00:00:20.000]  雖然好像是三章的內容
[00:00:20.000 --> 00:00:23.000]  但是經文的脈絡和鋪排上面
[00:00:23.000 --> 00:00:28.000]  是要連著我們之前讀到第四章的段落一起去看的
[00:00:28.000 --> 00:00:32.000]  當然第五章引入了很多新的元素
[00:00:32.000 --> 00:00:34.000]  我們稍後就會去理解到
[00:00:34.000 --> 00:00:36.000]  和第四章是一脈相承
[00:00:36.000 --> 00:00:39.000]  我們需要兩章一起去解讀
[00:00:39.000 --> 00:00:43.000]  第四至五章是一個天上的異章
[00:00:43.000 --> 00:00:44.000]  就是在天上面
[00:00:44.000 --> 00:00:47.000]  那麼我在天上面的感覺
[00:00:47.000 --> 00:00:49.000]  就可能聯想到一個詞語
[00:00:49.000 --> 00:00:51.000]  就是離地了
[00:00:51.000 --> 00:00:53.000]  我們很怕被人說離地
[00:00:53.000 --> 00:00:57.000]  就是很怕被人說我們不認識人間疾苦
[00:00:57.000 --> 00:01:01.000]  沒錯 信仰是要和生活的應用連結
[00:01:01.000 --> 00:01:04.000]  信仰是應該影響我們的生活
[00:01:04.000 --> 00:01:07.000]  但是啟示錄是一到三章
[00:01:07.000 --> 00:01:10.000]  它夠貼地對七間的教會
[00:01:10.000 --> 00:01:12.000]  說了很多的指引
[00:01:12.000 --> 00:01:13.000]  甚至是吩咐
[00:01:13.000 --> 00:01:15.000]  甚至是警告
[00:01:15.000 --> 00:01:19.000]  但是啟示錄在之後並不是立即去說大災難
[00:01:19.000 --> 00:01:21.000]  可能我們不知道是不是在座
[00:01:21.000 --> 00:01:24.000]  有些人很期待去看的段落
[00:01:24.000 --> 00:01:29.000]  但是啟示錄在第四至五章偏偏就不是這樣去說
[00:01:29.000 --> 00:01:31.000]  它沒有立即去討論那些災難
[00:01:31.000 --> 00:01:35.000]  或者那些我們可能都會有些緊張
