
[00:00:00.000 --> 00:00:01.000]  哈嘍瑞亞
[00:00:01.000 --> 00:00:04.480]  不曉得丁洋姊妹
[00:00:04.480 --> 00:00:07.500]  你有沒有感覺到這個世界
[00:00:07.500 --> 00:00:09.360]  好像越來越
[00:00:09.360 --> 00:00:12.320]  是接近末世的光景
[00:00:12.320 --> 00:00:17.000]  我覺得在美國我們很難想像
[00:00:17.000 --> 00:00:18.680]  這個
[00:00:18.680 --> 00:00:22.540]  今天我們這段經文所要講的這段故事
[00:00:22.540 --> 00:00:24.320]  等一下我們跟大家分享
[00:00:24.320 --> 00:00:28.660]  可是親愛的丁洋姊妹 聖經上耶穌所講的情形
[00:00:28.660 --> 00:00:32.280]  祂所講的這些預言 一定會發生 你相信嗎
[00:00:32.280 --> 00:00:37.940]  馬太福音二十四章是主耶穌講到有關末世
[00:00:37.940 --> 00:00:41.340]  可以說是最長的 最完整的一段聖經
[00:00:41.340 --> 00:00:45.500]  所以我們上一次聖餐聚會的時候
[00:00:45.500 --> 00:00:48.000]  我們也是講到馬太福音 還記得嗎
[00:00:48.000 --> 00:00:52.500]  我們提到說 主耶穌在來之前的
[00:00:52.500 --> 00:00:54.980]  有一些的徵兆會發生 是不是
[00:00:54.980 --> 00:00:57.680]  那個徵兆是什麼呢 還記得嗎
[00:00:58.660 --> 00:01:10.400]  好 在末世的時候 很明顯的一件事情就是
[00:01:10.400 --> 00:01:13.320]  天災人禍會越來越多 對不對
[00:01:13.320 --> 00:01:16.420]  你會發現越來越多的地震
[00:01:16.420 --> 00:01:19.060]  而且這個頻率會越來越頻繁
[00:01:19.060 --> 00:01:21.760]  你會發現越來越多的這些饑荒
[00:01:21.760 --> 00:01:24.460]  今天我還聽到有人在談COVID
[00:01:24.460 --> 00:01:26.140]  你看COVID已經多久了
[00:01:29.660 --> 00:01:32.660]  那COVID過去了 是不是就不會再有瘟疫了
[00:01:32.660 --> 00:01:35.000]  不會再有這些問題了 會不會
[00:01:35.000 --> 00:01:38.300]  我看我們教會已經把這些的什麼
[00:01:38.300 --> 00:01:41.460]  所有的這些醫療用具
[00:01:41.460 --> 00:01:50.480]  那叫什麼 對 那個面罩
[00:01:50.480 --> 00:01:53.480]  還有這個口罩早就不知道丟哪去了 是不是
[00:01:53.480 --> 00:01:54.680]  我們都把這些丟了
[00:01:54.680 --> 00:01:57.180]  天安留子輩 我們丟是因為我們沒地方放了
[00:01:57.180 --> 00:01:59.980]  但是我們丟是不是表示說
[00:01:59.980 --> 00:02:01.900]  不會再有這些問題了
[00:02:01.900 --> 00:02:03.700]  會不會將來有一天又發生
[00:02:03.700 --> 00:02:08.580]  比這個COVID更大的一個 會不會來
[00:02:08.580 --> 00:02:13.980]  如果根據聖經裡面來看的話 會
[00:02:13.980 --> 00:02:16.140]  現在我們所經歷的
[00:02:16.140 --> 00:02:18.300]  還沒有像聖經上所經歷
[00:02:18.300 --> 00:02:22.260]  所說的那麼樣子的嚴重
[00:02:22.260 --> 00:02:23.580]  那親愛的留子輩
[00:02:23.580 --> 00:02:26.180]  這一切的事情我一再的講
[00:02:26.180 --> 00:02:29.700]  告訴我們說末日要近了 是不是
[00:02:29.700 --> 00:02:31.700]  可是對我們基督徒來講
[00:02:31.700 --> 00:02:34.980]  末日的迫近就是什麼
[00:02:34.980 --> 00:02:38.860]  就是什麼 主耶穌要再來
[00:02:38.860 --> 00:02:39.860]  主耶穌再來
[00:02:39.860 --> 00:02:42.860]  所以這是我們的盼望
[00:02:42.860 --> 00:02:45.780]  剛才我們讀的這段聖經裡面
[00:02:45.780 --> 00:02:49.100]  其實在路加福音 在馬可福音
[00:02:49.100 --> 00:02:50.500]  都同時要講到
[00:02:50.500 --> 00:02:53.460]  我等一下會把它串在一起 一起來看
