
[00:00:00.000 --> 00:00:05.160]  我們的講道系列是講到成為合神心意的教會
[00:00:05.160 --> 00:00:07.400]  成為合神心意的教會
[00:00:07.400 --> 00:00:13.120]  我們廣東話是講很合神心水的教會
[00:00:13.120 --> 00:00:17.160]  現在我們很多人去找教會
[00:00:17.160 --> 00:00:19.320]  特別是你搬到一個地方去找教會
[00:00:19.320 --> 00:00:21.800]  我們找教會通常是找自己
[00:00:21.800 --> 00:00:24.000]  合自己心水的教會
[00:00:24.000 --> 00:00:27.920]  不是找神是否喜歡的教會
[00:00:27.920 --> 00:00:30.120]  是否合神心意的教會
[00:00:30.120 --> 00:00:33.520]  所以我們在主面前學習的功課就是
[00:00:33.520 --> 00:00:38.960]  合神心意的教會是與神同工的教會
[00:00:38.960 --> 00:00:40.960]  上星期我們講到
[00:00:40.960 --> 00:00:46.520]  合神心意的教會是和諧合一的教會
[00:00:46.520 --> 00:00:49.320]  我們就不再重複了
[00:00:49.320 --> 00:00:52.320]  大家記得和諧是
[00:00:52.320 --> 00:00:54.320]  舉個例子來講
[00:00:54.320 --> 00:00:59.000]  昨天我在另一個教會講音樂的講座
[00:00:59.000 --> 00:01:00.720]  提醒他們
[00:01:00.720 --> 00:01:03.520]  你知不知道女高音怎會唱得好一點
[00:01:03.520 --> 00:01:05.320]  你知道嗎?
[00:01:05.320 --> 00:01:08.040]  只要低音唱得好一點就行了
[00:01:08.040 --> 00:01:11.320]  只要男低音肯支持她
[00:01:11.320 --> 00:01:13.520]  女高音自然會升得很高
[00:01:13.520 --> 00:01:15.120]  很奇怪的事
[00:01:15.120 --> 00:01:16.920]  大家試試
[00:01:16.920 --> 00:01:18.520]  音樂團體試試
[00:01:18.520 --> 00:01:20.200]  很奇怪
[00:01:20.200 --> 00:01:21.320]  你想怎樣呢?
[00:01:21.320 --> 00:01:23.720]  不是和她一起唱同一個音樂
[00:01:23.720 --> 00:01:26.120]  而是下面的基礎唱得好
[00:01:26.120 --> 00:01:28.120]  發現上面唱得好
[00:01:28.120 --> 00:01:30.320]  所以和諧的教會
[00:01:30.320 --> 00:01:32.320]  不是每個人同聲
[00:01:32.320 --> 00:01:34.320]  不是和諧的教會
[00:01:34.320 --> 00:01:36.320]  和諧就一起唱
[00:01:36.320 --> 00:01:38.720]  我們中國人很喜歡唱和諧
[00:01:38.720 --> 00:01:40.120]  即是唱大氣和諧
[00:01:40.120 --> 00:01:41.120]  同一個聲
[00:01:41.120 --> 00:01:43.320]  但和諧的教會是和音
[00:01:43.320 --> 00:01:45.120]  是不同的部分
[00:01:45.120 --> 00:01:46.520]  不同的聲音
[00:01:46.520 --> 00:01:50.320]  可以產生一個很美麗的圖畫
[00:01:50.720 --> 00:01:54.320]  這是上星期我們講到和諧合一的教會
[00:01:54.320 --> 00:01:57.720]  今個星期我們講到與神同工的教會
