
[00:00:00.000 --> 00:00:02.000]  農曆新年快要到了
[00:00:02.000 --> 00:00:05.520]  很多人還喜歡在家裏張貼一些揮春
[00:00:05.520 --> 00:00:08.000]  那我今天講題最大的滿足
[00:00:08.000 --> 00:00:12.440]  其實你可以用來當一個四字揮春的謎面
[00:00:12.440 --> 00:00:14.440]  有沒有人猜到是什麼?最大的滿足
[00:00:14.440 --> 00:00:15.440]  試一下吧
[00:00:15.440 --> 00:00:17.440]  沒有獎品的
[00:00:17.440 --> 00:00:20.440]  揮春經常都見到的
[00:00:20.440 --> 00:00:22.440]  心想事成
[00:00:22.440 --> 00:00:24.440]  萬事勝意
[00:00:24.440 --> 00:00:26.440]  或者熟悉一點
[00:00:26.440 --> 00:00:28.440]  主因滿日都不錯
[00:00:28.440 --> 00:00:30.440]  你越喝越多
[00:00:30.440 --> 00:00:32.440]  不過今天我希望能夠從
[00:00:32.440 --> 00:00:34.440]  約翰福音第四章
[00:00:34.440 --> 00:00:36.440]  讓各位都能夠得到最大的祝福
[00:00:36.440 --> 00:00:38.440]  最大的滿足
[00:00:38.440 --> 00:00:40.440]  不是一張揮春
[00:00:40.440 --> 00:00:44.440]  約翰福音第四章其實是
[00:00:44.440 --> 00:00:46.440]  由約翰福音第二章開始的
[00:00:46.440 --> 00:00:48.440]  自然的段落
[00:00:48.440 --> 00:00:50.440]  那段落開始約翰福音第二章
[00:00:50.440 --> 00:00:52.440]  就是說耶穌在迦南行的第一件神蹟
[00:00:52.440 --> 00:00:54.440]  而在約翰福音第四章結束的時候
[00:00:54.440 --> 00:00:56.440]  就是耶穌在迦南行的第二件神蹟
[00:00:56.440 --> 00:00:58.440]  在約翰福音第二章結束的時候
[00:00:58.440 --> 00:01:00.440]  就是耶穌在迦南行的第二件神蹟
[00:01:00.440 --> 00:01:02.440]  第二章的時候
[00:01:02.440 --> 00:01:04.440]  耶穌將水變酒
[00:01:04.440 --> 00:01:06.440]  又將聖殿和自己身體
[00:01:06.440 --> 00:01:08.440]  作了一個表達
[00:01:08.440 --> 00:01:10.440]  說自己將要獻上自己的身體
[00:01:10.440 --> 00:01:12.440]  成為一個贖罪祭
[00:01:12.440 --> 00:01:14.440]  好像沒什麼特別
[00:01:14.440 --> 00:01:16.440]  但當我們去想清楚的時候
[00:01:16.440 --> 00:01:18.440]  經文其實告訴我們很多暗示
[00:01:18.440 --> 00:01:20.440]  第二章講清楚的
[00:01:20.440 --> 00:01:22.440]  那些水是從哪裡來的?
[00:01:22.440 --> 00:01:24.440]  六隻石缸
[00:01:24.440 --> 00:01:26.440]  繼續節靜用的
[00:01:26.440 --> 00:01:28.440]  那聖殿呢?
[00:01:28.440 --> 00:01:30.440]  聖殿除了是禱告的殿之外
[00:01:30.440 --> 00:01:32.440]  很重要的
[00:01:32.440 --> 00:01:34.440]  是人來到獻祭
[00:01:34.440 --> 00:01:36.440]  清潔除罪的地方
[00:01:36.440 --> 00:01:38.440]  就是說第二章其實我們看到
[00:01:38.440 --> 00:01:40.440]  主題就是說
[00:01:40.440 --> 00:01:42.440]  除罪的舊有的
[00:01:42.440 --> 00:01:44.440]  獻祭的制度
[00:01:44.440 --> 00:01:46.440]  或者說
[00:01:46.440 --> 00:01:48.440]  象徵性的除罪的禮儀
[00:01:48.440 --> 00:01:50.440]  即將因著耶穌基督
[00:01:50.440 --> 00:01:52.440]  要成就的
[00:01:52.440 --> 00:01:54.440]  獻上贖罪祭
