
[00:00:00.000 --> 00:00:02.000]  在這裏我們再一次同心祈禱
[00:00:02.000 --> 00:00:04.000]  我們在若望主
[00:00:04.000 --> 00:00:11.000]  天上的主
[00:00:11.000 --> 00:00:13.000]  滿有能力
[00:00:13.000 --> 00:00:15.000]  滿有慈愛的上帝
[00:00:15.000 --> 00:00:18.000]  主讓你坐在高天之上
[00:00:18.000 --> 00:00:22.000]  但你卻是與謙卑的人同居
[00:00:22.000 --> 00:00:24.000]  同在
[00:00:24.000 --> 00:00:26.000]  主讓我們到你的面前
[00:00:26.000 --> 00:00:29.000]  我們承認我們有的各種的限制
[00:00:29.000 --> 00:00:31.000]  各種的軟弱
[00:00:31.000 --> 00:00:33.000]  但主我們感謝你
[00:00:33.000 --> 00:00:35.000]  因為你永永遠遠
[00:00:35.000 --> 00:00:37.000]  是我們的倚靠
[00:00:37.000 --> 00:00:39.000]  是我們的力量
[00:00:39.000 --> 00:00:41.000]  主我們到你面前敬拜你
[00:00:41.000 --> 00:00:43.000]  為了你的能力
[00:00:43.000 --> 00:00:45.000]  為了你的慈愛
[00:00:45.000 --> 00:00:47.000]  我們感謝你
[00:00:47.000 --> 00:00:50.000]  我們都在你面前獻上心中的一份信心
[00:00:50.000 --> 00:00:52.000]  主我們知道
[00:00:52.000 --> 00:00:54.000]  我們可以在你裏面剛強
[00:00:54.000 --> 00:00:56.000]  我們可以靠著你
[00:00:56.000 --> 00:00:58.000]  能夠堅定
[00:00:58.000 --> 00:01:00.000]  因此如今我們到你面前來
[00:01:00.000 --> 00:01:02.000]  我們仰望主自己
[00:01:02.000 --> 00:01:03.000]  藉著你的說話
[00:01:03.000 --> 00:01:05.000]  藉著你寶貴的聖靈
[00:01:05.000 --> 00:01:07.000]  堅固我們跟隨你的心
[00:01:07.000 --> 00:01:10.000]  也讓我們在你的話語當中
[00:01:10.000 --> 00:01:12.000]  領受生命的亮光
[00:01:12.000 --> 00:01:14.000]  讓我知道行在
[00:01:14.000 --> 00:01:16.000]  你自己光明的路上
[00:01:16.000 --> 00:01:18.000]  求天父施恩
[00:01:18.000 --> 00:01:19.000]  與我們同在
[00:01:19.000 --> 00:01:21.000]  帶領我們
[00:01:21.000 --> 00:01:22.000]  我們仰望祈禱
[00:01:22.000 --> 00:01:23.000]  奉耶穌基督
[00:01:23.000 --> 00:01:24.000]  成名祈求
