
[00:00:00.000 --> 00:00:05.880]  今天跟大家看《路加封》第六章的信息
[00:00:05.880 --> 00:00:12.000]  如果大家記得上次講到的時候
[00:00:12.000 --> 00:00:18.080]  我們在第五章講到有幾個人物
[00:00:18.080 --> 00:00:20.880]  耶穌透過這幾個人物
[00:00:20.880 --> 00:00:25.040]  彼得這個患麻風病的
[00:00:25.040 --> 00:00:34.080]  四個人抬著毯子來表達出祂的大能
[00:00:34.080 --> 00:00:39.080]  也是表達祂能針對我們人的深沉的需要
[00:00:39.080 --> 00:00:40.680]  解決我們的罪
[00:00:40.680 --> 00:00:45.280]  讓我們能夠得到祂的救恩
[00:00:45.280 --> 00:00:51.040]  這是耶穌基督出來開始傳導的一個使命的實踐
[00:00:51.040 --> 00:00:57.440]  更重要的是祂也提醒我們開始一個新的時代
[00:00:57.440 --> 00:00:59.840]  因為主來到這個世間
[00:00:59.840 --> 00:01:03.440]  所以第五章上次我們講到最後一段沒有講的
[00:01:03.440 --> 00:01:06.640]  就是講耶穌做了一個比喻
[00:01:06.640 --> 00:01:11.040]  就是講到大家都應該不會陌生的
[00:01:11.040 --> 00:01:15.040]  一個新和舊的不可以合在一起
[00:01:15.040 --> 00:01:19.440]  意思是舊的要過去,新的要開始
[00:01:19.440 --> 00:01:22.640]  所以祂用一個比喻講到
[00:01:22.640 --> 00:01:25.840]  一塊布,一件衣服
[00:01:25.840 --> 00:01:30.240]  不要將新布放在舊的衣服裡
[00:01:30.240 --> 00:01:34.240]  免得它一縮水的時候扯爛了那個衣服
[00:01:34.240 --> 00:01:39.440]  又不要將新酒放在舊的皮袋裡
[00:01:39.440 --> 00:01:42.640]  因為以前是用皮袋放酒的
[00:01:42.640 --> 00:01:45.440]  因為如果將新酒灌入皮袋裡
[00:01:45.440 --> 00:01:50.640]  同樣會有這個問題,就是讓皮袋撕裂
[00:01:50.640 --> 00:01:52.640]  所以祂帶出的意思是
[00:01:52.640 --> 00:01:56.240]  現在開始一個新的局面,一個新的時代
[00:01:56.240 --> 00:02:00.240]  一個新的藥由耶穌基督帶來
[00:02:00.240 --> 00:02:04.240]  主耶穌來到這個世界開始一個新的藥
[00:02:04.240 --> 00:02:06.640]  是承接舊藥
[00:02:06.640 --> 00:02:11.040]  祂不是廢掉舊藥,而是將舊藥更新
[00:02:11.040 --> 00:02:13.840]  將舊藥承傳
[00:02:13.840 --> 00:02:16.240]  開始一個新的角度
[00:02:16.240 --> 00:02:20.240]  就是神的國進入人的當中
[00:02:20.240 --> 00:02:22.240]  這是一個更加豐盛的地步
[00:02:22.240 --> 00:02:25.840]  是主救恩計劃的一個非常重要的階段
[00:02:25.840 --> 00:02:29.440]  藉著耶穌來到這個世界所成就的
[00:02:29.440 --> 00:02:31.840]  所以一開始第六章的時候
[00:02:31.840 --> 00:02:36.240]  這裡祂就開始講到有一個新的角度開始
[00:02:36.240 --> 00:02:39.040]  因為這樣我們有一個新的著重
[00:02:39.040 --> 00:02:41.040]  有一個新的著重點
[00:02:41.040 --> 00:02:48.640]  人生和整個的神在這個世界當中所作的工作
[00:02:48.640 --> 00:02:54.240]  威斯比牧師提到盧迦第六章的時候
[00:02:54.240 --> 00:02:56.640]  有一個神學上的意義
[00:02:56.640 --> 00:03:02.240]  這個意義特別是講到祂開始實現一些屬靈的實體
[00:03:02.240 --> 00:03:05.440]  在這個新的角度裡面
[00:03:05.440 --> 00:03:09.440]  祂的見解認為有一個新的安息日
[00:03:09.440 --> 00:03:12.240]  很明顯的,因為接著我們會看得很清楚
[00:03:12.240 --> 00:03:15.040]  一個新的安息日的意義
[00:03:15.040 --> 00:03:19.040]  然後就提到一個新的群體的開始
[00:03:19.040 --> 00:03:21.440]  這個新的角度群體
[00:03:21.440 --> 00:03:25.440]  特別是指導十二使徒的建立
[00:03:25.440 --> 00:03:27.440]  然後就帶來新角度
[00:03:27.440 --> 00:03:29.440]  一個屬靈的新的祝福
[00:03:29.440 --> 00:03:32.240]  一個新的祝福
[00:03:32.240 --> 00:03:35.040]  代替了這個破舊的屬靈的體系
[00:03:35.040 --> 00:03:37.840]  已經殘舊了和已經變了質
[00:03:37.840 --> 00:03:42.640]  舊的這些當時猶太領袖所展現出來
[00:03:42.640 --> 00:03:46.240]  但它不是神的心意的一個實體
[00:03:46.240 --> 00:03:48.640]  時間關係,我今天講「上」
[00:03:48.640 --> 00:03:51.840]  就是說我們先看看頭兩方面
[00:03:51.840 --> 00:03:54.640]  特別知道這個新的安息日的意義
[00:03:54.640 --> 00:03:59.840]  以及提到這個新角度的開始的建立
[00:03:59.840 --> 00:04:01.840]  叫做核心的建立
[00:04:01.840 --> 00:04:04.240]  那下一次母親節之後
[00:04:04.240 --> 00:04:07.440]  我就會講新的祝福
[00:04:07.440 --> 00:04:13.840]  首先我們來看看新的安息日
[00:04:13.840 --> 00:04:17.040]  經文在《路加坊》第六章
[00:04:17.040 --> 00:04:19.440]  第一到第十一節
[00:04:19.440 --> 00:04:22.240]  我們一起讀完這十一節經文好嗎?
[00:04:22.240 --> 00:04:26.240]  我們同聲一起在螢幕上
[00:04:26.240 --> 00:04:27.840]  電影節目可以跟著讀
[00:04:27.840 --> 00:04:31.040]  家裡的肢體你也可以開聲跟著讀
[00:04:31.040 --> 00:04:31.840]  請讀
[00:04:31.840 --> 00:04:36.240]  「有一個安息日,耶穌從墨地經過,
[00:04:36.240 --> 00:04:42.240]  他的門道了墨水,用手搓著劈。
[00:04:42.240 --> 00:04:45.240]  有幾個法利賽人說,
[00:04:45.240 --> 00:04:50.640]  你們為什麼做安息日不可做的事呢?
[00:04:50.640 --> 00:04:52.840]  耶穌對他們說,
[00:04:52.840 --> 00:04:56.840]  經上記著,大衛和跟從他的人,
