
[00:00:00.000 --> 00:00:03.440]  弟兄姊妹, 二零二六年新年快樂, 主內平安
[00:00:03.440 --> 00:00:08.640]  今日想和大家分享, 是信徒不追求成長又如何
[00:00:08.640 --> 00:00:13.000]  我們每一年年頭的時候都好容易
[00:00:13.000 --> 00:00:14.840]  好容易, 不知道你今次有沒有做
[00:00:14.840 --> 00:00:16.600]  過了一兩天
[00:00:16.600 --> 00:00:18.720]  新年願望, 新年立志
[00:00:18.720 --> 00:00:21.080]  可能你昨日的願望和今日的願望已經不同了
[00:00:21.080 --> 00:00:23.600]  今早起身看到一個breaking news是什麼呢?
[00:00:23.600 --> 00:00:29.600]  是委內瑞拉的總統是被美國的特種部隊抓了
[00:00:30.000 --> 00:00:32.000]  搜球, 但又回美國
[00:00:32.000 --> 00:00:35.000]  你可能說, 今年我最加多的願望是什麼呢?
[00:00:35.000 --> 00:00:36.000]  世界和平
[00:00:36.000 --> 00:00:39.000]  但世界和平, 好像香港小姐選舉那樣
[00:00:39.000 --> 00:00:41.000]  講是好容易的
[00:00:41.000 --> 00:00:43.000]  但可能近身一點
[00:00:43.000 --> 00:00:45.000]  世界和平可能是美國總統
[00:00:45.000 --> 00:00:48.000]  中國的主席才做到
[00:00:48.000 --> 00:00:51.000]  但可能世界和平, 可能你問一問自己
[00:00:51.000 --> 00:00:55.000]  今年會不會你的願望是你帶來你周圍身邊的人和平
[00:00:55.000 --> 00:00:58.000]  家人, 朋友的和平
[00:00:58.000 --> 00:01:00.000]  可能是更加貼身
[00:01:00.000 --> 00:01:02.000]  但往往講起這個願望
[00:01:02.000 --> 00:01:05.000]  我再重複講一講我們5G
[00:01:05.000 --> 00:01:07.000]  5G我們有五個G
[00:01:07.000 --> 00:01:09.000]  第一個是什麼呢?
[00:01:09.000 --> 00:01:11.000]  當場的5G的弟兄姊妹
[00:01:11.000 --> 00:01:12.000]  死了, 你們都不知道的
[00:01:12.000 --> 00:01:14.000]  這些人不會申請, 不會進去5G的
