
[00:00:00.000 --> 00:00:02.240]  好 頂姐妹 早安
[00:00:02.240 --> 00:00:03.480]  祝大家新年快樂
[00:00:03.480 --> 00:00:07.280]  2020了 有沒有甚麼不同了
[00:00:07.280 --> 00:00:08.400]  老了
[00:00:08.400 --> 00:00:14.080]  老練了
[00:00:14.080 --> 00:00:18.200]  這個時代沒甚麼人肯認老的 是不是
[00:00:18.200 --> 00:00:19.280]  有 我認
[00:00:19.280 --> 00:00:19.920]  你呀
[00:00:19.920 --> 00:00:20.560]  我認的
[00:00:20.560 --> 00:00:21.520]  你認的
[00:00:21.520 --> 00:00:23.640]  我認你不到
[00:00:27.280 --> 00:00:30.800]  我們都不敢隨便說話
[00:00:30.800 --> 00:00:33.840]  一說錯話就很
[00:00:33.840 --> 00:00:40.320]  最近都有個很個人的
[00:00:40.320 --> 00:00:43.840]  即是傷感的時刻
[00:00:43.840 --> 00:00:48.320]  我又有個自己覺得很搞笑的時刻
[00:00:48.320 --> 00:00:52.320]  娃娃的大哥上個星期六出殯
[00:00:52.320 --> 00:00:54.480]  我坐在左前方
[00:00:54.480 --> 00:00:57.760]  我是女婿 即是家裏的女婿
[00:00:57.760 --> 00:00:59.840]  兄弟姐妹就在前面
[00:00:59.840 --> 00:01:01.680]  家屬那裏坐
[00:01:01.680 --> 00:01:03.320]  突然有個人拍我
[00:01:03.320 --> 00:01:08.480]  他說你太太說大哥出來了
[00:01:08.480 --> 00:01:09.800]  大哥來了
[00:01:09.800 --> 00:01:12.800]  我大哥就是剛剛過世的那個大哥
[00:01:12.800 --> 00:01:15.680]  大哥來了 即是他的靈救推出來
[00:01:15.680 --> 00:01:18.480]  我馬上起來 很肅穆的
[00:01:18.480 --> 00:01:24.480]  接著他說我自己大哥來了
[00:01:24.480 --> 00:01:27.120]  我馬上的心情都不同了
[00:01:27.120 --> 00:01:30.800]  原來大哥不要隨便說
[00:01:30.800 --> 00:01:34.880]  又不說得清楚 傳話傳到大哥來了
[00:01:34.880 --> 00:01:36.560]  那我真的要起來
[00:01:36.560 --> 00:01:41.040]  誰知原來是我大哥來靈堂慰問
[00:01:41.040 --> 00:01:42.800]  那天我有點尷尬
[00:01:42.800 --> 00:01:44.480]  因為那一刻我看不到東西
[00:01:44.480 --> 00:01:46.400]  我是遇到
[00:01:46.400 --> 00:01:50.320]  有時在人生裏面
