
[00:00:00.000 --> 00:00:02.920]  各位電影節目員一開始就想問你們一條
[00:00:02.920 --> 00:00:04.920]  問你們心的問題
[00:00:04.920 --> 00:00:06.920]  內心的問題
[00:00:06.920 --> 00:00:11.400]  誰由出生到現在
[00:00:11.400 --> 00:00:16.640]  說過謊話的,請舉手
[00:00:16.640 --> 00:00:22.280]  真的,說過謊話的,請舉手
[00:00:22.280 --> 00:00:29.960]  今天沒時間了,其實我很想訪問一下一些
[00:00:30.160 --> 00:00:32.160]  沒舉手的那些
[00:00:32.160 --> 00:00:34.720]  是不是真的沒說過謊話呢
[00:00:34.720 --> 00:00:37.280]  我不是他,我不知道
[00:00:37.280 --> 00:00:39.280]  但是心理學家說
[00:00:39.280 --> 00:00:42.960]  我們人很容易就會說謊話
[00:00:42.960 --> 00:00:46.360]  曾經有人說過,自己從來沒說過謊話
[00:00:46.360 --> 00:00:48.640]  這個可能是一個最大的謊話
[00:00:48.640 --> 00:00:55.680]  小木偶
[00:00:55.680 --> 00:00:57.560]  奇遇記
[00:00:59.440 --> 00:01:01.440]  有聽過這個故事嗎
[00:01:01.440 --> 00:01:04.560]  小木偶被木匠造出來之後
[00:01:04.560 --> 00:01:06.560]  有一個仙女賜予他生命
[00:01:06.560 --> 00:01:09.920]  他很開心地出街上學
[00:01:09.920 --> 00:01:11.920]  但誰知道出到花花世界
[00:01:11.920 --> 00:01:15.040]  就被花花世界吸引住
[00:01:15.040 --> 00:01:16.960]  甚至
[00:01:16.960 --> 00:01:19.440]  不想上學
[00:01:19.440 --> 00:01:22.000]  但是就認識到一些
[00:01:22.000 --> 00:01:23.680]  不太好的朋友
[00:01:23.680 --> 00:01:26.400]  一次就一次被人騙
[00:01:27.320 --> 00:01:29.520]  騙了他的錢,騙了他的感情
[00:01:29.520 --> 00:01:32.360]  後來這個小木偶
[00:01:32.360 --> 00:01:34.360]  就自己
[00:01:34.360 --> 00:01:36.360]  反過來騙別人
[00:01:36.360 --> 00:01:40.640]  故事,這個童話故事就說到這個小木偶
[00:01:40.640 --> 00:01:42.640]  每說一次謊話
[00:01:42.640 --> 00:01:44.640]  他的鼻子就會長一點,就長一點
[00:01:44.640 --> 00:01:46.640]  又再長一點
[00:01:46.640 --> 00:01:50.320]  這個小木偶在世上學到
[00:01:50.320 --> 00:01:53.640]  要保護自己
[00:01:53.640 --> 00:01:55.640]  要說謊,要去騙人
[00:01:56.200 --> 00:01:58.200]  不要用真心去對待其他人
[00:01:58.200 --> 00:02:02.760]  弟兄姊妹
[00:02:02.760 --> 00:02:04.760]  由你出世到現在
[00:02:04.760 --> 00:02:06.760]  你有沒有學到這一樣東西呢
[00:02:06.760 --> 00:02:10.040]  有時為了要保護自己
[00:02:10.040 --> 00:02:12.040]  或者要令自己舒服一點
[00:02:12.040 --> 00:02:16.040]  有時未必會這麼容易拿個心出來
[00:02:16.040 --> 00:02:18.040]  去對待其他人
[00:02:18.040 --> 00:02:20.040]  甚至我們會
[00:02:20.040 --> 00:02:22.040]  說謊,欺騙
[00:02:22.040 --> 00:02:24.040]  當然我們今天的鼻子
[00:02:24.040 --> 00:02:26.040]  不會像小木偶一樣越來越長
[00:02:27.160 --> 00:02:29.160]  但是我們
[00:02:29.160 --> 00:02:31.160]  生命的擔子
[00:02:31.160 --> 00:02:33.160]  的包袱會越來越重
[00:02:33.160 --> 00:02:35.160]  一路壓住你
[00:02:35.160 --> 00:02:37.160]  甚至影響
[00:02:37.160 --> 00:02:39.160]  你和人與人之間的關係
[00:02:39.160 --> 00:02:41.160]  人與人之間的距離
[00:02:41.160 --> 00:02:45.160]  今天我們看二弗所書四章
[00:02:45.160 --> 00:02:47.160]  這裡說到保羅其實是在教當時
[00:02:47.160 --> 00:02:49.160]  二弗所教會的弟兄姊妹
[00:02:49.160 --> 00:02:51.160]  強調當我們信了耶穌的時候
[00:02:51.160 --> 00:02:53.160]  我們行事為人
[00:02:53.160 --> 00:02:55.160]  不要再好像那些
[00:02:55.160 --> 00:02:57.160]  未信耶穌的那些愛邦人一樣
[00:02:57.160 --> 00:02:59.160]  全虛妄的心
[00:02:59.160 --> 00:03:01.160]  做事,心地昏暗
[00:03:01.160 --> 00:03:03.160]  良心喪盡
[00:03:03.160 --> 00:03:05.160]  放縱自己的私慾
[00:03:05.160 --> 00:03:07.160]  喜歡怎樣做就怎樣做,行各樣的污穢
[00:03:07.160 --> 00:03:09.160]  其中他講了一個
[00:03:09.160 --> 00:03:11.160]  很重要的例子就是
[00:03:11.160 --> 00:03:13.160]  我們小心,我們不要帶著一個
[00:03:13.160 --> 00:03:15.160]  不誠實的心去對待
[00:03:15.160 --> 00:03:17.160]  身邊的人
[00:03:17.160 --> 00:03:19.160]  當我們不誠實對待身邊的人的時候
[00:03:19.160 --> 00:03:21.160]  就很容易傷害身邊
[00:03:21.160 --> 00:03:23.160]  關心你的人,愛你的人
[00:03:23.160 --> 00:03:25.160]  所以今天我們
[00:03:25.160 --> 00:03:27.160]  嘗試在聖經裡面看看
[00:03:27.160 --> 00:03:29.160]  誠實這件事對我們來說
[00:03:29.160 --> 00:03:31.160]  有什麼提醒,有什麼幫助
[00:03:31.160 --> 00:03:33.160]  第一件事
[00:03:33.160 --> 00:03:35.160]  什麼是誠實呢
[00:03:35.160 --> 00:03:37.160]  我想你問小朋友都知道
[00:03:37.160 --> 00:03:39.160]  不要跟爸爸媽媽說謊
[00:03:39.160 --> 00:03:43.160]  不說謊
[00:03:43.160 --> 00:03:45.160]  棄絕謊言
[00:03:45.160 --> 00:03:47.160]  棄絕謊言不說謊,坦誠地
[00:03:47.160 --> 00:03:49.160]  面對其他的人
[00:03:49.160 --> 00:03:51.160]  甚至坦誠面對神
[00:03:51.160 --> 00:03:53.160]  面對自己
[00:03:53.160 --> 00:03:55.160]  這一個
[00:03:55.160 --> 00:03:57.160]  是誠實的表現
[00:03:57.160 --> 00:03:59.160]  不過你知不知道
[00:03:59.160 --> 00:04:01.160]  說謊的最高境界是什麼
[00:04:01.160 --> 00:04:07.160]  連自己都騙了
[00:04:07.160 --> 00:04:09.160]  有時都會
[00:04:09.160 --> 00:04:11.160]  我們會很合理化
[00:04:11.160 --> 00:04:13.160]  將自己不好的行為
[00:04:13.160 --> 00:04:15.160]  甚至自己對人
[00:04:15.160 --> 00:04:17.160]  不真誠說的謊話合理化
[00:04:19.160 --> 00:04:21.160]  舉個例子
[00:04:21.160 --> 00:04:23.160]  我講的都沒有傷害其他人
[00:04:23.160 --> 00:04:25.160]  我反而
[00:04:25.160 --> 00:04:27.160]  有時說下謊話幫下人
[00:04:27.160 --> 00:04:29.160]  你知不知道
[00:04:29.160 --> 00:04:31.160]  跟他講真相
[00:04:31.160 --> 00:04:33.160]  會令人很不開心,自己又沒好處
[00:04:33.160 --> 00:04:35.160]  難道又說你又肥又矮
[00:04:35.160 --> 00:04:37.160]  當然叫你靚仔
[00:04:37.160 --> 00:04:39.160]  我們很容易都會這樣
[00:04:39.160 --> 00:04:41.160]  稱讚別人靚仔有什麼所謂
[00:04:41.160 --> 00:04:43.160]  就算他不靚仔
[00:04:43.160 --> 00:04:45.160]  都稱讚他
[00:04:47.160 --> 00:04:49.160]  弟兄姊妹
[00:04:49.160 --> 00:04:51.160]  又或者
[00:04:51.160 --> 00:04:53.160]  我們選擇性
[00:04:53.160 --> 00:04:55.160]  有時
[00:04:55.160 --> 00:04:57.160]  我不是不誠實
[00:04:57.160 --> 00:04:59.160]  不過我是選擇性
[00:04:59.160 --> 00:05:01.160]  我有權講有權不講
[00:05:01.160 --> 00:05:03.160]  有些事我刻意隱瞞
[00:05:03.160 --> 00:05:05.160]  有一個
[00:05:05.160 --> 00:05:07.160]  媽媽和女兒的故事
[00:05:07.160 --> 00:05:09.160]  不知道會不會發生在你家裏
[00:05:09.160 --> 00:05:11.160]  媽媽
[00:05:11.160 --> 00:05:13.160]  很喜歡煲靚糖
[00:05:15.160 --> 00:05:17.160]  女兒
[00:05:17.160 --> 00:05:19.160]  減肥
[00:05:19.160 --> 00:05:21.160]  不喜歡喝那麼多糖
[00:05:21.160 --> 00:05:23.160]  但媽媽就見女兒
[00:05:23.160 --> 00:05:25.160]  開始出來工作很辛苦
[00:05:25.160 --> 00:05:27.160]  所以常常見到女兒那麼辛苦的時候
[00:05:27.160 --> 00:05:29.160]  就常常很有心機
