
[00:00:00.000 --> 00:00:05.000]  今天我的題目對我而言是很大的挑戰
[00:00:05.000 --> 00:00:08.000]  因為這一年謝牧師有一個感動
[00:00:08.000 --> 00:00:11.000]  我們要講「活出愛」
[00:00:11.000 --> 00:00:14.000]  即是如何在不同的層面活出
[00:00:14.000 --> 00:00:16.000]  順帝要我們活出的那份愛心
[00:00:16.000 --> 00:00:19.000]  因為聖經裡的的確
[00:00:19.000 --> 00:00:22.000]  其中我們基督教信仰的核心之一
[00:00:22.000 --> 00:00:26.000]  就是我們要愛神也要愛人
[00:00:26.000 --> 00:00:30.000]  今天我的題目就是要愛我們的媒體
[00:00:30.000 --> 00:00:32.000]  這個題目真的很不容易講
[00:00:32.000 --> 00:00:34.000]  有時候看著媒體
[00:00:34.000 --> 00:00:36.000]  怎麼去愛呢
[00:00:36.000 --> 00:00:39.000]  有時候媒體講的東西自己真的愛不下去
[00:00:39.000 --> 00:00:41.000]  或者有些節目真的愛不下去
[00:00:41.000 --> 00:00:43.000]  其實我正在煩惱的時候
[00:00:43.000 --> 00:00:45.000]  有一天我跟師母說
[00:00:45.000 --> 00:00:47.000]  怎麼去講這篇道呢
[00:00:47.000 --> 00:00:51.000]  師母就即時給我一次聖經
[00:00:51.000 --> 00:00:54.000]  所以今天我就用師母的聖經
[00:00:54.000 --> 00:00:56.000]  跟大家來分享
[00:00:56.000 --> 00:00:58.000]  所以有時候我們做丈夫的
[00:00:58.000 --> 00:00:59.000]  都要聽師母
[00:00:59.000 --> 00:01:00.000]  因為要聽太太的話
[00:01:00.000 --> 00:01:01.000]  如果你的太太在隔壁
[00:01:01.000 --> 00:01:02.000]  你也要跟她講
[00:01:02.000 --> 00:01:04.000]  有時候也要聽她的話
[00:01:04.000 --> 00:01:06.000]  他們有智慧
[00:01:06.000 --> 00:01:08.000]  不要以為他們沒有智慧
[00:01:08.000 --> 00:01:11.000]  我們要看到上帝有智慧給我們的妻子
[00:01:11.000 --> 00:01:14.000]  當我自己在想這篇道的時候
[00:01:14.000 --> 00:01:16.000]  我就想起2000年
[00:01:16.000 --> 00:01:21.000]  2000年在南非有一個人
[00:01:21.000 --> 00:01:24.000]  這個人叫做包華 是一個商人
[00:01:24.000 --> 00:01:27.000]  他的英文名字叫做Grandham Powell
[00:01:27.000 --> 00:01:30.000]  他在2000年有一個感動
[00:01:30.000 --> 00:01:34.000]  在南非開始一個祈禱
[00:01:34.000 --> 00:01:36.000]  為南非祈禱
[00:01:36.000 --> 00:01:39.000]  他沒有想過兩年之內
[00:01:39.000 --> 00:01:43.000]  因為他在南非開始為南非祈禱
[00:01:43.000 --> 00:01:47.000]  影響了整個非洲不同的國家
[00:01:47.000 --> 00:01:51.000]  都會為他們自己的國家有一個祈禱會
[00:01:51.000 --> 00:01:54.000]  他們通常就是用聖靈國人節那天
[00:01:54.000 --> 00:01:57.000]  去舉辦這個祈禱會
[00:01:57.000 --> 00:01:58.000]  他更加沒有想過
[00:01:58.000 --> 00:02:00.000]  再多兩年之後
[00:02:00.000 --> 00:02:05.000]  全世界有165個國家和地區
[00:02:05.000 --> 00:02:08.000]  居然都會舉辦這個祈禱會
[00:02:08.000 --> 00:02:11.000]  而香港就在2005年
[00:02:11.000 --> 00:02:13.000]  也就是五年之後
[00:02:13.000 --> 00:02:17.000]  在大球場開始了一個全球祈禱日
[00:02:17.000 --> 00:02:18.000]  我不知道當中有沒有
[00:02:18.000 --> 00:02:20.000]  電影節會在2005年
[00:02:20.000 --> 00:02:23.000]  第一屆有去這個全球祈禱日舉手
[00:02:23.000 --> 00:02:26.000]  也有些電影節會舉手
[00:02:26.000 --> 00:02:28.000]  一直六年
[00:02:28.000 --> 00:02:31.000]  在大球場都有這個全球祈禱日
[00:02:31.000 --> 00:02:34.000]  而當時他們祈禱的方向
[00:02:34.000 --> 00:02:36.000]  在當時他們的領袖
[00:02:36.000 --> 00:02:39.000]  當然這個領袖有很多不同的看法
[00:02:39.000 --> 00:02:41.000]  有些人說聖經邊有說這些東西
[00:02:41.000 --> 00:02:43.000]  但是他們的領袖
[00:02:43.000 --> 00:02:46.000]  他說要為七座山祈禱
[00:02:46.000 --> 00:02:47.000]  所謂七座山
[00:02:47.000 --> 00:02:49.000]  其實要為這個城市
[00:02:49.000 --> 00:02:50.000]  為這個國家
[00:02:50.000 --> 00:02:52.000]  有七個方向去祈禱
[00:02:52.000 --> 00:02:53.000]  這七個是什麼呢
[00:02:53.000 --> 00:02:57.000]  就是要為政府 教育 商業 娛樂 媒體
[00:02:57.000 --> 00:02:59.000]  家庭和宗教
[00:02:59.000 --> 00:03:02.000]  他說我們要為這七樣東西去禱告
[00:03:02.000 --> 00:03:04.000]  當時看著媒體
[00:03:04.000 --> 00:03:06.000]  都不太特別
[00:03:06.000 --> 00:03:08.000]  這個世界媒體都很傳統
[00:03:08.000 --> 00:03:10.000]  就算有無線電話
[00:03:10.000 --> 00:03:12.000]  這個真的是無線電話
[00:03:12.000 --> 00:03:14.000]  就算沒有人是水壺也好
[00:03:14.000 --> 00:03:16.000]  大龜小龜也好
[00:03:16.000 --> 00:03:18.000]  都是一個電話
[00:03:18.000 --> 00:03:20.000]  但是沒有人這樣過
[00:03:20.000 --> 00:03:22.000]  去到二零七年
[00:03:22.000 --> 00:03:24.000]  兩年之後
[00:03:24.000 --> 00:03:27.000]  因為有一個水果的電話出現
[00:03:27.000 --> 00:03:30.000]  而這個水果電話出現之後
[00:03:30.000 --> 00:03:32.000]  其實是未來
[00:03:32.000 --> 00:03:34.000]  接著那十七年到今天
[00:03:34.000 --> 00:03:37.000]  其實是改變了整個媒體
[00:03:37.000 --> 00:03:41.000]  今天這個手機已經不是叫電話
[00:03:41.000 --> 00:03:42.000]  叫什麼呢
[00:03:42.000 --> 00:03:44.000]  智能手機
[00:03:44.000 --> 00:03:46.000]  這個叫智能手機
[00:03:46.000 --> 00:03:48.000]  其實現在已經很少人
[00:03:48.000 --> 00:03:50.000]  拿著電話說話在街上
[00:03:50.000 --> 00:03:51.000]  以前很巴閉
[00:03:51.000 --> 00:03:53.000]  拿著水壺很巴閉
[00:03:53.000 --> 00:03:55.000]  現在都沒有人
[00:03:55.000 --> 00:03:57.000]  每個人都用什麼
[00:03:57.000 --> 00:03:59.000]  wechat
[00:03:59.000 --> 00:04:01.000]  現在的年輕人喜歡wechat
[00:04:01.000 --> 00:04:03.000]  就算一家人吃飯
[00:04:03.000 --> 00:04:06.000]  都會用wechat吃飯
[00:04:06.000 --> 00:04:08.000]  wechat
[00:04:08.000 --> 00:04:11.000]  香港用wechat
[00:04:11.000 --> 00:04:13.000]  在國內用什麼
[00:04:13.000 --> 00:04:14.000]  香港用whatsapp
[00:04:14.000 --> 00:04:15.000]  國內用wechat
[00:04:15.000 --> 00:04:16.000]  台灣用什麼
[00:04:16.000 --> 00:04:17.000]  line
[00:04:17.000 --> 00:04:18.000]  韓國用什麼
[00:04:18.000 --> 00:04:21.000]  不知道k字頭我忘了什麼名字
[00:04:21.000 --> 00:04:25.000]  全世界都在用這個手機
[00:04:25.000 --> 00:04:27.000]  其實這個手機
[00:04:27.000 --> 00:04:30.000]  改變了整個世界的媒體
[00:04:30.000 --> 00:04:33.000]  最近美國有一個研究
[00:04:33.000 --> 00:04:35.000]  有一個調查
[00:04:35.000 --> 00:04:37.000]  就是說
[00:04:37.000 --> 00:04:39.000]  無論whatsapp也好
[00:04:39.000 --> 00:04:40.000]  line也好
[00:04:40.000 --> 00:04:41.000]  wechat也好
[00:04:41.000 --> 00:04:44.000]  都有些表情符號
[00:04:44.000 --> 00:04:46.000]  emoji
[00:04:46.000 --> 00:04:50.000]  美國原來emoji
[00:04:50.000 --> 00:04:52.000]  最多人用是誰
[00:04:52.000 --> 00:04:54.000]  我給大家五個選
[00:04:54.000 --> 00:04:57.000]  你會覺得誰是最多人用
[00:04:57.000 --> 00:04:58.000]  是美國
[00:04:58.000 --> 00:04:59.000]  這個美國不是說香港
[00:04:59.000 --> 00:05:02.000]  原來美國經過調查之後
[00:05:02.000 --> 00:05:06.000]  最多人用的是笑到哭
[00:05:06.000 --> 00:05:08.000]  這個是美國
[00:05:08.000 --> 00:05:09.000]  香港我不知道
[00:05:09.000 --> 00:05:11.000]  但如果我問大家
[00:05:11.000 --> 00:05:12.000]  基督徒
[00:05:12.000 --> 00:05:15.000]  你覺得最多人用的emoji是什麼
[00:05:15.000 --> 00:05:17.000]  祈禱
