
[00:00:00.000 --> 00:00:02.000]  各位早晨,我們一起祈禱
[00:00:02.000 --> 00:00:05.400]  天父,我們也感謝祢讓我們一起思想主義華語
[00:00:05.400 --> 00:00:09.700]  藉著思想主義華語,聖靈開導我們有效的敬拜
[00:00:09.700 --> 00:00:12.200]  因為我們更加明白祢,我們更加敬畏祢
[00:00:12.200 --> 00:00:16.200]  更加敬拜祢,這樣來服侍祢
[00:00:16.200 --> 00:00:20.200]  主,求祢再一次聖靈幫助我講的孩子
[00:00:20.200 --> 00:00:23.200]  可以將你的華語講得明白
[00:00:23.200 --> 00:00:26.200]  也幫助我們姐妹用心聆聽
[00:00:26.200 --> 00:00:31.200]  主,求祢聖靈在我們中間,因為祢就是那位那麼奇妙
[00:00:31.200 --> 00:00:36.200]  使我們聖靈在我們中間,冠乎在我們當中的這位奇妙的上帝
[00:00:36.200 --> 00:00:41.200]  我們要敬拜祢,我們要感謝,讚美,我們要聆聽祢的華語
[00:00:41.200 --> 00:00:44.200]  祈禱,奉耶穌基督名志,阿門
[00:00:44.200 --> 00:00:52.200]  好,合一和睦的代價不簡單
[00:00:52.200 --> 00:00:55.200]  其實我們為什麼要講合一的呢,教會
[00:00:55.200 --> 00:00:58.200]  我們是怎樣講合一的呢
[00:00:58.200 --> 00:01:04.200]  有時候我們講合一,好像說到大家和睦共處
[00:01:04.200 --> 00:01:09.200]  和和氣氣,大家沒有意見,沒有爭執是最好的
[00:01:09.200 --> 00:01:12.200]  這些就叫做合一
[00:01:12.200 --> 00:01:15.200]  但是想一想,是不是我們要追求這種合一呢
[00:01:15.200 --> 00:01:17.200]  這種才叫做合一呢
[00:01:17.200 --> 00:01:24.200]  有時候我們的經驗,合一都未必是這樣才是一個健康的合一
[00:01:24.200 --> 00:01:26.200]  很簡單,我舉出兩點
[00:01:26.200 --> 00:01:29.200]  第一,有時候一個合一的群體,大家想一想
[00:01:29.200 --> 00:01:32.200]  無論是一個群體,一個組織,或者一個家庭
[00:01:32.200 --> 00:01:35.200]  是不是只有一個意見就叫做合一呢
[00:01:35.200 --> 00:01:39.200]  可不可以有不同的意見都可以合一呢
[00:01:39.200 --> 00:01:42.200]  當然我們的經驗是這樣的
[00:01:42.200 --> 00:01:45.200]  當然有時候也不是反過來講
[00:01:45.200 --> 00:01:48.200]  你的意見完全相反,就是合一
[00:01:48.200 --> 00:01:54.200]  不是這個意思,但是透過健康的討論、辯論、協調、磋商
[00:01:54.200 --> 00:01:59.200]  我們可能最後會有接近的意見
[00:01:59.200 --> 00:02:02.200]  這種都可能是合一
[00:02:02.200 --> 00:02:05.200]  而且有時候大家都是一個意見
[00:02:05.200 --> 00:02:07.200]  這些未必是合一,為什麼呢
[00:02:07.200 --> 00:02:11.200]  因為可能有些人是透過操控的手法
[00:02:11.200 --> 00:02:14.200]  使得大家,現在我講,說了算
[00:02:14.200 --> 00:02:18.200]  到時候每個人都同一個意見,這是不是合一呢
[00:02:18.200 --> 00:02:22.200]  再嚴重一點,如果我們了解那些教派
[00:02:22.200 --> 00:02:24.200]  有些異端的教派
[00:02:24.200 --> 00:02:28.200]  很多時候就是將這件事用得更加厲害
[00:02:28.200 --> 00:02:30.200]  所謂合一其實是洗腦
[00:02:30.200 --> 00:02:32.200]  大家都是同一個想法
