
[00:00:00.000 --> 00:00:07.000]  在這方面我們感謝主耶穌願意來到這個世界為我們的罪死而復活
[00:00:07.000 --> 00:00:09.000]  並且帶領我們的生命
[00:00:09.000 --> 00:00:14.000]  又願意我們思想如何去回應這個愛
[00:00:14.000 --> 00:00:17.000]  求主藉著你的話提醒我們
[00:00:17.000 --> 00:00:19.000]  祈禱奉主耶穌基督的名
[00:00:19.000 --> 00:00:21.000]  阿們
[00:00:21.000 --> 00:00:27.000]  很多時候我們都會看看我們究竟擁有多少
[00:00:27.000 --> 00:00:29.000]  我們有些什麼
[00:00:29.000 --> 00:00:33.000]  人總是會有一種自己自我
[00:00:33.000 --> 00:00:35.000]  或多或少都有
[00:00:35.000 --> 00:00:38.000]  最近理工大學做了一個調查
[00:00:38.000 --> 00:00:40.000]  調查是怎樣呢
[00:00:40.000 --> 00:00:45.000]  看看青少年究竟他們的道德品格是怎樣
[00:00:45.000 --> 00:00:48.000]  主要是有幾方面
[00:00:48.000 --> 00:00:50.000]  或者我和大家分享兩方面
[00:00:50.000 --> 00:00:56.000]  第一是看看他們對於物質主義是怎樣的看法
[00:00:56.000 --> 00:00:59.000]  是不是很純上的物質
[00:00:59.000 --> 00:01:04.000]  結果他們找了11間中學去調查
[00:01:04.000 --> 00:01:10.000]  找了一些學生和老師和校長一起
[00:01:10.000 --> 00:01:14.000]  他們發覺那些老師怎樣說呢
[00:01:14.000 --> 00:01:16.000]  他們的觀感對於青少年人
[00:01:16.000 --> 00:01:19.000]  他們是不是一個很物質主義的呢
[00:01:19.000 --> 00:01:24.000]  結果有六成的老師說他們是很物質的
[00:01:24.000 --> 00:01:26.000]  例如怎樣物質呢
[00:01:26.000 --> 00:01:30.000]  還有一些小小的意思在裏面
[00:01:30.000 --> 00:01:32.000]  特別是題目就是這樣說
[00:01:32.000 --> 00:01:34.000]  其中有些會這樣問
[00:01:34.000 --> 00:01:41.000]  他說一個人的成功是不是等於他很有富有
[00:01:41.000 --> 00:01:43.000]  即是說他們覺得什麼是成功呢
[00:01:43.000 --> 00:01:45.000]  就是有錢有富有
[00:01:45.000 --> 00:01:47.000]  這個就是成功了
[00:01:47.000 --> 00:01:51.000]  有四成多的學生說同意
[00:01:51.000 --> 00:01:53.000]  我也同意
[00:01:53.000 --> 00:01:55.000]  另外還有說
[00:01:55.000 --> 00:01:59.000]  賺錢比其他東西更加重要
[00:01:59.000 --> 00:02:03.000]  也有大概四成的學生會認同他的看法
[00:02:03.000 --> 00:02:07.000]  即是說這個世界對於年青人來說
[00:02:07.000 --> 00:02:09.000]  擁有一些東西
[00:02:09.000 --> 00:02:11.000]  生活就會好一些 美滿一些
[00:02:11.000 --> 00:02:14.000]  另外還有另外一個類別
[00:02:14.000 --> 00:02:18.000]  年青人究竟是不是自我中心的
[00:02:18.000 --> 00:02:20.000]  又再去調查
[00:02:20.000 --> 00:02:23.000]  那些老師你猜一下
[00:02:23.000 --> 00:02:25.000]  他們認為他們是不是自我中心呢
[00:02:25.000 --> 00:02:27.000]  就這樣點頭
[00:02:27.000 --> 00:02:28.000]  比率是多少呢
[00:02:28.000 --> 00:02:30.000]  八成的老師覺得是這樣
[00:02:30.000 --> 00:02:34.000]  其中有些什麼再仔細的題目呢
[00:02:34.000 --> 00:02:36.000]  例如
[00:02:36.000 --> 00:02:40.000]  我的感受比別人的感受更加重要
[00:02:40.000 --> 00:02:42.000]  即是這樣的自我中心
[00:02:42.000 --> 00:02:44.000]  我的利益比其他人更加重要
[00:02:44.000 --> 00:02:48.000]  那些老師就說年青人八成都是這樣
[00:02:48.000 --> 00:02:50.000]  那年青人又怎麼看自己呢
[00:02:50.000 --> 00:02:51.000]  當然沒有那麼高的
[00:02:51.000 --> 00:02:52.000]  有五成
[00:02:52.000 --> 00:02:54.000]  五成也算是忠實
[00:02:54.000 --> 00:02:56.000]  但五成的比率也很厲害
[00:02:56.000 --> 00:02:59.000]  人很喜歡覺得
[00:02:59.000 --> 00:03:01.000]  我能夠擁有
[00:03:01.000 --> 00:03:03.000]  我能夠去把持我自己
[00:03:03.000 --> 00:03:05.000]  我要控制這個世界
[00:03:05.000 --> 00:03:07.000]  什麼都是我我我
[00:03:07.000 --> 00:03:09.000]  其實不只是年青人
[00:03:09.000 --> 00:03:11.000]  其實不同的年紀
[00:03:11.000 --> 00:03:13.000]  或多或少我們都會這樣
[00:03:13.000 --> 00:03:16.000]  香港人覺得要爭取很多權益
[00:03:16.000 --> 00:03:18.000]  這個是無可厚非的
[00:03:18.000 --> 00:03:20.000]  但如果背後是存著一個
[00:03:20.000 --> 00:03:22.000]  是我我我這樣的心態
[00:03:22.000 --> 00:03:24.000]  自我心態呢
[00:03:24.000 --> 00:03:26.000]  這樣是不是真的找到真正的
[00:03:26.000 --> 00:03:28.000]  一個人生的滿足
[00:03:28.000 --> 00:03:30.000]  和幸福呢
[00:03:30.000 --> 00:03:32.000]  我們知道耶穌基督的生命
[00:03:32.000 --> 00:03:33.000]  完全很不同
[00:03:33.000 --> 00:03:34.000]  耶穌基督說
[00:03:34.000 --> 00:03:37.000]  我來到不是要受人的服侍
[00:03:37.000 --> 00:03:39.000]  乃是要服侍人
[00:03:39.000 --> 00:03:41.000]  並且寫明作多人的屬教
[00:03:41.000 --> 00:03:44.000]  完全不同的一個生命
[00:03:46.000 --> 00:03:47.000]  他來到耶穌基督
[00:03:47.000 --> 00:03:49.000]  聖誕節是什麼意思
[00:03:49.000 --> 00:03:50.000]  聖誕節的意義
[00:03:50.000 --> 00:03:51.000]  我覺得最重要的是
[00:03:51.000 --> 00:03:52.000]  這位耶穌基督
[00:03:52.000 --> 00:03:54.000]  他願意降卑來到這個世界
[00:03:54.000 --> 00:03:56.000]  為我們犧牲
[00:03:56.000 --> 00:03:57.000]  為我們得到一個
[00:03:57.000 --> 00:03:59.000]  很豐盛的人生的禮物
[00:03:59.000 --> 00:04:01.000]  人要怎樣呢
[00:04:01.000 --> 00:04:03.000]  人要放下自我
[00:04:03.000 --> 00:04:05.000]  去謙卑馴服
[00:04:05.000 --> 00:04:07.000]  以致我們能夠得到這份禮物
