
[00:00:00.000 --> 00:00:04.820]  讀一段聖經在約蘇亞紀第四章第四節到第七節
[00:00:04.820 --> 00:00:10.520]  這裏說 於是約蘇亞將他從以色列人中所預備的那十二個人
[00:00:10.520 --> 00:00:12.400]  每支派一個人都招了來
[00:00:12.400 --> 00:00:14.400]  對他們說 你們下約在河中
[00:00:14.400 --> 00:00:17.340]  過到耶和華你們神的約會前頭
[00:00:17.340 --> 00:00:19.480]  按照以色列人十二支派的數目
[00:00:19.480 --> 00:00:22.080]  每人取一塊石頭扛在肩上
[00:00:22.080 --> 00:00:24.400]  這些石頭在你們中間可以作爲證據
[00:00:24.400 --> 00:00:26.240]  日後你們的子孫問你們說
[00:00:26.240 --> 00:00:28.240]  這些石頭什麼意思呢
[00:00:28.240 --> 00:00:34.240]  你們就對他們說 這是因爲耶和華的水在約的會前斷絕
[00:00:34.240 --> 00:00:38.240]  約會過約旦河的時候 約旦河的水就斷絕了
[00:00:38.240 --> 00:00:42.040]  這些石頭要作爲以色列人永遠的紀念
[00:00:42.040 --> 00:00:44.040]  再讀二十四節一同來唸這些聖經
[00:00:44.040 --> 00:00:48.840]  來 要使地上萬民都知道 耶和華的手大有能力
[00:00:48.840 --> 00:00:53.040]  也要使你們永遠敬畏耶和華你們的神
[00:00:53.040 --> 00:00:55.040]  我們就讀到這裏
[00:00:55.040 --> 00:00:58.040]  昨天晚上纔剛從紐約回來
[00:00:58.040 --> 00:01:02.040]  昨天下午在紐約豐收林良堂很高興的
[00:01:02.040 --> 00:01:06.040]  他們有個新堂落成的感恩崇拜
[00:01:06.040 --> 00:01:10.040]  你知道神真的給他們一塊地坐落在加美之處
[00:01:10.040 --> 00:01:14.040]  在Long Island跟Queens交口的地方
[00:01:14.040 --> 00:01:17.040]  他們這塊地坐落在兩個county
[00:01:17.040 --> 00:01:21.040]  一半在長島 一半就在Queens
[00:01:21.040 --> 00:01:24.040]  這個地方都是最高級區
[00:01:24.040 --> 00:01:28.040]  相當於我們這邊教育的
[00:01:28.040 --> 00:01:30.040]  都是Cupertino那種area
[00:01:30.040 --> 00:01:32.040]  所以非常不容易的地方
[00:01:32.040 --> 00:01:36.040]  神竟然給他們兩畝地紐約
[00:01:36.040 --> 00:01:39.040]  兩畝地他們蓋了一個新的教會
[00:01:39.040 --> 00:01:42.040]  金碧輝煌漂亮的不得了
[00:01:42.040 --> 00:01:44.040]  他們的教會可以容納八百人
[00:01:44.040 --> 00:01:46.040]  不但有八百人
[00:01:46.040 --> 00:01:48.040]  他們旁邊還有一個非常漂亮
[00:01:48.040 --> 00:01:50.040]  有小橋流水
[00:01:50.040 --> 00:01:53.040]  真的有流水的一個結婚花園
[00:01:53.040 --> 00:01:55.040]  Hallelujah
[00:01:55.040 --> 00:01:57.040]  紐約
[00:01:57.040 --> 00:02:00.040]  我們在那裏真的是
[00:02:00.040 --> 00:02:02.040]  歡喜快樂 非常漂亮
[00:02:02.040 --> 00:02:04.040]  下次有機會一定要show個照片給你們看
[00:02:04.040 --> 00:02:06.040]  真是amazing
[00:02:06.040 --> 00:02:08.040]  我說金碧真的是金碧
[00:02:08.040 --> 00:02:10.040]  因爲每一樣都是K金 24K金
[00:02:10.040 --> 00:02:12.040]  Everything K金
[00:02:12.040 --> 00:02:14.040]  感謝神
[00:02:14.040 --> 00:02:16.040]  他們很多是做工的
[00:02:16.040 --> 00:02:20.040]  他們在教會里面很多都是一些工程的人
[00:02:20.040 --> 00:02:22.040]  他們剛好有個project
[00:02:22.040 --> 00:02:24.040]  他們有很多K金
[00:02:24.040 --> 00:02:26.040]  通通送給教會
[00:02:26.040 --> 00:02:28.040]  所有的燈都是chandelier
[00:02:28.040 --> 00:02:31.040]  都非常漂亮像宮殿似的
[00:02:31.040 --> 00:02:33.040]  因爲有一個燈店倒閉了
[00:02:33.040 --> 00:02:36.040]  所有燈通通送給他們
[00:02:36.040 --> 00:02:40.040]  他們所有的很大的庭院
[00:02:40.040 --> 00:02:42.040]  所有的椅子桌子
[00:02:42.040 --> 00:02:44.040]  所有的庭院的東西
[00:02:44.040 --> 00:02:46.040]  通通是一家倒閉送給他們
[00:02:46.040 --> 00:02:49.040]  上帝用各樣的資源供應他們
[00:02:49.040 --> 00:02:52.040]  超級便宜
[00:02:52.040 --> 00:02:54.040]  所有東西都是他們自己做
[00:02:54.040 --> 00:02:56.040]  所有東西自己貼
[00:02:56.040 --> 00:02:59.040]  連LED板這麼大全部自己貼
[00:02:59.040 --> 00:03:01.040]  太厲害了這個教會
[00:03:01.040 --> 00:03:03.040]  我們真的看見神的恩典在他們身上
[00:03:03.040 --> 00:03:05.040]  我們昨天非常的喜熱
[00:03:05.040 --> 00:03:07.040]  真的看見Shakina Glory
[00:03:07.040 --> 00:03:10.040]  突破的恩高大有威力
[00:03:10.040 --> 00:03:12.040]  直到紐約你知道嗎
[00:03:12.040 --> 00:03:13.040]  Hallelujah
[00:03:13.040 --> 00:03:16.040]  你知道去年12月底的時候
[00:03:16.040 --> 00:03:20.040]  其實還有13樣檢查沒有過
[00:03:20.040 --> 00:03:23.040]  包括水跟電跟防火都沒過
[00:03:23.040 --> 00:03:25.040]  但是眼看着他們旅館的租約
[00:03:25.040 --> 00:03:28.040]  他們本來在旅館聚會通通cancel了
[00:03:28.040 --> 00:03:31.040]  結果12月底又不能過
[00:03:31.040 --> 00:03:32.040]  旅館也不能去
[00:03:32.040 --> 00:03:33.040]  就無地可去了
[00:03:33.040 --> 00:03:36.040]  冬天在紐約去哪裏聚會
[00:03:36.040 --> 00:03:39.040]  他們就到紐約的房屋局去求情
[00:03:39.040 --> 00:03:41.040]  剛好局長每個禮拜四六點到八點
[00:03:41.040 --> 00:03:43.040]  有一段時間是開門
[00:03:43.040 --> 00:03:46.040]  給大家求情 陳情
[00:03:46.040 --> 00:03:49.040]  蕭牧師蕭師母就去陳情
[00:03:49.040 --> 00:03:51.040]  可憐我們沒地方去
[00:03:51.040 --> 00:03:53.040]  結果去年12月底
[00:03:53.040 --> 00:03:56.040]  他們給他們一個臨時的使用執照
[00:03:56.040 --> 00:03:57.040]  他們就搬進去
[00:03:57.040 --> 00:03:59.040]  直到如今還是臨時的
[00:03:59.040 --> 00:04:01.040]  感謝上帝
[00:04:01.040 --> 00:04:04.040]  沒聽過有13樣重大的檢查都沒過
[00:04:04.040 --> 00:04:05.040]  居然讓他們進去聚會
[00:04:05.040 --> 00:04:07.040]  這從來沒聽過的
[00:04:07.040 --> 00:04:09.040]  突破的恩高真的降臨了
[00:04:09.040 --> 00:04:11.040]  Amen
[00:04:14.040 --> 00:04:16.040]  感謝神我們這邊也是突破恩高
[00:04:16.040 --> 00:04:17.040]  我們鑑定的工程
[00:04:17.040 --> 00:04:21.040]  上個禮拜我們剛剛通過了水電
[00:04:21.040 --> 00:04:23.040]  機械跟絕緣的檢查
