
[00:00:00.000 --> 00:00:03.100]  今天跟弟兄姊妹分享的題目是
[00:00:03.100 --> 00:00:06.360]  我的好處不在你以外
[00:00:06.360 --> 00:00:10.120]  那我們常常會聽一些還沒有
[00:00:10.120 --> 00:00:11.760]  信主的朋友會問我們
[00:00:11.760 --> 00:00:14.720]  通常我們在向他們傳福音的時候
[00:00:14.720 --> 00:00:18.600]  他們就會說 那究竟信耶穌有什麼好處呢
[00:00:18.600 --> 00:00:23.160]  這個是非常實在的問題 跟他們的這種
[00:00:23.160 --> 00:00:25.400]  功利主義也有關係
[00:00:25.400 --> 00:00:28.000]  不過呢 我們可以理解 常常我們會遇到
[00:00:28.000 --> 00:00:29.680]  這樣的一些朋友 他們會問
[00:00:30.120 --> 00:00:33.920]  信耶穌有什麼好處 甚至不只是
[00:00:33.920 --> 00:00:38.720]  這些還沒有信主的朋友 他們會問這個問題
[00:00:38.720 --> 00:00:42.320]  也有可能我們已經信主的弟兄姊妹
[00:00:42.320 --> 00:00:44.520]  也會問這樣的問題
[00:00:44.520 --> 00:00:47.800]  我不曉得弟兄姊妹你沒有問過自己
[00:00:47.800 --> 00:00:51.000]  當你信主了一段時間以後 你突然會問
[00:00:51.000 --> 00:00:54.120]  究竟我信主信了這麼長的時間
[00:00:54.120 --> 00:00:58.320]  好像我從主那裡得到什麼好處了呢
[00:00:59.800 --> 00:01:02.800]  這個問題我想透過今天的這個
[00:01:02.800 --> 00:01:06.000]  詩篇十六篇 我們來看看詩人大衛
[00:01:06.000 --> 00:01:08.600]  給我們什麼樣的一些的啟發
[00:01:08.600 --> 00:01:12.320]  我們先來讀一讀今天的經文
[00:01:12.320 --> 00:01:15.400]  在舊約的詩篇十六篇
[00:01:15.400 --> 00:01:18.400]  我們一起來念
[00:01:18.400 --> 00:01:23.520]  神啊 求祢保佑我 因為我投靠祢
[00:01:23.520 --> 00:01:26.920]  我的神啊 祢曾對依侯華說
[00:01:27.000 --> 00:01:31.120]  祢是我的主 我的好處不在祢以外
[00:01:31.120 --> 00:01:35.520]  論道世上的聖民 他們又美又善
[00:01:35.520 --> 00:01:37.520]  是我最喜悅的
[00:01:37.520 --> 00:01:40.320]  以別神代替依侯華的
[00:01:40.320 --> 00:01:42.920]  他們的愁苦必加增
[00:01:42.920 --> 00:01:46.120]  他們所澆澱的血 我不獻上
[00:01:46.120 --> 00:01:50.120]  我嘴唇也不提別神的名號
[00:01:50.120 --> 00:01:54.720]  依侯華是我的產業 是我杯中的糞
[00:01:54.800 --> 00:01:57.720]  我所得的 祢為我持守
[00:01:57.720 --> 00:02:00.720]  用神量給我的地界
[00:02:00.720 --> 00:02:02.920]  座落在加美之處
[00:02:02.920 --> 00:02:05.320]  我的產業實在美好
[00:02:05.320 --> 00:02:08.920]  我必稱頌那只叫我的依侯華
[00:02:08.920 --> 00:02:12.720]  我的心腸在夜間也警戒我
[00:02:12.720 --> 00:02:16.920]  我將依侯華擺在 常擺在我面前
[00:02:16.920 --> 00:02:20.720]  因他在我右邊 我便不至搖動
[00:02:21.920 --> 00:02:25.520]  因此我的心歡喜 我的靈快樂
[00:02:25.520 --> 00:02:28.520]  我的右身也要安然居住
[00:02:28.520 --> 00:02:32.520]  因為祢必不將我的靈魂撇在陰間
[00:02:32.520 --> 00:02:35.520]  也不叫祢的聖者見朽壞
[00:02:35.520 --> 00:02:39.920]  祢必將生命的道路指示我
[00:02:39.920 --> 00:02:42.920]  在祢面前有滿足的喜樂
[00:02:42.920 --> 00:02:46.920]  在祢右手中有永遠的福樂
[00:02:46.920 --> 00:02:50.320]  短短的十一節的經文
[00:02:50.320 --> 00:02:53.120]  這是大衛的經詩
[00:02:53.120 --> 00:02:56.120]  我們在看這段經文之前
[00:02:56.120 --> 00:02:58.720]  在最上面有一個小字
[00:02:58.720 --> 00:03:00.320]  就是當你讀聖經的時候
[00:03:00.320 --> 00:03:04.320]  會看到這裡提示我們大衛的經詩
[00:03:04.320 --> 00:03:07.520]  很特別
[00:03:07.520 --> 00:03:11.520]  經詩其實有很多個不同的解釋
[00:03:11.520 --> 00:03:14.120]  有的人說這個可能是
[00:03:14.120 --> 00:03:16.720]  有關刻印的那個意思
[00:03:16.720 --> 00:03:20.520]  就像舊約的七十四義本
[00:03:20.520 --> 00:03:22.920]  他就把這個傑作
[00:03:22.920 --> 00:03:25.720]  刻掛在柱子上
[00:03:25.720 --> 00:03:27.720]  做得勝的紀念
[00:03:27.720 --> 00:03:30.120]  也就是說好像這個很特別
[00:03:30.120 --> 00:03:31.720]  要把它刻出來
[00:03:31.720 --> 00:03:34.520]  然後要印在這個柱子上面
[00:03:34.520 --> 00:03:37.120]  為的是要做得勝的紀念
[00:03:37.120 --> 00:03:41.120]  這首詩篇其實在新約裡面
[00:03:41.120 --> 00:03:42.920]  也被使徒保羅
[00:03:42.920 --> 00:03:46.320]  還有被使徒彼得都曾經引用過
[00:03:46.320 --> 00:03:47.520]  他們都說
[00:03:47.520 --> 00:03:50.920]  這段的經文是指著主耶穌說的
[00:03:50.920 --> 00:03:53.520]  所以這裡說它是經詩
[00:03:53.520 --> 00:03:54.720]  一點也不為過
[00:03:54.720 --> 00:03:58.320]  因為是指著我們的主耶穌基督說的
[00:03:58.320 --> 00:04:01.320]  那其他翻譯成經詩的
[00:04:01.320 --> 00:04:04.920]  有些時候也稱為大衛的金珍珠
