
[00:00:00.000 --> 00:00:03.320]  我們很感謝神見到有青年弟兄姊妹
[00:00:03.320 --> 00:00:06.680]  他們是一齊同心地來見證
[00:00:06.680 --> 00:00:10.720]  向他們同輩的很多朋友分享信仰
[00:00:10.720 --> 00:00:13.560]  是一件很美好很寶貴的事情
[00:00:13.560 --> 00:00:15.560]  而我們在其他年齡的弟兄姊妹
[00:00:15.560 --> 00:00:17.360]  我們也一齊來關心
[00:00:17.360 --> 00:00:19.600]  很多不同的青年少年
[00:00:19.600 --> 00:00:20.960]  他們的需要
[00:00:20.960 --> 00:00:24.160]  也關心到神對他們的心意
[00:00:24.160 --> 00:00:27.360]  我們一齊來先有個祈禱的時間
[00:00:31.000 --> 00:00:33.000]  天父我們感謝祢
[00:00:33.000 --> 00:00:37.000]  因為祢的救恩臨到我們的身上
[00:00:37.000 --> 00:00:40.000]  主我們今天成為了何等樣的人
[00:00:40.000 --> 00:00:42.000]  完全是祢的恩典才成
[00:00:42.000 --> 00:00:44.000]  主祢不單給我們今天
[00:00:44.000 --> 00:00:47.000]  有祢所給我們每一天的同在
[00:00:47.000 --> 00:00:49.000]  祢更加將永恆的盼望
[00:00:49.000 --> 00:00:51.000]  賜在我們生命當中
[00:00:51.000 --> 00:00:53.000]  主我們感謝祢
[00:00:53.000 --> 00:00:57.000]  因為祢的確是我們每一天的同在
[00:00:57.000 --> 00:00:59.000]  每一天的保守
[00:00:59.000 --> 00:01:01.000]  我們今天再次打開聖經
[00:01:01.000 --> 00:01:03.000]  思想祢的說話
[00:01:03.000 --> 00:01:05.000]  求祢藉著祢寶貴的聖靈
[00:01:05.000 --> 00:01:06.000]  指教我們
[00:01:06.000 --> 00:01:09.000]  讓我們心靈被祢開闖
[00:01:09.000 --> 00:01:12.000]  我們更加去明白祢的心意
[00:01:12.000 --> 00:01:14.000]  又去跟隨
[00:01:14.000 --> 00:01:15.000]  我們這段時間
[00:01:15.000 --> 00:01:17.000]  求主自己賜下聖靈
[00:01:17.000 --> 00:01:19.000]  引導我們的心思
[00:01:19.000 --> 00:01:20.000]  我們仰望祈禱
[00:01:20.000 --> 00:01:22.000]  奉耶穌基督成名求
[00:01:22.000 --> 00:01:24.000]  阿們
[00:01:24.000 --> 00:01:27.000]  今天和大家一起再思想一段聖經
[00:01:27.000 --> 00:01:30.000]  聖經就是《馬太福音》第十八章的經文
[00:01:30.000 --> 00:01:33.000]  大家剛才都一起讀過
[00:01:33.000 --> 00:01:39.000]  我們再看一看聖經裏面的經文
[00:01:39.000 --> 00:01:40.000]  大家都會留意到
[00:01:40.000 --> 00:01:41.000]  今天是一個特別的主日
[00:01:41.000 --> 00:01:45.000]  是一個青年少年的外展的主日
[00:01:45.000 --> 00:01:46.000]  很多人都說到
[00:01:46.000 --> 00:01:50.000]  在香港有很多不同的社會問題
[00:01:50.000 --> 00:01:52.000]  而青少年的問題
[00:01:52.000 --> 00:01:54.000]  很多人有一個體會
[00:01:54.000 --> 00:01:59.000]  是各種的社會問題當中的重災區
[00:01:59.000 --> 00:02:01.000]  這個字眼很特別
[00:02:01.000 --> 00:02:03.000]  是說到在很多的青年群體裏面
[00:02:03.000 --> 00:02:06.000]  見到很多很多社會的問題
[00:02:06.000 --> 00:02:09.000]  都在他們中間出現
[00:02:09.000 --> 00:02:11.000]  當然大家如果經常留意報紙的時候
[00:02:11.000 --> 00:02:15.000]  你一定會數得出很多不同的一些問題
[00:02:15.000 --> 00:02:18.000]  無論包括了一些青少年的賭博的問題
[00:02:18.000 --> 00:02:20.000]  濫藥的問題
[00:02:20.000 --> 00:02:21.000]  或者家庭的問題
[00:02:21.000 --> 00:02:23.000]  個人成長的問題
[00:02:23.000 --> 00:02:25.000]  或者牽涉到一些情慾
[00:02:25.000 --> 00:02:28.000]  或者是一些情緒的問題
[00:02:28.000 --> 00:02:30.000]  很多事情出現的時候
[00:02:30.000 --> 00:02:34.000]  有時候我們都會容易有一種的反應
[00:02:34.000 --> 00:02:35.000]  就是會覺得
[00:02:35.000 --> 00:02:38.000]  很多青少年他們不成熟
[00:02:38.000 --> 00:02:41.000]  他們年少無知
[00:02:41.000 --> 00:02:43.000]  等他們撞一下板
[00:02:43.000 --> 00:02:45.000]  慢慢他們會學會的了
[00:02:45.000 --> 00:02:47.000]  很容易用幾句話
[00:02:47.000 --> 00:02:49.000]  我們就會去撥開了
[00:02:49.000 --> 00:02:54.000]  理會到這一大群的生命的需要
[00:02:54.000 --> 00:02:55.000]  當你讀聖經的時候
[00:02:55.000 --> 00:02:56.000]  你會發覺
[00:02:56.000 --> 00:03:00.000]  在聖經裏面主耶穌是很重視孩童
[00:03:00.000 --> 00:03:02.000]  少年、青年
[00:03:02.000 --> 00:03:03.000]  在祂的心裏面
[00:03:03.000 --> 00:03:07.000]  這些的生命是極其的寶貴
[00:03:07.000 --> 00:03:09.000]  不單止聖經裏面這樣說
[00:03:09.000 --> 00:03:11.000]  當我們看回很多教會歷史的時候
[00:03:11.000 --> 00:03:12.000]  你會發覺
[00:03:12.000 --> 00:03:14.000]  神是很多時候在不同的階段
[00:03:14.000 --> 00:03:18.000]  興起了很多的青年、少年的教徒
[00:03:18.000 --> 00:03:22.000]  是用他們成為了很重要的見證
[00:03:22.000 --> 00:03:23.000]  一個很明顯的例子
[00:03:23.000 --> 00:03:25.000]  在歷史當中宣教的運動裏面
[00:03:25.000 --> 00:03:30.000]  有很多神很重用的宣教工作
[00:03:30.000 --> 00:03:33.000]  是從青年人當中興起的
[00:03:33.000 --> 00:03:39.000]  成為了很多重要的宣教運動的啟動人士
[00:03:39.000 --> 00:03:42.000]  上帝是很重視這一群人
[00:03:42.000 --> 00:03:44.000]  也是我們今天要思想
[00:03:44.000 --> 00:03:46.000]  我們怎樣能夠同神同心
[00:03:46.000 --> 00:03:49.000]  去關心這一群的朋友
[00:03:49.000 --> 00:03:51.000]  這一群的弟兄姊妹
[00:03:51.000 --> 00:03:54.000]  今天我們讀的聖經是《馬太福音》第十八章
[00:03:54.000 --> 00:03:57.000]  我們會讀其中的第一到第十四節
[00:03:57.000 --> 00:04:00.000]  你讀聖經的時候會知道這段經文
[00:04:00.000 --> 00:04:03.000]  主要是說到在神的家裏面
[00:04:03.000 --> 00:04:04.000]  在教會裏面
[00:04:04.000 --> 00:04:08.000]  信徒之間的那種相處的關係
[00:04:08.000 --> 00:04:09.000]  特別是提及到的
[00:04:09.000 --> 00:04:13.000]  是和一些小弟兄、小姐妹的關係
[00:04:13.000 --> 00:04:15.000]  主要是說信徒之間
[00:04:15.000 --> 00:04:17.000]  不過我們今天也會嘗試
[00:04:17.000 --> 00:04:21.000]  將這種思想延伸到整個社會上
[00:04:21.000 --> 00:04:26.000]  神怎樣來愛護很多青少年的朋友
[00:04:26.000 --> 00:04:29.000]  在開始的時候你會看到第十八章
[00:04:29.000 --> 00:04:30.000]  一開始就提到
[00:04:30.000 --> 00:04:33.000]  上帝是一路提醒我們
[00:04:33.000 --> 00:04:37.000]  要謙卑自己去接待那些孩童
[00:04:37.000 --> 00:04:39.000]  或者說那些小人物
[00:04:39.000 --> 00:04:41.000]  我們先看看第一節
[00:04:41.000 --> 00:04:45.000]  那時門徒前來問耶穌
