
[00:00:00.000 --> 00:00:03.920]  在此再與大家拜個新年
[00:00:03.920 --> 00:00:07.600]  祝大家新年滿福 主恩滿滿
[00:00:07.600 --> 00:00:10.720]  元神在新的一年幫助我們更加認識祂
[00:00:10.720 --> 00:00:12.720]  更加知道祂的心意
[00:00:12.720 --> 00:00:16.480]  更能夠在祂的話語中生根建造
[00:00:16.480 --> 00:00:18.480]  今日的訊息
[00:00:18.480 --> 00:00:20.480]  使人自高自大的規條
[00:00:20.480 --> 00:00:23.480]  是說到如果信徒在基督的真理之外
[00:00:23.480 --> 00:00:25.480]  再加上這些規條
[00:00:25.480 --> 00:00:27.480]  就使人自高自大
[00:00:27.480 --> 00:00:30.480]  甚至使人遠離基督
[00:00:30.480 --> 00:00:32.480]  Dick Harvison
[00:00:32.480 --> 00:00:34.480]  一個美國參議院的牧師
[00:00:34.480 --> 00:00:37.480]  對基督教教會在歷史中的發展
[00:00:37.480 --> 00:00:39.480]  有這樣的分析
[00:00:39.480 --> 00:00:42.480]  他說教會最初是一個
[00:00:42.480 --> 00:00:45.480]  以活著的基督為中心的權契
[00:00:45.480 --> 00:00:48.480]  後來教會去了希臘
[00:00:48.480 --> 00:00:50.480]  它就成為一個哲學
[00:00:50.480 --> 00:00:54.480]  後來教會去了羅馬
[00:00:54.480 --> 00:00:56.480]  就成為一個機構
[00:00:56.480 --> 00:00:59.480]  接著它去了歐洲
[00:00:59.480 --> 00:01:02.480]  就變成一個文化
[00:01:02.480 --> 00:01:05.480]  最後教會去了美國
[00:01:05.480 --> 00:01:08.480]  就成為一個企業
[00:01:08.480 --> 00:01:10.480]  換句話說
[00:01:10.480 --> 00:01:12.480]  當教會受到當地文化的影響
[00:01:12.480 --> 00:01:16.480]  就會離開基督越來越遠
[00:01:16.480 --> 00:01:19.480]  兩星期的崇拜裡面
[00:01:19.480 --> 00:01:23.480]  林牧師提到舊世君創辦人William Booth
[00:01:23.480 --> 00:01:27.480]  說到二十世紀最大的危機
[00:01:27.480 --> 00:01:30.480]  是沒有基督的基督教
[00:01:30.480 --> 00:01:35.480]  宣講沒有悔改的寬恕
[00:01:35.480 --> 00:01:39.480]  宣傳沒有地獄的天堂
[00:01:39.480 --> 00:01:41.480]  為什麼?
