
[00:00:00.000 --> 00:00:02.780]  各位弟子們平安
[00:00:02.780 --> 00:00:06.220]  很感謝新樂團代表我們
[00:00:06.220 --> 00:00:10.180]  向上帝獻上一首美妙的詩歌
[00:00:10.180 --> 00:00:16.720]  首先邀請大家一起低頭祈禱
[00:00:16.720 --> 00:00:18.880]  聖主我們感謝祢
[00:00:18.880 --> 00:00:20.900]  是祢的驕傲和吸引
[00:00:20.900 --> 00:00:25.820]  讓我們能夠在聖殿中一起敬拜
[00:00:25.820 --> 00:00:28.960]  我們懇求上主祢的靈親自與我們同在
[00:00:28.960 --> 00:00:31.480]  讓我們有受教的耳朵
[00:00:31.480 --> 00:00:32.920]  亦有受教的心
[00:00:32.920 --> 00:00:36.680]  來領受上主祢為我們預備的話語
[00:00:36.680 --> 00:00:38.600]  去支援我們剛才的心靈
[00:00:38.600 --> 00:00:40.740]  去指引我們生命的方向
[00:00:40.740 --> 00:00:43.900]  讓講的和聽的都同蒙祢的閱立
[00:00:43.900 --> 00:00:46.160]  祈禱奉主耶穌 基督的名求
[00:00:46.160 --> 00:00:48.680]  阿門
[00:00:48.680 --> 00:00:50.800]  我相信在這兩三個星期裏
[00:00:50.800 --> 00:00:55.600]  大家都會被東京奧運所吸引著
[00:00:55.600 --> 00:00:59.560]  剛才知道李慧詩拿到一面銅牌
[00:00:59.560 --> 00:01:03.080]  香港暫時拿到一金兩銀三銅
[00:01:03.080 --> 00:01:06.240]  不知道大家會否為你成為香港人
[00:01:06.240 --> 00:01:08.600]  覺得一份的自豪
[00:01:08.600 --> 00:01:11.280]  我不是很特別喜愛體育節目
[00:01:11.280 --> 00:01:12.080]  亦都沒有甚麼時間
[00:01:12.080 --> 00:01:14.960]  所以都很少去追奧運
[00:01:14.960 --> 00:01:17.720]  不過當有人告訴我
[00:01:17.720 --> 00:01:22.200]  嘩 張家朗去竭戰金牌的那一刻
[00:01:22.200 --> 00:01:25.480]  我相信我會和其他香港人一樣
[00:01:25.480 --> 00:01:27.640]  快點上網去搜尋一下
[00:01:27.640 --> 00:01:33.000]  怎樣可以看到金牌決賽的直播
[00:01:33.000 --> 00:01:36.520]  一起去見證這個很重要的時刻
[00:01:36.520 --> 00:01:39.280]  之後我都會去追去看看
