
[00:00:00.000 --> 00:00:01.160]  如果大家有留意
[00:00:01.160 --> 00:00:02.720]  平時我上台的時候
[00:00:02.720 --> 00:00:04.880]  通常都說弟兄姊妹平安
[00:00:04.880 --> 00:00:07.800]  所以平安很重要
[00:00:07.800 --> 00:00:08.920]  在神極裏面
[00:00:08.920 --> 00:00:10.560]  我們都滿有平安
[00:00:10.560 --> 00:00:13.320]  好,我們今天去思考平安何處尋
[00:00:13.320 --> 00:00:15.560]  我們先去一起祈禱
[00:00:15.560 --> 00:00:19.240]  親愛的主,我們去多謝祢
[00:00:19.240 --> 00:00:26.080]  因為我們知道世人都很希望尋找到平安
[00:00:26.080 --> 00:00:29.560]  但多謝祢讓我們來到祢面前的人
[00:00:29.560 --> 00:00:31.680]  我們都已經得著平安
[00:00:31.680 --> 00:00:33.680]  願祢幫助我們
[00:00:33.680 --> 00:00:36.080]  藉著聖誕這個月份裏面
[00:00:36.080 --> 00:00:38.400]  我們去更加知道主
[00:00:38.400 --> 00:00:40.800]  祢就是我們平安的主
[00:00:40.800 --> 00:00:43.720]  讓我們藉著祢的說話
[00:00:43.720 --> 00:00:44.800]  我們得到激勵
[00:00:44.800 --> 00:00:46.040]  我們得到幫助
[00:00:46.040 --> 00:00:48.880]  祈禱奉耶穌明治而求
[00:00:48.880 --> 00:00:49.880]  阿們
[00:00:49.880 --> 00:00:51.840]  好,我先測試一下
[00:00:51.840 --> 00:00:53.560]  剛剛祈禱夠不夠慢
[00:00:53.560 --> 00:00:57.360]  因為我們要調節一下速度
[00:00:57.360 --> 00:00:58.680]  有時候說得很快
[00:00:58.680 --> 00:01:00.120]  現在開始說得快了
[00:01:00.120 --> 00:01:03.520]  我會控制一下自己的速度
[00:01:03.520 --> 00:01:07.480]  好,今天和大家思考平安何處尋
[00:01:07.480 --> 00:01:09.080]  特別我們說
[00:01:09.080 --> 00:01:12.600]  在基督教一些教會年裏面
[00:01:12.600 --> 00:01:14.880]  我們有一個週期
[00:01:14.880 --> 00:01:16.880]  好像我們日常的週期一樣
[00:01:16.880 --> 00:01:18.280]  上次都和大家提過
[00:01:18.280 --> 00:01:19.760]  讓我們有一點點重溫
[00:01:19.760 --> 00:01:21.680]  因為有些人可能上一次都沒有來
[00:01:21.680 --> 00:01:24.120]  我們說一般教會
[00:01:24.120 --> 00:01:25.720]  有些叫基督教的教會
[00:01:25.720 --> 00:01:27.600]  就用了叫教會年的概念
[00:01:27.600 --> 00:01:31.920]  將一年的時間分開做兩個主要的部分
[00:01:31.920 --> 00:01:34.880]  一個是關於耶穌的故事
[00:01:34.880 --> 00:01:37.120]  特別是我們說的
[00:01:37.120 --> 00:01:42.920]  我們通常在聖誕節之前的四個主日
[00:01:42.920 --> 00:01:44.640]  之前的四個主日
[00:01:44.640 --> 00:01:46.120]  開始去計算
[00:01:46.120 --> 00:01:49.360]  當中就是我們今天會說到的
[00:01:49.360 --> 00:01:50.880]  張臨期的日子
[00:01:50.880 --> 00:01:54.200]  一直計算耶穌不同生活的點滴
[00:01:54.200 --> 00:01:57.040]  直到耶穌復活升天等等
[00:01:57.040 --> 00:01:59.040]  就叫完成了半年的時間
[00:01:59.040 --> 00:02:00.680]  在往後的半年
[00:02:00.680 --> 00:02:04.680]  就有另外一些比較平常的時期
[00:02:04.680 --> 00:02:06.680]  就是神子民百姓的故事
[00:02:06.680 --> 00:02:08.200]  就是以色列民的故事
