
[00:00:00.000 --> 00:00:02.000]  靚姐妹,大家好
[00:00:02.000 --> 00:00:06.000]  很高興我們可以在壽蘭節的日子
[00:00:06.000 --> 00:00:08.000]  一齊回到這裡敬拜
[00:00:08.000 --> 00:00:11.000]  請我們先一齊祈禱
[00:00:11.000 --> 00:00:14.000]  差不多我們感謝贊美利子的恩典
[00:00:14.000 --> 00:00:18.000]  讓我們可以在今天來紀念主耶穌
[00:00:18.000 --> 00:00:22.000]  在二千多年前為我們所做過的事
[00:00:22.000 --> 00:00:24.000]  在欣賞這個壽蘭
[00:00:24.000 --> 00:00:26.000]  我們可以得到救贖
[00:00:26.000 --> 00:00:29.000]  我們可以從罪中得到釋放
[00:00:29.000 --> 00:00:31.000]  得到自由
[00:00:31.000 --> 00:00:34.000]  我們求聖靈帶領我們今天的聚會
[00:00:34.000 --> 00:00:38.000]  讓我們所思所想
[00:00:38.000 --> 00:00:40.000]  都有聖靈的引導
[00:00:40.000 --> 00:00:44.000]  並且我們可以將我們學到的東西
[00:00:44.000 --> 00:00:46.000]  實踐在我們的生活當中
[00:00:46.000 --> 00:00:48.000]  奉耶穌基督的名祈禱
[00:00:48.000 --> 00:00:49.000]  阿們
[00:00:49.000 --> 00:00:53.000]  今天是壽蘭節
[00:00:53.000 --> 00:00:56.000]  我們要紀念主耶穌為我們而死
[00:00:56.000 --> 00:00:58.000]  所以今天有聖餐
[00:00:58.000 --> 00:01:00.000]  我們知道
[00:01:00.000 --> 00:01:04.000]  聖餐是主耶穌在被人拘捕之前
[00:01:04.000 --> 00:01:07.000]  和門徒一起吃的最後晚餐
[00:01:07.000 --> 00:01:10.000]  而在那次晚餐的時候
[00:01:10.000 --> 00:01:14.000]  主就設立了聖餐
[00:01:14.000 --> 00:01:16.000]  讓我們明白
[00:01:16.000 --> 00:01:19.000]  祂的死就好像當年
[00:01:19.000 --> 00:01:23.000]  上主帶領以色列人離開埃及之前
[00:01:23.000 --> 00:01:25.000]  得到自由之前
[00:01:25.000 --> 00:01:29.000]  在逾越節要吃的晚餐
[00:01:29.000 --> 00:01:32.000]  祂就是那隻被殺的羊
[00:01:32.000 --> 00:01:34.000]  祂所流的血
[00:01:34.000 --> 00:01:37.000]  代表祂和我們所立的新約
[00:01:37.000 --> 00:01:40.000]  願意和祂立約的人
[00:01:40.000 --> 00:01:42.000]  我們都得到自由
[00:01:42.000 --> 00:01:45.000]  好像猶太人、以色列人
[00:01:45.000 --> 00:01:49.000]  從埃及的奴僕生涯當中
[00:01:49.000 --> 00:01:51.000]  得到自由
[00:01:53.000 --> 00:01:55.000]  我們很開心也很感謝主
[00:01:55.000 --> 00:01:58.000]  由於澳洲政府管控疫情
[00:01:58.000 --> 00:02:00.000]  可以說快而準
[00:02:00.000 --> 00:02:02.000]  從這個星期一開始
[00:02:02.000 --> 00:02:05.000]  我們已經可以不用戴口罩
[00:02:05.000 --> 00:02:06.000]  回來教會的時候
[00:02:06.000 --> 00:02:10.000]  還可以開口唱歌
[00:02:10.000 --> 00:02:14.000]  我也有一種自由釋放的感覺
[00:02:14.000 --> 00:02:17.000]  聽說在很多歐洲國家
[00:02:17.000 --> 00:02:20.000]  還是在封城的狀態
[00:02:20.000 --> 00:02:22.000]  英國開始有一點放寬
[00:02:22.000 --> 00:02:26.000]  英國人也開始有重獲自由的喜悅
[00:02:26.000 --> 00:02:30.000]  自由是很多人都喜歡的
[00:02:30.000 --> 00:02:33.000]  但是自由是什麼意思呢?
[00:02:33.000 --> 00:02:36.000]  自由是不是一定好的呢?
[00:02:36.000 --> 00:02:39.000]  原來在古漢語中
[00:02:39.000 --> 00:02:43.000]  早就出現過自由這個詞
[00:02:43.000 --> 00:02:45.000]  當時自由的意思是
[00:02:45.000 --> 00:02:48.000]  由自己作主
[00:02:48.000 --> 00:02:51.000]  不受限制和拘束
[00:02:51.000 --> 00:02:55.000]  但每每在談論自由的時候
[00:02:55.000 --> 00:02:59.000]  都是在那些人失去自由之後
[00:02:59.000 --> 00:03:01.000]  讓我引幾句中國古代
[00:03:01.000 --> 00:03:05.000]  談及自由的名句給大家思考
[00:03:05.000 --> 00:03:07.000]  在大宋的時候
