
[00:00:00.000 --> 00:00:05.000]  今天我是透過四篇四十六篇後半段來分享
[00:00:05.000 --> 00:00:10.000]  分享什麼 分享在我們生命當中有安息
[00:00:10.000 --> 00:00:12.000]  其實在每個紀錄的生命裡頭
[00:00:12.000 --> 00:00:16.000]  有很大的力道從安息而來
[00:00:16.000 --> 00:00:20.000]  那這個安息其實幫助我們可以往前奔走
[00:00:20.000 --> 00:00:22.000]  所以你會發現在我們生命當中
[00:00:22.000 --> 00:00:24.000]  繁亂 我們裡頭很多焦躁
[00:00:24.000 --> 00:00:29.000]  我們裡頭很多事情在繁瑣的時候
[00:00:29.000 --> 00:00:31.000]  你發現我們很難做決定
[00:00:31.000 --> 00:00:33.000]  甚至我們很難跟人家相處
[00:00:33.000 --> 00:00:35.000]  因為我們裡面收滿了很多東西
[00:00:35.000 --> 00:00:38.000]  但是如果我們真實的進入安息裡面
[00:00:38.000 --> 00:00:41.000]  我們真的可以看清楚上帝的作為
[00:00:41.000 --> 00:00:43.000]  看清楚上帝在我們生命當中的帶領
[00:00:43.000 --> 00:00:46.000]  也看清楚我們下一步該怎麼走
[00:00:46.000 --> 00:00:49.000]  其實整個地球在運轉
[00:00:49.000 --> 00:00:50.000]  所以人也跟著轉
[00:00:50.000 --> 00:00:53.000]  所以你發現沒有辦法改變這些事實
[00:00:53.000 --> 00:00:55.000]  就是我們常常在生活
[00:00:55.000 --> 00:00:56.000]  我們打開眼睛以後
[00:00:56.000 --> 00:00:58.000]  我們到晚上睡覺之前
[00:00:58.000 --> 00:00:59.000]  其實我們都在轉
[00:00:59.000 --> 00:01:01.000]  但其實不只我們在轉的過程當中
[00:01:01.000 --> 00:01:03.000]  但是到底在轉什麼呢
[00:01:03.000 --> 00:01:05.000]  為家庭忙碌 為兒女忙碌
[00:01:05.000 --> 00:01:09.000]  還是為自己的身體 為長輩
[00:01:09.000 --> 00:01:12.000]  有很多事情可以讓我們很煩躁
[00:01:12.000 --> 00:01:15.000]  但也有很多事情可以幫助我們
[00:01:15.000 --> 00:01:18.000]  去來思想上帝有做什麼事情
[00:01:18.000 --> 00:01:20.000]  這段經文裡面主要的要解
[00:01:20.000 --> 00:01:22.000]  剛才在第十節
[00:01:22.000 --> 00:01:24.000]  說你們要修習要知道我是神
[00:01:24.000 --> 00:01:26.000]  我必在外邦中被尊崇
[00:01:26.000 --> 00:01:28.000]  我在遍地上也被尊崇
[00:01:28.000 --> 00:01:30.000]  所以其實雖然是這樣
[00:01:30.000 --> 00:01:32.000]  可是它長期在哪裡呢
[00:01:32.000 --> 00:01:34.000]  如果我們從第八節來讀的時候
[00:01:34.000 --> 00:01:36.000]  你發現它長期在做什麼呢
[00:01:36.000 --> 00:01:40.000]  在打仗 在打仗
[00:01:40.000 --> 00:01:41.000]  是在一個戰爭當中
