
[00:00:00.000 --> 00:00:06.040]  我今天的講道也是回應下令會的訊息的主題
[00:00:06.040 --> 00:00:12.320]  主題就是「主令何處我必跟隨」
[00:00:12.320 --> 00:00:17.200]  所以我也在這裡想跟大家先去分享一下
[00:00:17.200 --> 00:00:22.400]  我自己對下令會那些訊息的領受
[00:00:22.400 --> 00:00:28.880]  當然啦 各人的領受都會不同的
[00:00:28.880 --> 00:00:32.800]  第一堂的訊息裡面的主角
[00:00:32.800 --> 00:00:38.880]  是講那一位年輕富有的官
[00:00:38.880 --> 00:00:42.800]  他很年輕 很年輕就已經很有成就
[00:00:42.800 --> 00:00:44.760]  也擁有很多財物
[00:00:44.760 --> 00:00:50.400]  他跟人 跟家人各方面的關係都非常好
[00:00:50.400 --> 00:00:52.840]  在世俗人的眼光看來
[00:00:52.840 --> 00:00:56.720]  他就是成功人士的樣板
[00:00:56.720 --> 00:01:02.600]  但是當耶穌呼召他變賣一切去跟從他的時候
[00:01:02.600 --> 00:01:06.880]  他做不到
[00:01:06.880 --> 00:01:13.000]  講完給的其中一句結語是這樣說
[00:01:13.000 --> 00:01:15.920]  我們要離開舊有的
[00:01:15.920 --> 00:01:22.160]  要從主裡面去接受新的
[00:01:22.160 --> 00:01:24.560]  這樣做是很難的
[00:01:24.560 --> 00:01:29.360]  但是這樣對我們是有益的
[00:01:29.360 --> 00:01:35.760]  那我就想 我們捨棄舊堂紙去買新堂紙
[00:01:35.760 --> 00:01:43.120]  可能都符合這樣的目標
[00:01:43.120 --> 00:01:50.280]  第二堂的訊息的主角是講那一個聰明的管家
[00:01:50.280 --> 00:01:54.720]  這位管家當他知道就快要向主人交帳的時候
[00:01:54.720 --> 00:01:58.280]  他就利用所剩無多的時間
[00:01:58.280 --> 00:02:01.000]  他仍然擁有那個地位的身份
[00:02:01.000 --> 00:02:03.920]  仍然他擁有一些的能力
[00:02:03.920 --> 00:02:10.120]  他就去跟人家去結交友誼
[00:02:10.120 --> 00:02:11.680]  去搞好那個關係
[00:02:11.680 --> 00:02:18.040]  為他自己將來的生活來鋪排
[00:02:18.040 --> 00:02:24.920]  主人稱讚他是聰明的
[00:02:24.920 --> 00:02:29.520]  同樣我們將來也都要向主交帳
[00:02:29.520 --> 00:02:33.520]  因此我們需要好好利用我們餘下的時間
[00:02:33.520 --> 00:02:36.240]  利用我們仍然有的金錢
[00:02:36.240 --> 00:02:40.320]  某一些地位的身份
[00:02:40.320 --> 00:02:44.680]  來去賺取有永恆價值
[00:02:44.680 --> 00:02:47.760]  有永恆目的的朋友
[00:02:47.760 --> 00:02:51.560]  意思就是說我們要多一些去帶人來教會
[00:02:51.560 --> 00:02:55.320]  去令人信主
[00:02:55.320 --> 00:02:59.720]  這個相信也是我們現在和將來
[00:02:59.720 --> 00:03:04.160]  配合新堂所需要的事工
[00:03:04.160 --> 00:03:07.680]  我們購買新堂目標是什麼?
[00:03:07.680 --> 00:03:11.480]  我們就可以做多一些傳福音和訓練
[00:03:11.480 --> 00:03:14.840]  敬拜、侍奉的工作
[00:03:14.840 --> 00:03:19.360]  第三堂訊息的主角是說那一位
[00:03:19.360 --> 00:03:23.680]  浪子回家的故事裡面的大兒子
[00:03:23.680 --> 00:03:27.040]  即是浪子的哥哥 大兒子
[00:03:27.040 --> 00:03:30.400]  這個哥哥他很不滿意父親
[00:03:30.400 --> 00:03:33.000]  為那個浪子回家的弟弟
[00:03:33.000 --> 00:03:36.960]  開一個盛大的慶祝會、歡迎會
[00:03:36.960 --> 00:03:40.840]  他不想進去參加這個派對
[00:03:40.840 --> 00:03:47.400]  他忘記了他一生人在這裡服侍父親的最終目的是什麼
[00:03:47.400 --> 00:03:52.760]  他也不體諒父親的那個心情
[00:03:52.760 --> 00:03:56.040]  說完他說
[00:03:56.040 --> 00:04:01.480]  如果由我們去寫那個故事的結尾的時候
[00:04:01.480 --> 00:04:03.400]  我們會怎麼寫呢?
[00:04:03.400 --> 00:04:07.760]  我們會不會寫那個大兒子
[00:04:07.760 --> 00:04:14.640]  會不會進去參加那個慶祝派對呢?
[00:04:14.640 --> 00:04:16.920]  說完最後說
[00:04:16.920 --> 00:04:22.640]  如果這個大兒子 如果他進入這個慶祝會裡面
[00:04:22.640 --> 00:04:27.880]  他就會得到醫治
[00:04:27.880 --> 00:04:31.360]  將來我們有新堂子了
[00:04:31.360 --> 00:04:37.320]  就算這個決定不是每一個人都贊成的
[00:04:37.320 --> 00:04:41.800]  可能這個計劃未必符合我們的心意
[00:04:41.800 --> 00:04:45.520]  但是當新堂子啟用的時候
[00:04:45.520 --> 00:04:48.760]  各種事公展開的時候
[00:04:48.760 --> 00:04:52.160]  你願不願意一起參加呢?
[00:04:52.160 --> 00:04:57.960]  去看重神和對教會的心意呢?
[00:04:57.960 --> 00:05:01.320]  這個很值得我們去想 是不是?
[00:05:01.320 --> 00:05:05.400]  當然我當然希望我們全部人都很歡喜快樂的去參加
[00:05:05.400 --> 00:05:12.520]  這個事公的派對 是不是?
[00:05:12.520 --> 00:05:17.320]  第四堂的訊息的主角是說阿伯拉罕
[00:05:17.320 --> 00:05:20.800]  阿伯拉罕他聽從神的呼召離開附加
[00:05:20.800 --> 00:05:24.520]  去到遠方的迦南地
[00:05:24.520 --> 00:05:27.720]  神要他成為全世界
[00:05:27.720 --> 00:05:33.440]  也就是說多國都是因他得福的人
[00:05:33.440 --> 00:05:36.440]  但是當他去到迦南地的時候
[00:05:36.440 --> 00:05:41.320]  他的生活並不是完全順利或者是容易
[00:05:41.320 --> 00:05:43.720]  我們都知道 看了他的故事我們都知道
[00:05:43.720 --> 00:05:47.640]  其實他都有很多的困難挫折
[00:05:47.640 --> 00:05:50.440]  講完提醒我們說
[00:05:50.440 --> 00:05:52.840]  當我們去祝福世界的時候
[00:05:52.840 --> 00:05:56.040]  或者讓世界讓別人成為我們的祝福
[00:05:56.040 --> 00:05:58.840]  或者我們成為他們的祝福的時候
[00:05:58.840 --> 00:06:01.560]  這個不是額外得分
[00:06:01.560 --> 00:06:05.800]  不是額外的一個功勞
[00:06:05.800 --> 00:06:09.720]  不是一個extra credit
[00:06:09.720 --> 00:06:12.240]  而是神給我們額外的恩典
[00:06:12.240 --> 00:06:16.160]  extra blessing
[00:06:16.160 --> 00:06:17.880]  講完鼓勵我們
[00:06:17.880 --> 00:06:22.520]  甚至要用我們的假期來祝福別人
[00:06:22.520 --> 00:06:28.240]  我會想起短孫或者參與某些事公
[00:06:28.240 --> 00:06:36.440]  是一個這樣的假期 去祝福別人的假期
