
[00:00:00.000 --> 00:00:06.820]  我們已經推動這個「領人蒙福運動」已經一段時間了
[00:00:06.820 --> 00:00:11.460]  不過已經過了五個多月了
[00:00:11.460 --> 00:00:17.040]  我希望大家記得我們這個「領人蒙福運動」
[00:00:17.040 --> 00:00:19.840]  能夠彼此勉勵
[00:00:19.840 --> 00:00:22.520]  繼續將神給我們的福氣
[00:00:22.520 --> 00:00:24.960]  跟周圍的人去分享
[00:00:24.960 --> 00:00:28.520]  我們同心吐告
[00:00:28.520 --> 00:00:32.040]  親愛的神,多謝祢讓我們今天能夠
[00:00:32.040 --> 00:00:38.480]  一同回到我們屬靈的家去敬拜祢
[00:00:38.480 --> 00:00:42.000]  在今天早上,在這段時間
[00:00:42.000 --> 00:00:45.400]  我們聽到二十位師哥
[00:00:45.400 --> 00:00:48.280]  專心地相信祢
[00:00:48.280 --> 00:00:51.280]  主也求祢讓我們眾弟兄姊妹們
[00:00:51.280 --> 00:00:54.880]  經歷到專心信主
[00:00:54.880 --> 00:00:57.400]  那種奧悲、那種真實
[00:00:57.400 --> 00:00:59.200]  我們繼續仰望祢
[00:00:59.200 --> 00:01:02.560]  懇求祢讓我們在這段時間
[00:01:02.560 --> 00:01:04.960]  我們敬拜祢、讚美祢
[00:01:04.960 --> 00:01:08.960]  我們都要領受祢給我們的吩咐
[00:01:08.960 --> 00:01:10.680]  主也我們仰望祢
[00:01:10.680 --> 00:01:14.840]  求祢讓我們知道祢的心意
[00:01:14.840 --> 00:01:18.240]  讓我們眾弟兄姊妹們聽到祢的話語的時候
[00:01:18.240 --> 00:01:21.040]  我們就一同去相信
[00:01:21.040 --> 00:01:24.800]  一同奉祢的名走出來
[00:01:24.800 --> 00:01:28.840]  我們這樣的祈禱是奉主耶穌基督的名字求
[00:01:28.840 --> 00:01:32.400]  是吧?
[00:01:32.400 --> 00:01:34.200]  在今午
[00:01:34.200 --> 00:01:39.040]  我希望跟大家再次思想
[00:01:39.040 --> 00:01:42.440]  「使人得福」的訊息
[00:01:42.440 --> 00:01:45.600]  「使人得福」這個故事
[00:01:45.600 --> 00:01:49.360]  是出自於亞伯拉罕的故事
[00:01:49.360 --> 00:01:53.120]  神就揀選了亞伯拉罕賜福給他
[00:01:53.120 --> 00:01:57.120]  叫他成為其他人的祝福
[00:01:57.120 --> 00:02:00.560]  《創世紀》的十二章就講到
[00:02:00.560 --> 00:02:03.240]  神命令亞伯拉罕
[00:02:03.240 --> 00:02:07.880]  叫他離開他的家鄉去到一個新的地方
[00:02:07.880 --> 00:02:09.480]  神給他應許就是說
[00:02:09.480 --> 00:02:12.560]  他將會成為一個大國
[00:02:12.560 --> 00:02:17.080]  並且成為地上所有的國
[00:02:17.080 --> 00:02:20.680]  所有的家的福氣
[00:02:20.680 --> 00:02:25.600]  亞伯拉罕信服神踏上信心的道路
[00:02:25.600 --> 00:02:29.640]  當亞伯拉罕來到這個迦南
[00:02:29.640 --> 00:02:31.880]  耶和華就對他說
[00:02:31.880 --> 00:02:33.880]  從你所在的地方
[00:02:33.880 --> 00:02:37.400]  你舉目向東南西北觀看
[00:02:37.400 --> 00:02:40.800]  凡你所看見的一切的地
[00:02:40.800 --> 00:02:44.120]  我都要賜給你和你的後裔
[00:02:44.120 --> 00:02:46.760]  直到永遠
[00:02:46.760 --> 00:02:48.560]  但是問題是存在的
[00:02:48.560 --> 00:02:50.520]  因為亞伯拉罕
[00:02:50.520 --> 00:02:53.000]  他沒有兒女
[00:02:53.000 --> 00:02:57.240]  他怎麼能夠去承受這個應許地呢?
[00:02:57.240 --> 00:03:00.840]  所以亞伯拉罕的回答似乎是
[00:03:00.840 --> 00:03:02.840]  垂頭喪氣的
