
[00:00:00.000 --> 00:00:09.080]  事實上聖經告訴我們這個世界的結束已經開始了
[00:00:09.080 --> 00:00:12.680]  聖經告訴我們什麼時候開始的結束
[00:00:12.680 --> 00:00:16.600]  末世已經來到了
[00:00:16.600 --> 00:00:19.960]  當耶穌基督第一次來到這個世界
[00:00:19.960 --> 00:00:22.120]  末世就開始了
[00:00:22.120 --> 00:00:24.400]  不過我們沒有察覺
[00:00:24.400 --> 00:00:27.280]  也不認知這件事
[00:00:27.280 --> 00:00:30.640]  耶穌來的開始
[00:00:30.640 --> 00:00:32.720]  就是這個末世的開始
[00:00:32.720 --> 00:00:34.520]  開始了二千年
[00:00:34.520 --> 00:00:39.080]  所以大家都覺得未是末世
[00:00:39.080 --> 00:00:45.080]  我們等到得救的人滿足這個數目
[00:00:45.080 --> 00:00:48.440]  這個末日就來到了
[00:00:48.440 --> 00:00:50.760]  我們看不看得見
[00:00:50.760 --> 00:00:58.040]  所以上次跟大家分享
[00:00:58.040 --> 00:01:03.200]  你看不看到這個世界上帝掌權
[00:01:03.200 --> 00:01:06.320]  看不看到一個看不到的世界
[00:01:06.320 --> 00:01:10.840]  參與著我們這個世界
[00:01:10.840 --> 00:01:13.920]  雖然今天不是安息禮拜
[00:01:13.920 --> 00:01:17.200]  不過也很想跟大家想想死
[00:01:17.200 --> 00:01:18.840]  你有沒有想過死
[00:01:18.840 --> 00:01:20.920]  可能沒有想過
[00:01:20.920 --> 00:01:22.600]  或者像我這樣的年紀
[00:01:22.600 --> 00:01:25.280]  可能你才想死
[00:01:25.280 --> 00:01:28.520]  年輕人是沒有想過死
[00:01:28.520 --> 00:01:31.320]  我曾經聽過一個訪問
[00:01:31.320 --> 00:01:34.480]  主持人問受訪者
[00:01:34.480 --> 00:01:37.560]  你死之後你估計自己會上天堂
[00:01:37.560 --> 00:01:38.520]  還是下地獄
[00:01:38.520 --> 00:01:41.720]  或者你想去天堂還是下地獄
[00:01:41.720 --> 00:01:44.400]  這個被訪者說我想去下地獄
[00:01:44.400 --> 00:01:48.840]  因為我所有的朋友都在地獄裡
[00:01:48.840 --> 00:01:51.160]  如果有人問你想去天堂
[00:01:51.160 --> 00:01:52.080]  還是下地獄
[00:01:52.080 --> 00:01:53.720]  你會怎樣回答
[00:01:53.720 --> 00:01:55.680]  你會回答什麼
[00:01:55.680 --> 00:01:58.960]  我曾經看過一個街頭訪問
[00:01:58.960 --> 00:02:03.040]  被訪者說我喜歡天堂的天氣
[00:02:03.040 --> 00:02:07.200]  地獄裡的朋友
[00:02:07.200 --> 00:02:09.120]  你想怎樣
[00:02:09.120 --> 00:02:09.880]  你想什麼
[00:02:09.880 --> 00:02:11.680]  你想去哪裡
[00:02:11.680 --> 00:02:13.920]  有人說我情願下地獄
[00:02:13.920 --> 00:02:17.280]  因為我家人在地獄裡
[00:02:17.280 --> 00:02:19.720]  你會不會這樣想
[00:02:19.720 --> 00:02:21.200]  有人不肯相信耶穌
[00:02:21.200 --> 00:02:23.960]  就是因為他覺得家人在地獄
[00:02:23.960 --> 00:02:28.920]  他自己不想一個人孤零零在天堂
[00:02:28.920 --> 00:02:32.760]  有人說我情願和我的朋友在地獄喝酒
[00:02:32.760 --> 00:02:35.280]  我都不在天堂唱詩
[00:02:35.280 --> 00:02:38.320]  你會不會是這樣
[00:02:38.320 --> 00:02:42.280]  你以為在天堂和朋友一起相聚
[00:02:42.280 --> 00:02:45.120]  可以唱歌可以大吃大喝
[00:02:45.120 --> 00:02:48.200]  是不是這樣
[00:02:48.200 --> 00:02:52.200]  耶穌曾經說過一個故事
[00:02:52.200 --> 00:02:55.000]  這個故事說一個人死後
[00:02:55.000 --> 00:02:59.720]  這個財主去到陰間
[00:02:59.720 --> 00:03:01.160]  他在陰間受苦
[00:03:01.160 --> 00:03:04.720]  他就求阿伯拉罕打伯
[00:03:04.720 --> 00:03:10.840]  打伯在生前做乞丐的拉撒路
[00:03:10.840 --> 00:03:12.480]  叫他復活到家裡
[00:03:12.480 --> 00:03:15.320]  告訴他家裡的兄弟
[00:03:15.320 --> 00:03:17.080]  不要來這裡了
[00:03:17.080 --> 00:03:18.800]  你要相信耶穌了
[00:03:18.800 --> 00:03:22.880]  你要相信神了
[00:03:22.880 --> 00:03:29.800]  就好像香港有一位煙草商
[00:03:29.800 --> 00:03:32.120]  他今年去世
[00:03:32.120 --> 00:03:34.400]  在今年二月的時候
[00:03:34.400 --> 00:03:36.640]  他就和傳媒說
[00:03:36.640 --> 00:03:38.360]  他自己得了癌症
[00:03:38.360 --> 00:03:40.320]  因為他經常吸煙
[00:03:40.320 --> 00:03:43.800]  他就勸人不要吸煙
[00:03:43.800 --> 00:03:48.240]  如果你因為吸煙有癌症
[00:03:48.240 --> 00:03:50.320]  有肺癌
[00:03:50.320 --> 00:03:53.960]  你會不會說大家一起來吸煙
[00:03:53.960 --> 00:03:55.480]  你會不會
[00:03:55.480 --> 00:03:57.280]  你不會的
[00:03:57.280 --> 00:03:59.360]  照正常人來說
[00:03:59.360 --> 00:04:07.200]  你很想他不會像跟你一樣受苦
[00:04:07.200 --> 00:04:10.360]  今日你有沒有想過
[00:04:10.360 --> 00:04:14.280]  你死後你去了哪裡
[00:04:14.280 --> 00:04:19.200]  很多人一想我死後做基督徒
[00:04:19.200 --> 00:04:21.840]  我一定是上天堂
[00:04:21.840 --> 00:04:28.240]  我忘記了我的power point
[00:04:28.240 --> 00:04:30.560]  不過是不是這樣
[00:04:30.560 --> 00:04:32.000]  是不是這樣
[00:04:32.000 --> 00:04:33.760]  我可以用了
[00:04:33.760 --> 00:04:34.840]  是不是這樣
[00:04:34.840 --> 00:04:40.760]  究竟我們死後去了哪裡
[00:04:40.760 --> 00:04:48.280]  我們還沒看剛才那一段聖經的時候
[00:04:48.280 --> 00:04:49.800]  其實聖經告訴我們
[00:04:49.800 --> 00:04:51.160]  我們死後去了哪裡
[00:04:51.160 --> 00:04:54.520]  我們很快就以為死後去上天堂
[00:04:54.520 --> 00:04:58.400]  不過一個基督徒死後是不是上天堂
[00:04:58.400 --> 00:05:00.720]  是不是聖經是這樣說的
[00:05:00.720 --> 00:05:04.160]  究竟我們基督徒所想的
