
[00:00:00.000 --> 00:00:02.120]  各位內賓 主內弟 兄姊妹 早安
[00:00:02.120 --> 00:00:05.080]  感謝神 我們今天再有一次機會來到大家當中
[00:00:05.080 --> 00:00:07.560]  分享神的訊息
[00:00:07.560 --> 00:00:10.440]  過去那幾個禮拜 三個禮拜
[00:00:10.440 --> 00:00:14.120]  我們都分享從哥倫多前書
[00:00:14.120 --> 00:00:17.420]  第一章第一節開始看一個主題
[00:00:17.420 --> 00:00:19.580]  就是「愛在我主教會」
[00:00:19.580 --> 00:00:21.020]  其實我們教會裏面
[00:00:21.020 --> 00:00:24.860]  每個教會都有很多不同背景的人聚在一起
[00:00:24.860 --> 00:00:27.580]  當我想起這個景象的時候
[00:00:27.580 --> 00:00:30.180]  又配合我們現在的疫情當中
[00:00:30.180 --> 00:00:33.660]  怎樣我們在這個困難當中能夠生存呢?
[00:00:33.660 --> 00:00:39.260]  我就想起一個多年前開始的一個電視節目
[00:00:39.260 --> 00:00:40.620]  Survivor
[00:00:40.620 --> 00:00:42.300]  他們都是一幫陌生人
[00:00:42.300 --> 00:00:45.620]  去到一個惡劣的環境當中
[00:00:45.620 --> 00:00:48.300]  怎樣可以生存下去
[00:00:48.300 --> 00:00:52.740]  他們當中見到他們的合作 見到他們的爭吵
[00:00:52.740 --> 00:00:56.460]  我聯想到其實在屬靈層面上
[00:00:56.460 --> 00:00:59.520]  我們在教會裏面 在這個疫情當中
[00:00:59.520 --> 00:01:03.140]  我們都是受到一個相當大的試煉
[00:01:03.140 --> 00:01:06.820]  試煉我們能不能夠在這個環境當中
[00:01:06.820 --> 00:01:09.860]  依然能夠可以主內同心
[00:01:09.860 --> 00:01:11.820]  雖然有分隔的時間
[00:01:11.820 --> 00:01:16.300]  但是我們的教會這個愛的舞台
[00:01:16.300 --> 00:01:18.460]  是能不能夠延伸出去
[00:01:18.460 --> 00:01:21.060]  其實教會不是一種結中物
[00:01:21.060 --> 00:01:24.620]  是一個我們一幫愛主的信徒聚在一起
[00:01:24.620 --> 00:01:26.620]  去敬拜施奉神
[00:01:26.620 --> 00:01:30.420]  我們在哥倫多前書第一章開始那裏提到
[00:01:30.420 --> 00:01:32.540]  我們見到哥倫多教會
[00:01:32.540 --> 00:01:35.980]  當保羅建立這個教會之後
[00:01:35.980 --> 00:01:38.900]  這個教會發生了很多的問題
[00:01:38.900 --> 00:01:42.580]  例如分黨、紛爭的問題在當中
[00:01:42.580 --> 00:01:45.100]  保羅就在這封信裏面
[00:01:45.100 --> 00:01:48.100]  藉著這封信去嘗試去解答
[00:01:48.100 --> 00:01:53.260]  和講出有什麼可以治療的方法
[00:01:53.260 --> 00:01:57.140]  在第一章就講出分黨、紛爭的問題
[00:01:57.140 --> 00:01:58.940]  第二章那裏就提到
[00:01:58.940 --> 00:02:00.580]  第二堂講道那裏就提到
