
[00:00:00.000 --> 00:00:02.540]  主持人:各位電影姊妹,早安!
[00:00:02.540 --> 00:00:05.240]  我不知道大家知不知道我有一個節目叫「永善論壇」
[00:00:05.240 --> 00:00:07.940]  我都挺鼓勵電影姊妹來聽這個節目的
[00:00:07.940 --> 00:00:10.900]  我剛才說「哎呀!小朋友還沒走,是呀!」
[00:00:10.900 --> 00:00:15.060]  「很開心見到你們,開學了,是嗎?」
[00:00:15.060 --> 00:00:17.000]  「會不會很辛苦?」
[00:00:17.000 --> 00:00:21.460]  「是呀,真的辛苦,如果比起放假是辛苦很多的,有功課要做」
[00:00:21.460 --> 00:00:25.800]  「但是又表示到你們已經升了一級了,又長大了」
[00:00:25.800 --> 00:00:29.500]  「長大的時候要承擔的東西就多了」
[00:00:29.500 --> 00:00:33.700]  「牧師為你們新的學期開始祈禱,然後才離開,好嗎?」
[00:00:33.700 --> 00:00:36.200]  「好,我們一起來為小孩子禱告」
[00:00:36.200 --> 00:00:38.900]  「天王,我多謝你給我們這麼可愛的小孩子」
[00:00:38.900 --> 00:00:40.900]  「他們有一個新的學期開始了」
[00:00:40.900 --> 00:00:42.900]  「他們都會很辛苦」
[00:00:42.900 --> 00:00:46.200]  「但求你讓父母知道他們都很努力」
[00:00:46.200 --> 00:00:51.400]  「亦體諒他們的付出,鼓勵他們,幫助他們」
[00:00:51.400 --> 00:00:54.400]  「當他們讀書的時候,讓他們上課可以專心」
[00:00:54.400 --> 00:00:56.600]  「讓他們玩的時候玩得開心」
[00:00:56.600 --> 00:01:00.000]  「求神你幫助他們懂得從小依靠你」
[00:01:00.000 --> 00:01:04.100]  「當他們有困難,讓他們懂得向神祈禱」
[00:01:04.100 --> 00:01:05.600]  「亦多謝天父你」
[00:01:05.600 --> 00:01:08.300]  「神求你來賜福他們,他們待會要上主一學」
[00:01:08.300 --> 00:01:11.700]  「讓他們的老師很活潑地教他們聖經」
[00:01:11.700 --> 00:01:13.800]  「讓他們待會都玩得很好」
[00:01:13.800 --> 00:01:15.700]  「求神你賜福他們,多謝你」
[00:01:15.700 --> 00:01:19.200]  「聽我們在你面前祈禱,奉耶穌的名,阿門」
[00:01:19.200 --> 00:01:21.200]  「拜拜」
[00:01:21.200 --> 00:01:23.200]  「拜拜牧師爺爺」
[00:01:23.200 --> 00:01:28.200]  是的,我在冥恩小學裡面開學禮的時候
[00:01:28.200 --> 00:01:30.800]  跟他們講道,我叫他們「校長爸爸」
[00:01:30.800 --> 00:01:33.200]  我就說「牧師爺爺」,很開心的
[00:01:33.200 --> 00:01:36.300]  我就叫他們第一件事要做就是要去感恩
[00:01:36.300 --> 00:01:38.100]  因為我們叫冥恩小學
[00:01:38.100 --> 00:01:39.900]  我們要回去多謝父母
[00:01:39.900 --> 00:01:43.700]  誰知道在群組裡面,我沒有在群組裡面有人截圖給我
[00:01:43.700 --> 00:01:45.600]  有一個家長說很窩心
[00:01:45.600 --> 00:01:49.000]  為什麼呢?他說他做蛋糕給新婚兒子吃
[00:01:49.000 --> 00:01:52.000]  新婚兒子說「很多謝你,媽媽做得很香」
[00:01:52.000 --> 00:01:53.600]  「牧師爺爺叫我要去多謝你」
[00:01:53.600 --> 00:01:56.600]  「哇,你的教導很好」
[00:01:56.600 --> 00:01:59.500]  希望他們會記得這個牧師爺爺
[00:01:59.500 --> 00:02:00.300]  好了
[00:02:00.300 --> 00:02:05.800]  我鼓勵大家來聽永善論壇
[00:02:05.800 --> 00:02:07.800]  這個節目我做了十四年了
[00:02:07.800 --> 00:02:10.300]  每個星期我都會放一段影片上去
[00:02:10.300 --> 00:02:12.500]  錄音帶而已,十幾分鐘
[00:02:12.500 --> 00:02:14.000]  我剛才查了
[00:02:14.000 --> 00:02:17.400]  不是689,是698集
[00:02:17.400 --> 00:02:19.100]  我講這一集的時候
[00:02:19.100 --> 00:02:20.300]  我一開始已經講
[00:02:20.300 --> 00:02:23.400]  我知道我講完這一篇的永善論壇
[00:02:23.400 --> 00:02:25.800]  就會有不同的人都罵我了
[00:02:25.800 --> 00:02:29.900]  因為我知道我講這個內容是兩不討好的
[00:02:29.900 --> 00:02:30.700]  是什麼呢?
[00:02:30.700 --> 00:02:34.500]  我就是講梁天琦被判坐八年牢
[00:02:34.500 --> 00:02:37.400]  我就說梁天琦事實上是有犯法
[00:02:37.400 --> 00:02:39.200]  是在推動某些事情
[00:02:39.200 --> 00:02:41.900]  所以他是應該受刑罰的
[00:02:41.900 --> 00:02:44.800]  結果撐梁天琦就罵我了
[00:02:44.800 --> 00:02:48.800]  但是我又說判八年牢又過分了
[00:02:48.800 --> 00:02:51.700]  特別我是根據那個法官的案例
[00:02:51.700 --> 00:02:53.500]  去用英國兩個案例
[00:02:53.500 --> 00:02:55.500]  我說英國那兩個案例是更加嚴重
[00:02:55.500 --> 00:02:56.900]  還有有人死的
[00:02:56.900 --> 00:02:59.100]  但是都是坐兩年牢
[00:02:59.100 --> 00:03:00.700]  但是為什麼要這麼重手
[00:03:00.700 --> 00:03:02.000]  八年呢?
[00:03:02.000 --> 00:03:06.100]  你對一個年輕人會不會是過分了呢?
[00:03:06.100 --> 00:03:09.100]  哇,結果很多五毛來罵我
