
[00:00:00.000 --> 00:00:02.520]  大約三個星期就到6月6日
[00:00:02.520 --> 00:00:04.520]  知不知道6月6日是什麼日子?
[00:00:04.520 --> 00:00:06.520]  多數人都回答不了
[00:00:06.520 --> 00:00:09.960]  在亞洲地區比較少人認識
[00:00:09.960 --> 00:00:12.500]  不過在歐洲地區比較多人會知道
[00:00:12.500 --> 00:00:15.300]  其實這一天就稱為D-Day
[00:00:15.300 --> 00:00:17.300]  D就是英文字母D
[00:00:17.300 --> 00:00:22.160]  這一天原來是紀念七十多年前二次大戰
[00:00:22.160 --> 00:00:25.040]  1944年6月6日
[00:00:25.040 --> 00:00:28.120]  當中是一個很重要的一天
[00:00:28.120 --> 00:00:35.620]  因為當時納粹德軍已經雄霸歐洲四年多
[00:00:35.620 --> 00:00:39.000]  但是在1944年6月6日這一天
[00:00:39.000 --> 00:00:43.800]  盟軍成功在法國諾曼底特登陸
[00:00:43.800 --> 00:00:46.600]  於是打開了一個缺口
[00:00:46.600 --> 00:00:51.080]  等到盟軍 其他英美法這些軍隊
[00:00:51.080 --> 00:00:55.880]  可以再長驅進入歐洲大陸
[00:00:55.880 --> 00:00:59.680]  然後慢慢去光復失去的土地
[00:00:59.680 --> 00:01:01.680]  這也意味著
[00:01:01.680 --> 00:01:07.960]  盟軍接著可以直搗柏林德軍的大本營
[00:01:07.960 --> 00:01:13.280]  所以在這時候這場戰爭實際上還沒打完
[00:01:13.280 --> 00:01:15.280]  但是就知道會打完
[00:01:15.280 --> 00:01:17.280]  但是什麼時候才打完 什麼時候才結束
[00:01:17.280 --> 00:01:19.960]  就沒有人敢去做一個揣測
[00:01:19.960 --> 00:01:22.620]  因為還有很多變數
[00:01:22.620 --> 00:01:26.660]  不過肯定的是勝利在望
[00:01:26.660 --> 00:01:32.180]  大家都知道打開了缺口之後就指日可待了
[00:01:32.180 --> 00:01:34.620]  要等多久當時沒有人知道
[00:01:34.620 --> 00:01:37.100]  當然我們現在回頭看歷史就告訴我們
[00:01:37.100 --> 00:01:39.820]  大概在11個月 零一日之後
[00:01:39.820 --> 00:01:42.820]  就是1945年的5月7日
[00:01:42.820 --> 00:01:45.660]  當日德軍無條件投降
[00:01:45.660 --> 00:01:49.940]  這場世界大戰的歐洲部分就在這裡結束了
[00:01:49.940 --> 00:01:52.700]  但是亞洲這邊就要再等多4個多月
[00:01:52.700 --> 00:01:57.000]  大概130日之後到1945年的8月15日
[00:01:57.000 --> 00:02:00.300]  到當日日軍投降
[00:02:00.300 --> 00:02:01.420]  無條件投降
[00:02:01.420 --> 00:02:05.060]  這場戰爭才全面的結束
[00:02:05.060 --> 00:02:09.800]  所以這兩天亞洲和歐洲
[00:02:09.800 --> 00:02:11.840]  就稱為V-Day
[00:02:11.840 --> 00:02:13.480]  Victory Day
[00:02:13.480 --> 00:02:16.700]  或者我們叫和平紀念日
[00:02:16.700 --> 00:02:19.020]  D-Day和V-Day中間
[00:02:19.020 --> 00:02:22.080]  相隔的日子我們都計算得到
[00:02:22.080 --> 00:02:24.220]  大概是一年左右的日子
[00:02:24.220 --> 00:02:25.900]  或者對於我們今天來說
[00:02:25.900 --> 00:02:28.800]  多少日都只不過是個數字
[00:02:28.800 --> 00:02:30.420]  可能沒有什麼特別的意義
[00:02:30.420 --> 00:02:37.480]  不過對於當時那些很艱苦在戰患裡面的老百姓來說
[00:02:37.480 --> 00:02:41.020]  自從諾曼第這一天之後
[00:02:41.020 --> 00:02:44.560]  其實他們的日子仍然不是很容易過的
[00:02:44.560 --> 00:02:46.900]  很多仍然是起飢餓
[00:02:46.900 --> 00:02:48.860]  起疾病
[00:02:48.860 --> 00:02:50.160]  起強暴
[00:02:50.160 --> 00:02:51.820]  失去了家園
[00:02:51.820 --> 00:02:53.600]  或者親人下落不明
[00:02:53.600 --> 00:02:55.020]  這些日子裡面
[00:02:55.020 --> 00:02:56.660]  一點都不容易
[00:02:56.660 --> 00:02:58.340]  今天都不知道明天會怎樣
[00:02:58.340 --> 00:03:00.180]  朝不保夕
[00:03:00.180 --> 00:03:02.300]  但是不同的一樣就是
[00:03:02.300 --> 00:03:04.940]  從這一天開始他們有一樣東西
[00:03:04.940 --> 00:03:06.700]  叫做盼望
[00:03:06.700 --> 00:03:10.020]  從這一天開始他們會知道
[00:03:10.020 --> 00:03:12.940]  有一天他們去聽收音機的時候
[00:03:12.940 --> 00:03:15.320]  收音機就會告訴他們
[00:03:15.320 --> 00:03:16.980]  戰爭結束了
[00:03:16.980 --> 00:03:20.300]  終於勝利 終於和平了
[00:03:20.300 --> 00:03:23.820]  他們知道這一天很快會來臨
[00:03:23.820 --> 00:03:26.660]  美國一位很著名的神學家叫做Gregory Bell
[00:03:26.660 --> 00:03:28.420]  他曾經這樣做一個比喻
[00:03:28.420 --> 00:03:32.460]  他說主耶穌二千年前死亡復活
[00:03:32.460 --> 00:03:38.500]  然後在墳墓裡面走出來的那一天就好像D-Day
[00:03:38.500 --> 00:03:40.500]  就好像剛才說登陸諾曼第那一天
[00:03:40.500 --> 00:03:41.820]  但是到他再回來
[00:03:41.820 --> 00:03:47.780]  下次再回來的時候那一天就好像V-Day
[00:03:47.780 --> 00:03:51.180]  那一天就宣佈全面的勝利
[00:03:51.180 --> 00:03:53.980]  戰爭現在真正的結束了
[00:03:53.980 --> 00:03:56.260]  對於我們今天每一位弟兄姊妹來說
[00:03:56.260 --> 00:04:01.860]  其實我們現在就是活在D-Day和V-Day中間
[00:04:01.860 --> 00:04:03.460]  在這個期間
[00:04:03.460 --> 00:04:06.220]  神學家叫做既濟未濟
[00:04:06.220 --> 00:04:11.020]  或者英文就是already but not yet的日子
[00:04:11.020 --> 00:04:15.780]  現在我們就是活在一個很弔詭的狀態裡面
[00:04:15.780 --> 00:04:17.580]  為什麼這麼說呢
[00:04:17.580 --> 00:04:21.540]  既是戰勝 但又未完全戰勝
[00:04:21.540 --> 00:04:23.380]  既是復活 主耶穌已經復活
[00:04:23.380 --> 00:04:26.500]  但是我們又未復活 又未完全復活
[00:04:26.500 --> 00:04:27.980]  既是得救
[00:04:27.980 --> 00:04:31.660]  不過得救的工程又未完全完成
[00:04:31.660 --> 00:04:33.740]  在這樣的狀態裡面
[00:04:33.740 --> 00:04:35.660]  都相當弔詭
[00:04:35.660 --> 00:04:40.020]  我們今天就是要去看一個這樣的經文
[00:04:40.020 --> 00:04:42.740]  要告訴我們 究竟在這段日子裡面
[00:04:42.740 --> 00:04:44.940]  其實發生什麼事呢
[00:04:44.940 --> 00:04:49.460]  不如我們繼續之前先來一起祈禱
[00:04:49.460 --> 00:04:52.220]  真是主多謝祢賜給我們寶貴的話語
[00:04:52.220 --> 00:04:54.300]  求主祢繼續帶領我們
[00:04:54.300 --> 00:04:56.220]  讓我們弟兄姊妹
[00:04:56.220 --> 00:04:58.580]  無論是說的 是聽的
[00:04:58.580 --> 00:05:01.340]  我們都聽得到祢和我們所說的話
[00:05:01.340 --> 00:05:04.020]  並且我們心願誠服的
[00:05:04.020 --> 00:05:05.900]  是馴服在祢的帶領裡面
[00:05:05.900 --> 00:05:08.100]  我們這樣祈禱 奉主命求
[00:05:08.100 --> 00:05:11.420]  過往的前書第十五章
[00:05:11.420 --> 00:05:15.620]  是一個頗長的聖經
[00:05:15.620 --> 00:05:20.180]  史徒保羅一開始就說到復活
[00:05:20.180 --> 00:05:24.620]  其實是一個頗為重要的信仰裡的教義
[00:05:24.620 --> 00:05:26.700]  一開始他就說到主耶穌的復活
[00:05:26.700 --> 00:05:29.020]  是一件千真萬確的事
[00:05:29.020 --> 00:05:32.500]  當時甚至有幾百位還在生的人
[00:05:32.500 --> 00:05:34.980]  可以做一個活生生的見證
[00:05:34.980 --> 00:05:38.020]  他也說到 如果主耶穌沒有復活的話
[00:05:38.020 --> 00:05:40.380]  我們所信的是徒然
[00:05:40.380 --> 00:05:43.540]  我們所傳的也是徒然
[00:05:43.540 --> 00:05:44.780]  到第二十節
[00:05:44.780 --> 00:05:47.420]  我們今天看到他繼續說
