
[00:00:00.000 --> 00:00:02.000]  我們一齊低頭,我們禱告
[00:00:02.000 --> 00:00:07.000]  創造天地的主,成為恩典的神,我們多謝讚美你
[00:00:07.000 --> 00:00:10.000]  因為你的恩典,讓我們有機會一齊敬拜
[00:00:10.000 --> 00:00:15.000]  懇求主的靈與我們同在,讓我們同思想著祂的恩典
[00:00:15.000 --> 00:00:19.000]  交諾祈禱,奉耶穌名求,阿門
[00:00:26.000 --> 00:00:31.000]  好,今天要和大家思想的題目就是「作主門徒」
[00:00:31.000 --> 00:00:34.000]  給大家看這幅畫
[00:00:34.000 --> 00:00:39.000]  照片就不是給大家看我和師母多麼帥氣
[00:00:39.000 --> 00:00:41.000]  主要是想看後面
[00:00:41.000 --> 00:00:45.000]  這是一個太北青萊學生中心外邊的標語
[00:00:45.000 --> 00:00:48.000]  我覺得很有意思,要和大家一齊思想
[00:00:48.000 --> 00:00:51.000]  我們一齊來讀紅色那個行紙
[00:00:51.000 --> 00:00:56.000]  生活就是侍奉,侍奉就是生活
[00:00:56.000 --> 00:01:01.000]  因為生活就是侍奉,侍奉就是生活
[00:01:01.000 --> 00:01:04.000]  今天跟大家說的題目叫作主門徒
[00:01:04.000 --> 00:01:06.000]  什麼是主的門徒呢?
[00:01:06.000 --> 00:01:08.000]  這句話可能就說了
[00:01:08.000 --> 00:01:12.000]  就是我們的生活就是侍奉,侍奉就是生活
[00:01:12.000 --> 00:01:14.000]  現代人就不是這樣
[00:01:14.000 --> 00:01:16.000]  這張是紐約一條街道的照片
[00:01:16.000 --> 00:01:18.000]  1916年就是什麼時候?
[00:01:18.000 --> 00:01:22.000]  差不多一百年前了,那些人站在那裡看什麼?
[00:01:22.000 --> 00:01:23.000]  看報紙
[00:01:23.000 --> 00:01:25.000]  2016年差不多就是這條街道了
[00:01:25.000 --> 00:01:27.000]  那些人站在那裡看什麼?
[00:01:27.000 --> 00:01:30.000]  所以有人說
[00:01:30.000 --> 00:01:33.000]  現代人的生活,生活就是手機
[00:01:33.000 --> 00:01:35.000]  手機就是什麼?
