
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹晚安
[00:00:02.000 --> 00:00:07.580]  先很開心因為2013年第一次的真媒勁拜有機會和大家見面
[00:00:07.580 --> 00:00:10.880]  祝福大家願大家在新一年裡面經歷上帝的恩典更多
[00:00:10.880 --> 00:00:16.260]  更多去享受經歷並且去和人分享上帝的愛
[00:00:16.260 --> 00:00:22.400]  剛剛應該放完假的大家有沒有人在過去這兩個禮拜裡面沒有放過假的
[00:00:22.400 --> 00:00:25.460]  都應該放過一點吧
[00:00:25.460 --> 00:00:28.320]  我們忙一點都有一天半天休息一下
[00:00:28.320 --> 00:00:32.880]  好了 我想問過去這個假期你放得開不開心
[00:00:32.880 --> 00:00:35.180]  開不開心 開心吧
[00:00:35.180 --> 00:00:37.560]  放什麼假知不知道
[00:00:37.560 --> 00:00:38.940]  當然放聖誕假了
[00:00:38.940 --> 00:00:40.940]  聖誕節幾號知不知道
[00:00:40.940 --> 00:00:43.560]  每個人都這樣回答 十二月二十五號
[00:00:43.560 --> 00:00:45.620]  你說高盛亞斯問的問題這麼低能
[00:00:45.620 --> 00:00:47.920]  聖誕節當然是十二月二十五號
[00:00:47.920 --> 00:00:49.580]  是不是一定是的
[00:00:49.580 --> 00:00:52.900]  是不是全世界的聖誕節都是十二月二十五號
[00:00:52.900 --> 00:00:55.020]  這樣問就不是了
[00:00:55.020 --> 00:00:57.900]  原來聖誕節不同地方有不同的描述
[00:00:57.900 --> 00:01:02.000]  不過一般大部分歐美國家或者香港我們習慣
[00:01:02.000 --> 00:01:03.840]  都是十月二十五號過聖誕
[00:01:03.840 --> 00:01:05.500]  所以你二十四號晚上平安夜
[00:01:05.500 --> 00:01:07.500]  二十五號聖誕節是我們的習慣
[00:01:07.500 --> 00:01:08.840]  不過有些教會不是
[00:01:08.840 --> 00:01:10.440]  有些譬如我們叫政教會
[00:01:10.440 --> 00:01:14.580]  在耶路撒冷或者東方那邊叫東正教會
[00:01:14.580 --> 00:01:16.420]  他們的聖誕節是什麼時候的呢
[00:01:16.420 --> 00:01:18.920]  就是一月七號
[00:01:18.920 --> 00:01:20.100]  什麼時候呢
[00:01:20.100 --> 00:01:22.520]  就是還有兩天
[00:01:22.520 --> 00:01:23.800]  原來他們的聖誕節還沒過
[00:01:23.800 --> 00:01:28.300]  所以這一段階段一般教會還是在說耶穌基督的誕誕
[00:01:28.300 --> 00:01:31.160]  特別是有教會這兩天主日的崇拜
[00:01:31.160 --> 00:01:32.120]  會叫做主顯日
[00:01:32.120 --> 00:01:34.000]  就是上帝耶穌基督顯現
[00:01:34.000 --> 00:01:35.940]  耶穌基督降生的日子
[00:01:35.940 --> 00:01:37.460]  所以這些我們都去認識一下
[00:01:37.460 --> 00:01:40.120]  所以你不要說聖誕節一定是十月二十五號
[00:01:40.120 --> 00:01:41.480]  可能你看到朋友跟你說
[00:01:41.480 --> 00:01:42.240]  不是的
[00:01:42.240 --> 00:01:43.840]  我那邊慶祝是一月七號的
[00:01:43.840 --> 00:01:44.940]  也有可能
