
[00:00:00.000 --> 00:00:01.480]  在聖誕節的時候
[00:00:01.480 --> 00:00:03.480]  我跟大家最主要都是講一些
[00:00:03.480 --> 00:00:05.760]  跟聖誕有關的聖經
[00:00:05.760 --> 00:00:07.120]  希望我們都能夠
[00:00:07.120 --> 00:00:09.040]  有一點可能你以前都聽過
[00:00:09.040 --> 00:00:10.640]  但希望能夠溫故知新
[00:00:10.640 --> 00:00:12.960]  讓我們能夠從聖誕的經文裡面
[00:00:12.960 --> 00:00:15.560]  來領受神今日要給我們的訊息
[00:00:15.560 --> 00:00:20.640]  我不知道大家有沒有看過這份邀請的單張
[00:00:20.640 --> 00:00:24.080]  是一個可以被你發出去邀請你的朋友
[00:00:24.080 --> 00:00:27.400]  來到23、24號的聖誕音樂崇拜
[00:00:27.400 --> 00:00:29.400]  如果大家有留意
[00:00:29.400 --> 00:00:31.000]  因為它的字比較小
[00:00:31.000 --> 00:00:34.040]  它就提到音樂崇拜裡面的一個內容
[00:00:34.040 --> 00:00:37.600]  特別是主要以路加福音的第一、第二章的
[00:00:37.600 --> 00:00:43.160]  四個頌歌來作為聖誕音樂崇拜的一個主要的內容
[00:00:43.160 --> 00:00:46.600]  我想師班和樂隊都很勤力
[00:00:46.600 --> 00:00:49.080]  又很努力來準備
[00:00:49.080 --> 00:00:50.160]  他們都很辛勞
[00:00:50.160 --> 00:00:52.160]  請大家為他們祈禱
[00:00:52.160 --> 00:00:54.480]  今天我很想藉著崇拜
[00:00:54.480 --> 00:00:57.760]  也跟大家先在這四個頌歌裡面
[00:00:57.760 --> 00:01:00.200]  開始來看聖
[00:01:00.200 --> 00:01:02.760]  藉著這些頌歌給我們一些訊息
[00:01:02.760 --> 00:01:05.120]  希望時間能夠足夠
[00:01:05.120 --> 00:01:06.560]  在接下來的聚會
[00:01:06.560 --> 00:01:09.320]  我也希望能夠有機會將這四個頌歌
[00:01:09.320 --> 00:01:11.320]  跟大家一起來領受
[00:01:11.320 --> 00:01:15.160]  今天先跟大家來看一個大家都很熟悉的
[00:01:15.160 --> 00:01:19.680]  就是在瑪利亞的尊主頌裡面
[00:01:19.680 --> 00:01:22.680]  所以今天我的題目就是講到
[00:01:22.680 --> 00:01:24.960]  尊主為大
[00:01:24.960 --> 00:01:26.640]  以神為樂
[00:01:26.640 --> 00:01:28.960]  這個就是我給今天的題目
[00:01:28.960 --> 00:01:31.520]  就是用了瑪利亞在尊主頌裡面
[00:01:31.520 --> 00:01:33.800]  最開始的時候那兩節經文
[00:01:33.800 --> 00:01:37.040]  我們一起來重讀這段經文
[00:01:37.040 --> 00:01:41.800]  讓我們以經文來成為我們向神呈獻的一個頌讚
[00:01:41.800 --> 00:01:44.720]  我們一起來讀完路加福音的一章
[00:01:44.720 --> 00:01:47.480]  四十六節到五十五節
[00:01:47.480 --> 00:01:48.480]  預備起
[00:01:48.480 --> 00:01:50.080]  瑪利亞說
[00:01:50.080 --> 00:01:52.320]  我心尊主為大
[00:01:52.320 --> 00:01:55.680]  我寧以神我的救主為樂
[00:01:55.680 --> 00:01:59.320]  因為他顧念他使裡的卑微
[00:01:59.320 --> 00:02:03.600]  從今以後萬代要稱我有福
