
[00:00:00.000 --> 00:00:00.920]  祈福您平安
[00:00:00.920 --> 00:00:02.000]  今天真的很開心
[00:00:02.000 --> 00:00:05.000]  見到很多舊朋友
[00:00:05.000 --> 00:00:07.520]  Lisa病了
[00:00:07.520 --> 00:00:09.200]  癌細胞完全康復
[00:00:09.200 --> 00:00:10.080]  完全沒有了
[00:00:10.080 --> 00:00:11.840]  回來可以一同聚會
[00:00:11.840 --> 00:00:13.200]  很開心
[00:00:13.200 --> 00:00:15.680]  我們先一起祈禱
[00:00:15.680 --> 00:00:17.600]  祝福我們感謝您的恩典
[00:00:17.600 --> 00:00:20.480]  讓我們可以歡喜快樂的來到敬拜您
[00:00:20.480 --> 00:00:24.520]  求您的聖靈幫助我們認識您是聖潔的上帝
[00:00:24.520 --> 00:00:27.360]  也幫助我們要過聖潔的人生
[00:00:27.360 --> 00:00:30.000]  奉耶穌基督的名祈禱 阿們
[00:00:57.360 --> 00:00:59.920]  像火車卡離開了路軌一樣
[00:00:59.920 --> 00:01:02.480]  失去了人生的意義
[00:01:02.480 --> 00:01:05.280]  唯有在上帝的光照當中
[00:01:05.280 --> 00:01:09.080]  使我們可以重拾破碎的人生
[00:01:09.080 --> 00:01:13.000]  使我們可以有光明的前景
[00:01:13.000 --> 00:01:16.640]  有豐盛的人生意義
[00:01:16.640 --> 00:01:20.760]  上個星期開始我們講利未記
[00:01:20.760 --> 00:01:24.200]  我希望大家仍然記得利未記
[00:01:24.200 --> 00:01:28.720]  可以簡單地分為兩大部份
[00:01:28.720 --> 00:01:31.720]  第一章到第十六章
[00:01:31.720 --> 00:01:35.720]  還有第十七章到第二十七章
[00:01:35.720 --> 00:01:40.320]  第一部份主要是講到有關敬拜上帝的事
[00:01:40.320 --> 00:01:45.560]  第二部份主要是教導以色列人
[00:01:45.560 --> 00:01:50.760]  過上帝認為是聖潔的生活
[00:01:50.760 --> 00:01:55.480]  我們已經簡略地看過一至第七章
[00:01:55.480 --> 00:01:59.080]  提到有五種的祭
[00:01:59.080 --> 00:02:02.000]  消化祭、掃祭、平安祭
