
[00:00:00.000 --> 00:00:02.000]  各位帝兄姊妹平安
[00:00:02.000 --> 00:00:05.000]  很高興再次回到大家當中去分享神話語
[00:00:05.000 --> 00:00:10.000]  我剛剛去完旅行回來都有點陽光
[00:00:10.000 --> 00:00:12.000]  那裡天真好,感謝神
[00:00:12.000 --> 00:00:14.000]  那裡日本打風
[00:00:14.000 --> 00:00:16.000]  但是呢,避過了
[00:00:16.000 --> 00:00:18.000]  一切都沒有影響我們的旅程
[00:00:18.000 --> 00:00:20.000]  都見到很多的
[00:00:20.000 --> 00:00:22.000]  認識了當地的文化
[00:00:22.000 --> 00:00:25.000]  和了解當地的風土人情
[00:00:25.000 --> 00:00:28.000]  還見到很多的建築物
[00:00:28.000 --> 00:00:31.000]  我也拍了兩張相片跟大家分享
[00:00:31.000 --> 00:00:33.000]  這兩張相片是對比,很大的對比
[00:00:33.000 --> 00:00:36.000]  因為左手邊是五重塔
[00:00:36.000 --> 00:00:39.000]  是北京裡面的一些建築物
[00:00:39.000 --> 00:00:42.000]  是唐朝年代所建築的
[00:00:42.000 --> 00:00:44.000]  那就是他們
[00:00:44.000 --> 00:00:46.000]  日本人派一些
[00:00:46.000 --> 00:00:50.000]  派一些他們的人民去中國
[00:00:50.000 --> 00:00:52.000]  去學習他們的文化
[00:00:52.000 --> 00:00:54.000]  然後帶回來一些文化交流
[00:00:54.000 --> 00:00:57.000]  當中帶了一些建築風格
[00:00:57.000 --> 00:00:59.000]  帶到去建了一些
[00:00:59.000 --> 00:01:01.000]  當地日本有很多這類型的寺廟
[00:01:01.000 --> 00:01:03.000]  裡面都有中國的建築物
[00:01:03.000 --> 00:01:05.000]  經歷了一千三百多年
[00:01:05.000 --> 00:01:08.000]  你知道日本地震很嚴重的嘛
[00:01:08.000 --> 00:01:09.000]  都不臨
[00:01:09.000 --> 00:01:11.000]  原來它的建築是非常特別
[00:01:11.000 --> 00:01:13.000]  另外一邊就是晴空塔
[00:01:13.000 --> 00:01:14.000]  Sky Tree
[00:01:14.000 --> 00:01:16.000]  它是全世界第二高的建築物
[00:01:16.000 --> 00:01:20.000]  是六百三十四米這麼高
[00:01:20.000 --> 00:01:23.000]  一個是相隔一千幾年
[00:01:23.000 --> 00:01:24.000]  一千三百年
[00:01:24.000 --> 00:01:25.000]  都經歷到
