
[00:00:00.000 --> 00:00:04.160]  當大家聽到我今天講道的講題的時候
[00:00:04.160 --> 00:00:07.360]  不知道你心裏會不會發出一個疑問呢?
[00:00:07.360 --> 00:00:08.800]  喂 江姑娘
[00:00:08.800 --> 00:00:12.000]  你的講題上半句「墳墓空了」
[00:00:12.000 --> 00:00:14.240]  我能夠猜到你什麼意思
[00:00:14.240 --> 00:00:17.080]  不過後半句「你有空了嗎?」
[00:00:17.080 --> 00:00:19.160]  到底你想說什麼?
[00:00:19.160 --> 00:00:20.800]  是不是想問一下我現在的肚子
[00:00:20.800 --> 00:00:23.080]  是不是空了呢?
[00:00:23.080 --> 00:00:25.520]  如果你真的有這個疑問就好了
[00:00:25.520 --> 00:00:27.160]  因為這個正正就是
[00:00:27.160 --> 00:00:30.280]  我希望大家在今天的聽道過程裏面
[00:00:30.280 --> 00:00:32.880]  你去思想去感受的
[00:00:32.880 --> 00:00:34.720]  希望大家聽完道之後
[00:00:34.720 --> 00:00:38.960]  你能夠知道自己到底是什麼「空了」
[00:00:38.960 --> 00:00:41.640]  你正處於一個怎麼樣的狀態
[00:00:41.640 --> 00:00:45.160]  從而你對生命有一些的反思
[00:00:45.160 --> 00:00:49.080]  我們今天看的經文是關於耶穌死了之後
[00:00:49.080 --> 00:00:50.600]  被埋葬
[00:00:50.600 --> 00:00:51.560]  但是第三天
[00:00:51.560 --> 00:00:54.840]  當跟隨祂那些人來到墳墓前面的時候
[00:00:54.840 --> 00:00:59.520]  竟然發覺墳墓的那塊石頭被人推開了
[00:00:59.520 --> 00:01:01.720]  而耶穌的屍體又不見了
[00:01:01.720 --> 00:01:03.960]  到底發生了什麼事呢?
[00:01:03.960 --> 00:01:05.680]  我們這些信了主的人
[00:01:05.680 --> 00:01:07.960]  我們會很快地回答
[00:01:07.960 --> 00:01:10.360]  就是耶穌復活了
[00:01:10.360 --> 00:01:12.720]  但是對那些不信的人來說
[00:01:12.720 --> 00:01:15.200]  就會很難令他們接受
[00:01:15.200 --> 00:01:16.240]  他們可以說
[00:01:16.240 --> 00:01:17.800]  你怎麼能夠排除
[00:01:17.800 --> 00:01:20.000]  真的有人偷了耶穌的屍體
[00:01:20.000 --> 00:01:23.000]  然後說祂復活呢?
[00:01:23.000 --> 00:01:27.360]  這個也是當時的祭司長和法利賽人
[00:01:27.360 --> 00:01:28.880]  他們最擔心的
[00:01:28.880 --> 00:01:31.480]  因為耶穌生前曾經說過
[00:01:31.480 --> 00:01:34.720]  祂死後第三天必定復活
[00:01:34.720 --> 00:01:36.760]  這些祭司長和法利賽人
[00:01:36.760 --> 00:01:38.160]  他們最怕的就是
[00:01:38.160 --> 00:01:41.480]  耶穌的門徒真的來偷走耶穌的屍體
[00:01:41.480 --> 00:01:43.560]  然後就散佈謠言
[00:01:43.560 --> 00:01:45.800]  就說耶穌真的復活了
[00:01:45.800 --> 00:01:49.560]  到時就更多人被他們來迷惑
[00:01:49.560 --> 00:01:53.880]  所以他們就要求當時的羅馬巡撫比拉多
[00:01:53.880 --> 00:01:57.320]  來加派兵兵去把守墳墓
[00:01:57.320 --> 00:02:00.800]  最後他們就在墳墓外面封了一塊大石頭
[00:02:00.800 --> 00:02:03.640]  防止耶穌的門徒去接近
[00:02:03.640 --> 00:02:06.400]  試想想在重兵駐守之下
[00:02:06.400 --> 00:02:09.640]  加上塞住墳墓的這塊不是一塊小石頭
[00:02:09.640 --> 00:02:11.320]  而是一塊巨石
[00:02:11.320 --> 00:02:14.600]  而石頭當時也是在一條坑裡面
[00:02:14.600 --> 00:02:18.480]  要移動就更加難上加難了
[00:02:18.480 --> 00:02:22.640]  再看看那些在主后第三天來到墳墓前的人
[00:02:22.640 --> 00:02:25.360]  他們所遇到的情景
[00:02:25.360 --> 00:02:28.160]  穆達拉的瑪利亞她來到墳墓那裡
[00:02:28.160 --> 00:02:30.480]  她看到那塊石頭移開了
[00:02:30.480 --> 00:02:32.400]  她就很擔心
[00:02:32.400 --> 00:02:35.240]  她以為有人偷走了主的身體
[00:02:35.240 --> 00:02:39.960]  於是她就急急忙忙走去通知耶穌的門徒
[00:02:39.960 --> 00:02:44.000]  後來當她再回到墳墓前面
[00:02:44.000 --> 00:02:46.720]  她在墳墓裡面見到有兩個天使
[00:02:46.720 --> 00:02:49.040]  之後她更加遇到了主
[00:02:49.040 --> 00:02:51.240]  但當時其實她也搞不清楚
[00:02:51.240 --> 00:02:53.400]  這群到底是什麼人
[00:02:53.400 --> 00:02:55.880]  她還以為他們是看完那個人
[00:02:55.880 --> 00:03:01.920]  所以就不斷地向他們打聽主的下落
[00:03:01.920 --> 00:03:05.520]  瑪利亞她因為不見了主的身體
[00:03:05.520 --> 00:03:06.960]  她悲從中來
[00:03:06.960 --> 00:03:09.560]  就在墳墓外面哭泣
[00:03:09.560 --> 00:03:12.680]  如果她也有份偷走耶穌身體的話
[00:03:12.680 --> 00:03:14.360]  她為什麼會再回來呢?
[00:03:14.360 --> 00:03:16.600]  又為什麼會有這樣的反應呢?
[00:03:16.600 --> 00:03:20.280]  除非她這一切都是假裝出來的
[00:03:20.280 --> 00:03:21.360]  另一邊廂
[00:03:21.360 --> 00:03:24.480]  主所愛的門徒約翰
[00:03:24.480 --> 00:03:26.120]  經文第八節說
[00:03:26.120 --> 00:03:28.600]  他進到墳墓那裡
[00:03:28.600 --> 00:03:30.400]  他見到彼得所見的
[00:03:30.400 --> 00:03:32.120]  他就相信了
[00:03:32.120 --> 00:03:34.320]  從他的反應來看
[00:03:34.320 --> 00:03:39.040]  其實他之前應該不是很相信耶穌真的復活
[00:03:39.040 --> 00:03:43.200]  直到他見到耶穌的身體不見了
[00:03:43.200 --> 00:03:47.520]  但是那個果絲布和頭巾仍然是捲著
[00:03:47.520 --> 00:03:49.920]  放在不同的地方
[00:03:49.920 --> 00:03:53.960]  他知道耶穌的屍體不是被人解開了
[00:03:53.960 --> 00:03:55.880]  然後拿走
[00:03:55.880 --> 00:03:59.280]  如果耶穌是被人偷走了屍體的話
[00:03:59.280 --> 00:04:01.440]  那果絲布和頭巾
[00:04:01.440 --> 00:04:06.600]  就不應該是那麼整齊地放在那個地方
[00:04:06.600 --> 00:04:11.680]  他知道耶穌是真的按照聖經所預言的復活了
[00:04:11.680 --> 00:04:14.000]  從以上幾點來看
[00:04:14.000 --> 00:04:17.400]  門徒偷走耶穌的身體這個指控
[00:04:17.400 --> 00:04:19.800]  是絕對不能夠成立的
[00:04:19.800 --> 00:04:22.360]  如果真是他們偷走主的身體
[00:04:22.360 --> 00:04:25.080]  他們有沒有可能這樣自欺欺人
[00:04:25.080 --> 00:04:28.600]  在日後他們圍著這個被釘十字架
[00:04:28.600 --> 00:04:31.240]  卻沒有死而復活的主
[00:04:31.240 --> 00:04:33.160]  到處奔走
[00:04:33.160 --> 00:04:37.240]  最後甚至為主殉道呢?
[00:04:37.240 --> 00:04:39.280]  綜合剛才我所說的
[00:04:39.280 --> 00:04:43.160]  昔日埋葬耶穌的墳墓空了
[00:04:43.160 --> 00:04:46.440]  不是因為有人偷走了耶穌的身體
[00:04:46.440 --> 00:04:48.720]  而是主真是按照聖經
