
[00:00:00.000 --> 00:00:01.680]  不知道大家喜不喜歡看電影
[00:00:01.680 --> 00:00:03.080]  喜歡看電影的
[00:00:03.080 --> 00:00:04.280]  無論在家裡看
[00:00:04.280 --> 00:00:06.560]  在網上看等等
[00:00:06.560 --> 00:00:07.360]  舉起雙手
[00:00:07.360 --> 00:00:08.360]  喜歡看電影的
[00:00:08.360 --> 00:00:10.160]  嘩,這麼少人
[00:00:10.160 --> 00:00:12.320]  每個都好像在四十年代
[00:00:12.320 --> 00:00:13.160]  上一世紀
[00:00:13.160 --> 00:00:14.200]  大家知不知道上一世紀
[00:00:14.200 --> 00:00:14.960]  四十年代
[00:00:14.960 --> 00:00:15.720]  如果你是基督徒
[00:00:15.720 --> 00:00:16.920]  你不准看電影
[00:00:16.920 --> 00:00:19.200]  如果你被牧師、傳道人看到
[00:00:19.200 --> 00:00:20.520]  你糟糕了
[00:00:20.520 --> 00:00:21.880]  不過今天不同了
[00:00:21.880 --> 00:00:23.040]  所以人們不敢舉
[00:00:23.040 --> 00:00:23.960]  多說一遍
[00:00:23.960 --> 00:00:26.560]  我們二十一世紀是准看電影的
[00:00:26.560 --> 00:00:28.160]  只要看正當的電影就行了
[00:00:28.160 --> 00:00:29.760]  好,看電影的時間
[00:00:29.760 --> 00:00:31.120]  大家看我的樣子
[00:00:31.120 --> 00:00:33.120]  就知道我多少年代的產品
[00:00:33.120 --> 00:00:35.120]  我們那個年代是這樣的
[00:00:35.120 --> 00:00:38.400]  通常有一套電影是粵語片
[00:00:38.400 --> 00:00:40.400]  男女主角
[00:00:40.400 --> 00:00:43.040]  女主角籌了很多錢
[00:00:43.040 --> 00:00:45.600]  讓男主角上京附考
[00:00:45.600 --> 00:00:47.600]  哭得很慘
[00:00:47.600 --> 00:00:49.600]  於是男主角背著
[00:00:49.600 --> 00:00:50.600]  不是背囊
[00:00:50.600 --> 00:00:52.600]  是包袱上京
[00:00:52.600 --> 00:00:54.120]  那個影片一轉
[00:00:54.120 --> 00:00:56.120]  就有一些高山流水
[00:00:56.120 --> 00:00:58.320]  然後桃花樹又下又開
[00:00:58.320 --> 00:01:01.280]  見到男主角已經騎著馬
[00:01:01.280 --> 00:01:02.640]  說中了狀元
[00:01:02.640 --> 00:01:04.640]  然後有把上方寶劍
[00:01:04.640 --> 00:01:06.640]  可以先斬後奏
[00:01:06.640 --> 00:01:08.640]  大家知不知道這些鏡頭叫什麼呢
[00:01:08.640 --> 00:01:10.640]  這些鏡頭叫做蒙太奇
[00:01:10.640 --> 00:01:12.640]  或者你說
[00:01:12.640 --> 00:01:14.640]  莫先生,你那個產品我們哪知道
