
[00:00:00.000 --> 00:00:04.000]  當我們面對很多困難的時候
[00:00:04.000 --> 00:00:07.000]  我們最需要什麼呢?
[00:00:07.000 --> 00:00:12.000]  我們可能需要一些解決的方法
[00:00:12.000 --> 00:00:17.000]  或者我們需要這些困難消失
[00:00:17.000 --> 00:00:23.000]  我們有沒有信心去面對困難呢?
[00:00:23.000 --> 00:00:28.000]  我們是否相信神會與我們同在
[00:00:28.000 --> 00:00:32.000]  一起去面對這些困難呢?
[00:00:32.000 --> 00:00:34.000]  今天我們會看一段經文
[00:00:34.000 --> 00:00:36.000]  在彼得的故事裡面
[00:00:36.000 --> 00:00:38.000]  讓我們去看看
[00:00:38.000 --> 00:00:44.000]  我們應該怎樣憑著信心去面對困難
[00:00:44.000 --> 00:00:46.000]  我們一起讀一段聖經
[00:00:46.000 --> 00:00:52.000]  彼得在小行傳第十二章一到二十四節
[00:00:52.000 --> 00:00:56.000]  我們請弟兄讀單節的聖經
[00:00:56.000 --> 00:01:00.000]  姐妹讀雙節的聖經
[00:01:00.000 --> 00:01:02.000]  我們輪流讀完這段經文
[00:01:02.000 --> 00:01:04.000]  我們請弟兄先讀
[00:01:26.000 --> 00:01:40.000]  於是彼得被囚在監獄
[00:01:40.000 --> 00:01:44.000]  教會卻為他徹徹地禱告神
[00:01:44.000 --> 00:01:56.000]  天主將要彼得出來的前一夜
[00:01:56.000 --> 00:02:00.000]  忽然有主的一個使者站在旁邊
[00:02:00.000 --> 00:02:02.000]  屋裡有光照耀
[00:02:02.000 --> 00:02:05.000]  天使拍彼得的肋旁
[00:02:05.000 --> 00:02:07.000]  拍醒了他說
[00:02:07.000 --> 00:02:08.000]  快快起來
[00:02:08.000 --> 00:02:12.000]  那鐵鏈就從他手上脫落下來
[00:02:12.000 --> 00:02:14.000]  天使對他說
[00:02:14.000 --> 00:02:17.000]  送一個大紙穿上鞋
[00:02:17.000 --> 00:02:19.000]  他就那樣做
[00:02:19.000 --> 00:02:20.000]  天使就說
[00:02:20.000 --> 00:02:23.000]  兄長何意跟著我來
[00:02:23.000 --> 00:02:26.000]  彼得就出來跟著他
[00:02:26.000 --> 00:02:29.000]  不知道天使所作是真的
[00:02:29.000 --> 00:02:31.000]  只當見了異象
[00:02:31.000 --> 00:02:34.000]  我要第一層第二層監獄
[00:02:34.000 --> 00:02:37.000]  就來到臨界的鐵門
[00:02:37.000 --> 00:02:42.000]  他們自己開了 他們出來走過一條街
[00:02:42.000 --> 00:02:45.000]  天使便離開他們了
