
[00:00:00.000 --> 00:00:02.800]  只是玩玩遊戲,熱身一下
[00:00:02.800 --> 00:00:05.440]  但是就派了三封利是給大家了
[00:00:05.440 --> 00:00:07.680]  是,好
[00:00:07.680 --> 00:00:15.200]  那,先請拿了第一封利是的Welson幫我打開你的利是封
[00:00:15.200 --> 00:00:23.040]  那些待會不要開,你們二三那些不要開
[00:00:23.040 --> 00:00:24.320]  讀出來
[00:00:24.320 --> 00:00:29.920]  好,第一個的分題就是「隨救迎新」
[00:00:30.960 --> 00:00:35.280]  「隨救迎新」都是我們中國人很需要在新年做的
[00:00:35.280 --> 00:00:38.480]  特別這幾天我經常和你們妻女在說
[00:00:38.480 --> 00:00:41.440]  你舊時的壞習慣要「隨救迎新」
[00:00:41.440 --> 00:00:45.360]  要迎接新的一年就要將一些過去壞的觀念
[00:00:45.360 --> 00:00:47.600]  或者不對的行爲就要糾正
[00:00:47.600 --> 00:00:51.680]  那我們今年新的一年就能夠迎接新的開始了
[00:00:51.680 --> 00:00:53.440]  那剛好我和師母聊天
[00:00:53.440 --> 00:00:57.920]  他們今天兒童崇拜都是用「隨救迎新」作爲一個信息
[00:00:57.920 --> 00:00:59.840]  那有什麼要「隨救迎新」呢
[00:00:59.840 --> 00:01:03.760]  那當然如果你看回我們今天講道的經文
[00:01:03.760 --> 00:01:07.520]  就是在《瑪麗芳》六章九段十三節,知道在哪裏嗎
[00:01:07.520 --> 00:01:09.680]  就是「主禱文」
[00:01:09.680 --> 00:01:13.600]  所以第一個我想要和大家講的「隨救迎新」就是
[00:01:13.600 --> 00:01:17.520]  原來「主禱文」不是「主禱文」
[00:01:17.520 --> 00:01:20.400]  可能有些,我今天看到有些青年人都在這裏
[00:01:20.400 --> 00:01:23.440]  不知道會不會打差了他們的觀念
[00:01:23.440 --> 00:01:26.240]  爲什麼「主禱文」不是「主禱文」呢
[00:01:26.240 --> 00:01:28.800]  原來你看回余文
[00:01:28.800 --> 00:01:30.800]  特別是「主禱文」裏面有兩段
[00:01:30.800 --> 00:01:32.800]  一段在《路加福音》第十一章
[00:01:32.800 --> 00:01:35.520]  一段在《瑪麗芳》六章九節
[00:01:35.520 --> 00:01:38.160]  第十一章一節耶穌找一個地方討告
[00:01:38.160 --> 00:01:41.040]  討告完了,有一個門徒對耶穌說
[00:01:41.040 --> 00:01:42.960]  「主啊,求禰教導我們祈禱」
[00:01:42.960 --> 00:01:45.600]  好像約翰教導他的門徒一樣
[00:01:45.600 --> 00:01:47.040]  於是耶穌就說
[00:01:47.040 --> 00:01:50.240]  「你們討告的時候要說,我們在天上的父」
[00:01:50.240 --> 00:01:51.760]  然後就是「主禱文」了
[00:01:51.760 --> 00:01:53.760]  所以大家都知道其實這個
[00:01:53.760 --> 00:01:56.880]  是耶穌在教門徒怎麼祈禱
[00:01:56.880 --> 00:01:58.880]  就不是「主禱文」
[00:01:58.880 --> 00:02:03.200]  就好像剛剛美國新的總統特朗普就職典禮
[00:02:03.200 --> 00:02:06.720]  這個就是特朗普自己所說的演示
[00:02:06.720 --> 00:02:08.720]  所以「主禱文」顧名思義應該是
[00:02:08.720 --> 00:02:13.680]  主耶穌基督向天父討告的內文
[00:02:13.680 --> 00:02:14.800]  但是這個是不是?
[00:02:14.800 --> 00:02:15.600]  就不是了
[00:02:15.600 --> 00:02:19.040]  原來是主耶穌基督教導門徒的禱文
[00:02:19.040 --> 00:02:23.040]  真正的「主禱文」在哪裏呢?
[00:02:23.040 --> 00:02:25.680]  其實真正的「主禱文」就在《約翰福音》第十七章
[00:02:25.680 --> 00:02:29.120]  有興趣可以在這幾天放假細心去看
[00:02:29.120 --> 00:02:31.600]  主線在「主禱文」裏面
[00:02:31.600 --> 00:02:35.840]  但其實「主禱文」既然不是主耶穌基督的禱文
[00:02:35.840 --> 00:02:41.040]  但更重要的是耶穌基督教導門徒祈禱的樣板
[00:02:41.040 --> 00:02:43.440]  就是說如果我們要學習祈禱
[00:02:43.440 --> 00:02:45.200]  我們可以先學習「主禱文」
[00:02:45.200 --> 00:02:47.680]  知道內文之後
[00:02:47.680 --> 00:02:50.720]  就不是記住裏面的字了
[00:02:50.720 --> 00:02:53.200]  而是要記住祈禱的精髓
[00:02:53.200 --> 00:02:56.160]  所以如果看回整個《約翰福音》第六章
[00:02:56.160 --> 00:03:01.680]  都是耶穌教導門徒祈禱應該有的態度和精神
[00:03:01.680 --> 00:03:04.880]  所以今天第一個想和大家除舊迎新的就是
[00:03:04.880 --> 00:03:07.680]  我們知道原來「主禱文」不是「主禱文」
[00:03:07.680 --> 00:03:09.920]  是門徒禱文的樣板
[00:03:09.920 --> 00:03:14.640]  但更要讓我們學習祈禱當中的精神和態度
[00:03:14.640 --> 00:03:16.560]  這是更加重要的
[00:03:16.560 --> 00:03:20.560]  第二個我想和大家除舊迎新的是什麼呢?
[00:03:20.560 --> 00:03:22.960]  就是賜福和祝福
[00:03:22.960 --> 00:03:24.880]  不知道大家知道我想說什麼嗎?
[00:03:24.880 --> 00:03:26.720]  又玩玩遊戲吧
[00:03:26.720 --> 00:03:29.200]  以下哪一句是正確的?
[00:03:29.200 --> 00:03:32.000]  「主祝福你」
