
[00:00:00.000 --> 00:00:02.160]  Hello!弟兄姊妹,大家好!
[00:00:02.160 --> 00:00:05.880]  牛年第一次在崇拜見到大家
[00:00:05.880 --> 00:00:09.080]  無論你是初二、初三甚至初四
[00:00:09.080 --> 00:00:11.080]  才看崇拜六博
[00:00:11.080 --> 00:00:14.720]  我在這裡代表教會祝賀大家
[00:00:14.720 --> 00:00:16.840]  新年蒙恩,身體健康
[00:00:16.840 --> 00:00:21.880]  在牛年裡更加經歷到上帝的大能大力與大家同在
[00:00:21.880 --> 00:00:26.560]  今年的第一個牛年主日是年初三
[00:00:26.560 --> 00:00:29.920]  剛好是情人節
[00:00:29.920 --> 00:00:32.240]  所以我講了一個很有趣的題目
[00:00:32.240 --> 00:00:35.880]  叫做「當赤口遇上情人節」
[00:00:35.880 --> 00:00:38.400]  正正就是我們今年的日子
[00:00:38.400 --> 00:00:40.960]  如果你在任何資料裡都查到
[00:00:40.960 --> 00:00:43.160]  為什麼會有赤口這個日子出現呢?
[00:00:43.160 --> 00:00:45.800]  其實都是基於一些民間的傳說
[00:00:45.800 --> 00:00:49.560]  他們相信初三是不宜出外的
[00:00:49.560 --> 00:00:52.800]  如果出外拜年就會跟別人吵架
[00:00:52.800 --> 00:00:54.800]  所以最好在家裡休息
[00:00:54.800 --> 00:00:58.680]  我們先不理會民間傳說的情況
[00:00:58.680 --> 00:01:01.120]  但我覺得古人都是很有智慧的
[00:01:01.120 --> 00:01:02.400]  為什麼這麼說呢?
[00:01:02.400 --> 00:01:03.800]  一般我家就是這樣的
[00:01:03.800 --> 00:01:06.240]  我們初一就會去男家
[00:01:06.240 --> 00:01:10.600]  就是去我老公那邊拜年、吃飯
[00:01:10.600 --> 00:01:14.360]  當然一齊都要煮飯
[00:01:14.360 --> 00:01:17.480]  然後初二通常就會去女家
[00:01:17.480 --> 00:01:20.040]  回到我自己媽媽那邊
[00:01:20.040 --> 00:01:23.200]  你想想由年三十晚自己家裡團年
[00:01:23.200 --> 00:01:26.960]  然後初一、初二都做了很大量的功夫
[00:01:26.960 --> 00:01:28.800]  所以其實真的很累
[00:01:28.800 --> 00:01:31.440]  所以突然間說初三是赤口
[00:01:31.440 --> 00:01:32.600]  盡量不要去拜年
[00:01:32.600 --> 00:01:33.640]  可以在家裡休息
[00:01:33.640 --> 00:01:35.400]  這樣其實都挺好的
[00:01:35.400 --> 00:01:38.280]  過往的日子通常就是初三
[00:01:38.280 --> 00:01:40.720]  我們留給教會弟兄姊妹
[00:01:40.720 --> 00:01:42.640]  因為大家都不用去拜年
[00:01:42.640 --> 00:01:44.280]  我們就說初一男家
[00:01:44.280 --> 00:01:45.840]  初二女家
[00:01:45.840 --> 00:01:48.200]  初三我們就歸給天父了
[00:01:48.200 --> 00:01:50.800]  我們就在天家裡面拜年
[00:01:50.800 --> 00:01:52.960]  而成人節大家都知道
[00:01:52.960 --> 00:01:54.200]  2月14日
[00:01:54.200 --> 00:01:58.280]  過往崇拜都解釋過成人節的來由
[00:01:58.280 --> 00:02:00.200]  所以我們都不花時間
[00:02:00.200 --> 00:02:01.120]  簡單來說
[00:02:01.120 --> 00:02:03.920]  成人節就是紀念華倫天奴
[00:02:03.920 --> 00:02:10.720]  一個因為在羅馬禁止男女結婚的時間
[00:02:10.720 --> 00:02:14.320]  他竟然偷偷地為愛女主持婚禮
[00:02:14.320 --> 00:02:15.760]  所以他就被捕
