
[00:00:00.000 --> 00:00:03.000]  聖經都是神所物是的
[00:00:03.000 --> 00:00:08.000]  於教訓督責使人歸正教導和學義
[00:00:08.000 --> 00:00:10.000]  都是有益的
[00:00:10.000 --> 00:00:15.000]  教育屬神的人得以完全預備行各樣的善事
[00:00:15.000 --> 00:00:17.000]  感謝主在今日的清晨
[00:00:17.000 --> 00:00:20.000]  透過聖經和大家分享一個題目
[00:00:20.000 --> 00:00:23.000]  「教經必拜」
[00:00:23.000 --> 00:00:27.000]  在武林上面有一個秘笈
[00:00:27.000 --> 00:00:30.000]  叫九陰真經
[00:00:30.000 --> 00:00:34.000]  如果誰能得到這個武林秘笈的話
[00:00:34.000 --> 00:00:37.000]  就可以稱霸武林
[00:00:37.000 --> 00:00:41.000]  於是各大門派互相爭奪
[00:00:41.000 --> 00:00:46.000]  究竟九陰真經是講什麼呢?
[00:00:46.000 --> 00:00:50.000]  在九陰真經的前言裡是這樣說的
[00:00:50.000 --> 00:00:57.000]  「天知道損有餘而補不足,是故虛勝實,不足勝有餘。」
[00:00:57.000 --> 00:00:59.000]  他說天上面有一個道理
[00:00:59.000 --> 00:01:04.000]  就是那些虧損的反而是有盈餘的
[00:01:04.000 --> 00:01:06.000]  是可以補那些不足的
[00:01:06.000 --> 00:01:09.000]  是故虛勝實,那些什麼都沒有的
[00:01:09.000 --> 00:01:15.000]  反而能勝過那些什麼都有的
[00:01:15.000 --> 00:01:20.000]  其實九陰真經只是講兩個字,謙虛
[00:01:20.000 --> 00:01:23.000]  真正能夠獨霸武林的
[00:01:23.000 --> 00:01:28.000]  不是刀劍,不是權勢,是謙虛
[00:01:28.000 --> 00:01:31.000]  在《針研十六章十八節》這樣說
[00:01:31.000 --> 00:01:38.000]  驕傲在敗壞之先,狂心在跌倒之前
[00:01:38.000 --> 00:01:41.000]  牧師,我不知道什麼叫驕傲
[00:01:41.000 --> 00:01:44.000]  經文解釋了,就是狂心
[00:01:44.000 --> 00:01:49.000]  一個驕傲的人是一個心發狂的人
[00:01:49.000 --> 00:01:51.000]  而一個心發狂的人
[00:01:51.000 --> 00:01:57.000]  是沒有辦法清楚認識自己的本相
[00:01:57.000 --> 00:02:01.000]  驕傲的人是有結果的
[00:02:01.000 --> 00:02:03.000]  當阿波下驕傲的種子的時候
[00:02:03.000 --> 00:02:07.000]  結果就是敗壞和跌倒
[00:02:07.000 --> 00:02:12.000]  有一天,當你化到自己跌倒或敗壞的時候
[00:02:12.000 --> 00:02:14.000]  不要問為什麼
[00:02:14.000 --> 00:02:19.000]  其中一個原因可能就是驕傲
[00:02:19.000 --> 00:02:21.000]  《國王的新衣》
[00:02:21.000 --> 00:02:23.000]  所有人都聽過這個故事
