
[00:00:00.000 --> 00:00:07.000]  子弟姊妹,今日我的講題是「他使我安然居住」
[00:00:07.000 --> 00:00:11.000]  我們先有一個安靜的祈禱
[00:00:11.000 --> 00:00:16.000]  我們的天父,我們知道萬有都在祢手裏
[00:00:16.000 --> 00:00:20.000]  我們能夠安然居住是上帝祢所厚賜
[00:00:20.000 --> 00:00:23.000]  在今天裏面,當我們去聽這篇道會的時候
[00:00:23.000 --> 00:00:25.000]  求主祢開通我們的心
[00:00:25.000 --> 00:00:29.000]  讓我們能夠得著上帝祢自己的安慰、提醒和引導
[00:00:29.000 --> 00:00:31.000]  願主祢賜福給我們
[00:00:31.000 --> 00:00:33.000]  祈禱奉著耶穌的名求
[00:00:33.000 --> 00:00:34.000]  阿們
[00:00:59.000 --> 00:01:05.000]  是一些有睡眠窒息症的病人
[00:01:05.000 --> 00:01:08.000]  他們需要戴著這個豬嘴睡覺
[00:01:08.000 --> 00:01:11.000]  你想像一下,每晚戴著一個豬嘴睡覺
[00:01:11.000 --> 00:01:14.000]  如果他不戴,他很容易缺氧
[00:01:14.000 --> 00:01:16.000]  甚至他會猝死
[00:01:16.000 --> 00:01:19.000]  一個人原來要睡得香甜
[00:01:19.000 --> 00:01:21.000]  其實是很困難的
[00:01:21.000 --> 00:01:23.000]  很困難很困難的事
[00:01:23.000 --> 00:01:27.000]  我記得以前屯契有個弟兄
[00:01:27.000 --> 00:01:29.000]  他用了豬嘴之後
[00:01:29.000 --> 00:01:30.000]  他就說
[00:01:30.000 --> 00:01:33.000]  我都覺得自己的想法清晰了
[00:01:33.000 --> 00:01:35.000]  反應快了
[00:01:35.000 --> 00:01:36.000]  是事實的
[00:01:36.000 --> 00:01:39.000]  我們缺氧,腦袋會慢一點
[00:01:39.000 --> 00:01:40.000]  會蠢一點
[00:01:40.000 --> 00:01:42.000]  不過更加可怕的就是
[00:01:42.000 --> 00:01:44.000]  你睡一睡你會猝死
[00:01:44.000 --> 00:01:47.000]  你開著車你會撞車
[00:01:47.000 --> 00:01:50.000]  不容易
[00:01:50.000 --> 00:01:53.000]  原來要睡得香甜是很難的
[00:01:53.000 --> 00:01:57.000]  特別是今天的社會有這麼多複雜的情景
[00:01:57.000 --> 00:02:00.000]  令到我們心裡有很多憂愁
[00:02:00.000 --> 00:02:01.000]  有很多記掛
[00:02:01.000 --> 00:02:04.000]  要睡得香甜是很難的
[00:02:04.000 --> 00:02:07.000]  這一篇詩篇,第四篇
[00:02:07.000 --> 00:02:10.000]  是大衛的晚禱
[00:02:10.000 --> 00:02:13.000]  什麼可以令他睡得著
[00:02:13.000 --> 00:02:16.000]  又或者令他睡不著呢
[00:02:16.000 --> 00:02:19.000]  我相信大家都不會忘記
[00:02:19.000 --> 00:02:21.000]  大衛在逃亡的時候
[00:02:21.000 --> 00:02:24.000]  經歷了很多人和很多事的逼迫
[00:02:24.000 --> 00:02:26.000]  令到他流亡
[00:02:26.000 --> 00:02:27.000]  很老實
[00:02:27.000 --> 00:02:29.000]  一個人沒做過皇帝
[00:02:29.000 --> 00:02:31.000]  去做乞丐是容易一點的
[00:02:31.000 --> 00:02:33.000]  當他做過皇帝
[00:02:33.000 --> 00:02:34.000]  去做乞丐
