
[00:00:00.000 --> 00:00:07.000]  我相信大家都聽到很多關於耶穌復活的故事
[00:00:07.000 --> 00:00:12.000]  有些故事是真實的 有些故事是人虛構出來的
[00:00:12.000 --> 00:00:19.000]  我最近看到一個故事是這樣的 關於耶穌復活的
[00:00:19.000 --> 00:00:25.000]  裡面是說亞利馬泰的藥室
[00:00:25.000 --> 00:00:30.000]  大家都知道亞利馬泰的藥室是什麼人
[00:00:30.000 --> 00:00:34.000]  根據《馬太福音》27章記載
[00:00:34.000 --> 00:00:38.000]  亞利馬泰的藥室是一個財主
[00:00:38.000 --> 00:00:43.000]  他也是一個暗暗地跟隨耶穌的人
[00:00:43.000 --> 00:00:50.000]  當耶穌當日死在十字架上之後
[00:00:50.000 --> 00:00:58.000]  這個藥室向比拉多求取耶穌的身體來埋葬
[00:00:58.000 --> 00:01:06.000]  他將耶穌的身體安放在一個新的墳墓裡面
[00:01:06.000 --> 00:01:10.000]  所謂新的墳墓裡面是未有人用過的
[00:01:10.000 --> 00:01:17.000]  是他自己將來預備用的一個新的墳墓
[00:01:17.000 --> 00:01:21.000]  這個墳墓是從一個石山裡面造出來的
[00:01:21.000 --> 00:01:29.000]  是一個很有體面的墳墓
[00:01:29.000 --> 00:01:35.000]  這個墳墓可以用一塊大石頭
[00:01:35.000 --> 00:01:38.000]  應該是圓圓的 可以滾過去
[00:01:38.000 --> 00:01:41.000]  蓋著一個洞口 一個山洞
[00:01:41.000 --> 00:01:44.000]  這一部分的資料是真實的
[00:01:44.000 --> 00:01:46.000]  是記載在聖經裡面的
[00:01:46.000 --> 00:01:49.000]  但是這個故事又繼續發展下去
[00:01:49.000 --> 00:01:52.000]  有人就問藥室
[00:01:52.000 --> 00:02:00.000]  這個墳墓是很壯觀 很有氣派
[00:02:00.000 --> 00:02:04.000]  在山石裡面造出來的
[00:02:04.000 --> 00:02:07.000]  但是為什麼你會這麼捨得
[00:02:07.000 --> 00:02:10.000]  肯讓別人先去用呢?
[00:02:10.000 --> 00:02:12.000]  藥室就回答說
[00:02:12.000 --> 00:02:18.000]  哦 那就不要緊 它只不過是用一個週末
[00:02:18.000 --> 00:02:20.000]  星期五 星期六
[00:02:20.000 --> 00:02:23.000]  星期日一早它就會走了
[00:02:23.000 --> 00:02:25.000]  這個故事就講完了
[00:02:25.000 --> 00:02:29.000]  大家不知道明不明白這個故事是講什麼
[00:02:29.000 --> 00:02:32.000]  耶穌祂只是在墳墓裡面
[00:02:32.000 --> 00:02:36.000]  星期五 星期五晚 星期六晚
[00:02:36.000 --> 00:02:39.000]  我相信祂星期日的凌晨
[00:02:39.000 --> 00:02:43.000]  可能就已經離開了那個墳墓 走了
[00:02:43.000 --> 00:02:45.000]  因為祂復活
[00:02:45.000 --> 00:02:48.000]  在星期日的早上
[00:02:48.000 --> 00:02:51.000]  其實我們不太知道是什麼時候
[00:02:51.000 --> 00:02:55.000]  因為當我們今天要講的訊息
[00:02:55.000 --> 00:02:59.000]  當人發現耶穌不在墳墓裡面的時候
[00:02:59.000 --> 00:03:02.000]  其實那個時候已經是清晨六點鐘
[00:03:02.000 --> 00:03:06.000]  耶穌基督死後第三天復活是歷史的事實
[00:03:06.000 --> 00:03:10.000]  耶穌基督的復活已經將人類的命運
[00:03:10.000 --> 00:03:15.000]  從必定死亡扭轉為可以有永生
[00:03:15.000 --> 00:03:19.000]  希望透過今天的訊息能夠幫助大家
[00:03:19.000 --> 00:03:22.000]  我們應該怎樣去回應耶穌基督
[00:03:22.000 --> 00:03:26.000]  真的復活了這麼大的恩典
[00:03:26.000 --> 00:03:30.000]  我們看今天的經文馬太福音28章1節
[00:03:36.000 --> 00:03:39.000]  也講到安息日將盡
[00:03:39.000 --> 00:03:45.000]  如果用今天 用現代的計時方法的標準來計算
[00:03:45.000 --> 00:03:50.000]  當時就是在星期日清晨大約六點鐘的時候
[00:03:50.000 --> 00:03:56.000]  安息日在禮拜五晚
[00:03:56.000 --> 00:04:07.000]  由星期六的早上六點鐘到星期日的早上六點鐘
[00:04:07.000 --> 00:04:10.000]  耶穌在星期五晚傍晚被安葬
[00:04:10.000 --> 00:04:16.000]  就是說如果是早上 星期日的清晨
[00:04:16.000 --> 00:04:19.000]  只是相隔了三十六小時
[00:04:19.000 --> 00:04:24.000]  三十六小時究竟是很長的時間還是很短的時間呢?
[00:04:24.000 --> 00:04:27.000]  看你怎樣去看
[00:04:27.000 --> 00:04:31.000]  如果你只是被批准放假三十六小時
[00:04:31.000 --> 00:04:33.000]  那麼長還是短呢?
[00:04:33.000 --> 00:04:34.000]  很短而已
[00:04:34.000 --> 00:04:37.000]  很快就過了三十六小時的假期
[00:04:37.000 --> 00:04:40.000]  但是如果不准你睡覺三十六小時呢?
[00:04:40.000 --> 00:04:44.000]  這樣就很長 很難熬的
[00:04:44.000 --> 00:04:49.000]  對跟從耶穌的婦女或者門徒也是
[00:04:49.000 --> 00:04:55.000]  三十六小時是一段漫長而且是傷痛的日子
[00:04:55.000 --> 00:04:57.000]  是很難熬得過
[00:04:57.000 --> 00:05:00.000]  是很難忍耐得住的時間
[00:05:00.000 --> 00:05:04.000]  故此一到安息日結束的時候
[00:05:04.000 --> 00:05:10.000]  那些婦女就急不及待的想去看安放耶穌的地方
[00:05:10.000 --> 00:05:17.000]  對那些要釘死耶穌的祭司長和猶太人的領袖來看
[00:05:17.000 --> 00:05:21.000]  三十六小時是一段很短的時間
[00:05:21.000 --> 00:05:23.000]  在他們的心裡面想
[00:05:23.000 --> 00:05:29.000]  剛剛才除掉了他們的眼中釘耶穌
[00:05:29.000 --> 00:05:33.000]  因為耶穌是威脅到他們的領導地位
[00:05:33.000 --> 00:05:36.000]  滿意為可以安枕無憂了
[00:05:36.000 --> 00:05:38.000]  誰知道都不夠
