
[00:00:00.000 --> 00:00:05.000]  我上次跟大家講了《雅歌》是一本很奇怪的書
[00:00:05.000 --> 00:00:09.800]  猶太人一方面高舉這本書說是聖潔中的聖潔
[00:00:09.800 --> 00:00:17.400]  但另一方面猶太人拉比禁止任何30歲以下的人來讀《雅歌》
[00:00:17.400 --> 00:00:21.600]  是非常奇怪、特別的一本書
[00:00:21.600 --> 00:00:27.200]  我今天給這個講道的名字也是很奇怪
[00:00:27.200 --> 00:00:32.800]  有人說女大十八變 臨上花轎便變三變
[00:00:32.800 --> 00:00:38.400]  我這篇道德還未出街 名字已經改了三四次
[00:00:38.400 --> 00:00:44.000]  最後我決定叫它做《問世間情愛為何物》
[00:00:44.000 --> 00:00:49.000]  《問世間情愛為何物》我本來以為是金庸小說
[00:00:49.000 --> 00:00:52.200]  其實查一查網絡原來不是
[00:00:52.200 --> 00:00:57.000]  原來金朝是宋朝時不變的女真國
[00:00:57.000 --> 00:00:59.400]  他們自立為國 叫金朝
[00:00:59.400 --> 00:01:02.400]  裡面有一個人叫做袁皓文
[00:01:02.400 --> 00:01:06.400]  是這個人所作《問世間情是何物》
[00:01:06.400 --> 00:01:08.800]  直教生死相許
[00:01:08.800 --> 00:01:14.000]  今天要講《所羅門王》和《舒拉蜜》的愛情故事
[00:01:14.000 --> 00:01:20.000]  剛才周長老和Sally讀了經文給我們聽
[00:01:20.000 --> 00:01:23.000]  其實雅歌真的不容易講
[00:01:23.000 --> 00:01:26.600]  我平時講道寫了一篇講章
[00:01:26.600 --> 00:01:29.200]  稍為練習便可以講
[00:01:29.200 --> 00:01:34.600]  但是雅歌 我很久已經寫完講章
[00:01:34.600 --> 00:01:38.800]  過了一會兒拿出來看 發覺完全亂七八糟
[00:01:38.800 --> 00:01:40.600]  又要再改寫
[00:01:40.600 --> 00:01:43.400]  上星期二知道這星期日要講
[00:01:43.400 --> 00:01:48.200]  又拿出來再看一看 嘩 又是亂七八糟
[00:01:48.200 --> 00:01:50.400]  所以有事要改寫
[00:01:50.400 --> 00:01:54.600]  其實講雅歌是我平時講道三倍的功夫
[00:01:54.600 --> 00:01:58.000]  來到講雅歌 實在不是容易講
[00:01:58.000 --> 00:02:02.800]  如果我要照著其他解經加用寓意來解的話
[00:02:02.800 --> 00:02:06.400]  就很容易 天花龍鳳我講什麼都行
[00:02:06.400 --> 00:02:11.000]  但我相信真正的意思是在字面解釋裡面
[00:02:11.000 --> 00:02:13.800]  是應該用字面來解釋
[00:02:13.800 --> 00:02:18.200]  很多人都說 其實解釋不重要
[00:02:18.200 --> 00:02:22.600]  最重要是經文後面有一個好的訊息就行了
[00:02:22.600 --> 00:02:26.200]  如果是這樣的話 為什麼我們要讀聖經呢?
[00:02:26.200 --> 00:02:30.200]  很多書籍都可以給你有很好的訊息
[00:02:30.200 --> 00:02:34.800]  原因是因為是神的話語 所以我們要聽
[00:02:34.800 --> 00:02:39.200]  如果是神的話語 你解得亂七八糟 用寓意
[00:02:39.200 --> 00:02:41.000]  還是不是神的話語呢?
[00:02:41.000 --> 00:02:42.200]  不是
[00:02:42.200 --> 00:02:44.600]  其實我們要很小心
[00:02:44.600 --> 00:02:46.600]  聖經告訴我們
[00:02:46.600 --> 00:02:50.000]  撒旦其實是很熟悉神的話語
[00:02:50.000 --> 00:02:53.600]  如果你看看在《馬太福音》第四章
[00:02:53.600 --> 00:02:57.800]  當他引誘耶穌基督所講的全部都是神的話語
[00:02:57.800 --> 00:02:59.800]  但是曲解了
[00:02:59.800 --> 00:03:01.600]  所以我們要很小心
[00:03:01.600 --> 00:03:05.800]  在歷史當中有很多人高舉聖經的話語
[00:03:05.800 --> 00:03:07.200]  高舉聖經的名
[00:03:07.200 --> 00:03:12.000]  是用所謂的聖箭來進行大屠殺
[00:03:12.000 --> 00:03:14.200]  我亦都和大家講過
[00:03:14.200 --> 00:03:18.600]  對末世觀有很多人是用寓意來解經
[00:03:18.600 --> 00:03:22.000]  結果說末世的這個國度
[00:03:22.000 --> 00:03:25.200]  不是實在的國度 不是猶太人的國度
[00:03:25.200 --> 00:03:27.200]  是人心裡面的國
[00:03:27.200 --> 00:03:31.800]  這個聽起來其實是一個很好的訊息
[00:03:31.800 --> 00:03:35.400]  我們每個人心裡面都有神的國
[00:03:35.400 --> 00:03:37.600]  但是就是因為這樣的解釋
[00:03:37.600 --> 00:03:42.000]  給人一個誤會是神已經放棄猶太人
[00:03:42.000 --> 00:03:45.200]  以致慢慢形成了在歷史當中
[00:03:45.200 --> 00:03:49.000]  對猶太人的大屠殺就是這樣出現
[00:03:49.000 --> 00:03:50.800]  所以我們要很小心
[00:03:50.800 --> 00:03:55.400]  不是說神的話語我們可以任由我們解釋
[00:03:55.400 --> 00:03:58.600]  分分鐘不是神跟我們講話
[00:03:58.600 --> 00:04:03.400]  分分鐘可能是撒旦跟我們講話
[00:04:03.400 --> 00:04:07.400]  上一次我和大家講了這個故事的背景
[00:04:07.400 --> 00:04:09.600]  不妨重複一下
[00:04:09.600 --> 00:04:13.000]  在耶路撒冷北面的一個山莊
[00:04:13.000 --> 00:04:14.600]  有一個家庭
[00:04:14.600 --> 00:04:18.400]  這個家庭的爸爸已經可能去世了
[00:04:18.400 --> 00:04:19.600]  沒有提到
[00:04:19.600 --> 00:04:22.600]  說到有一個媽媽有兩個兒子
[00:04:22.600 --> 00:04:25.200]  和主角舒拉蜜
[00:04:25.200 --> 00:04:27.600]  她兩個哥哥對她並不好
[00:04:27.600 --> 00:04:29.200]  兩個哥哥很懶
[00:04:29.200 --> 00:04:31.800]  不喜歡打理葡萄園
[00:04:31.800 --> 00:04:34.600]  就叫舒拉蜜來打理
[00:04:34.600 --> 00:04:36.800]  舒拉蜜是非常忙
[00:04:36.800 --> 00:04:39.200]  但當她有時間的時候
[00:04:39.200 --> 00:04:40.800]  她會去放羊
[00:04:40.800 --> 00:04:42.800]  過著牧羊人的生活
[00:04:42.800 --> 00:04:46.800]  來舒緩一下她緊張的生活
[00:04:46.800 --> 00:04:49.200]  所羅門王也是一樣
[00:04:49.200 --> 00:04:53.400]  他在耶路撒冷辦公很繁忙之餘
[00:04:53.400 --> 00:04:56.800]  他也會去到這個山莊來放羊
[00:04:56.800 --> 00:04:59.000]  他就成為了一個牧羊人
[00:04:59.000 --> 00:05:04.000]  所以這對男女彼此認識了
[00:05:04.000 --> 00:05:08.000]  而且共渡愛河,兩人相愛了
[00:05:08.000 --> 00:05:12.400]  今天《雅歌》的一章二節至二章七節
[00:05:12.400 --> 00:05:17.400]  就是講到他們兩個人的愛情故事
[00:05:17.400 --> 00:05:22.400]  戀愛中的男女時時都會思念對方
[00:05:22.400 --> 00:05:26.200]  這個《雅歌》裡的舒拉蜜也不例外
[00:05:26.200 --> 00:05:27.800]  她有兩個願望
[00:05:27.800 --> 00:05:29.600]  第一個願望就是
[00:05:29.600 --> 00:05:36.200]  這個牧羊人能夠用口跟自己親嘴
[00:05:36.200 --> 00:05:39.200]  這是她的想像
[00:05:39.200 --> 00:05:41.400]  我們怎麼知道是她的想像呢?
[00:05:41.400 --> 00:05:44.800]  因為文法是用將來式
[00:05:44.800 --> 00:05:48.800]  所以在《書和合本》加多了一個「願」字
[00:05:48.800 --> 00:05:52.600]  「願他用口與我親嘴」
[00:05:52.600 --> 00:05:55.000]  她也給了兩個原因
[00:05:55.000 --> 00:05:58.400]  為什麼她希望這個牧羊人跟自己親嘴
[00:05:58.400 --> 00:06:02.800]  第一個原因就是她的愛情比酒更美
[00:06:02.800 --> 00:06:04.800]  《雅歌》的一章二節
[00:06:04.800 --> 00:06:10.200]  第二個原因就是她的名好像倒出來的香膏一樣
[00:06:10.200 --> 00:06:16.400]  我們知道親嘴是一個很親密的表達方式
