
[00:00:00.000 --> 00:00:02.780]  我們教會很好
[00:00:02.780 --> 00:00:05.580]  叫我帶大家去講如何面對衝突
[00:00:05.580 --> 00:00:07.760]  這是一個很好的課題
[00:00:07.760 --> 00:00:09.680]  至少我們肯面對
[00:00:09.680 --> 00:00:12.300]  我們不要再像那些人那樣
[00:00:12.300 --> 00:00:13.620]  猶至及興
[00:00:13.620 --> 00:00:15.540]  一路很好
[00:00:15.540 --> 00:00:17.840]  但是不斷有東西倒閉
[00:00:17.840 --> 00:00:19.380]  講得好像很好
[00:00:19.380 --> 00:00:20.820]  但其實不是
[00:00:20.820 --> 00:00:22.460]  基督徒有時候都是
[00:00:22.460 --> 00:00:23.820]  有些虛假的
[00:00:23.820 --> 00:00:24.980]  表面和諧
[00:00:24.980 --> 00:00:28.220]  內裡有很多問題產生
[00:00:28.220 --> 00:00:30.260]  就不肯去面對
[00:00:30.260 --> 00:00:33.380]  當我們回到教會
[00:00:33.380 --> 00:00:35.980]  你只是參加聚會
[00:00:35.980 --> 00:00:37.420]  聚會完之後
[00:00:37.420 --> 00:00:39.380]  就見平安石
[00:00:39.380 --> 00:00:40.960]  雖然你不是東方閃電教
[00:00:40.960 --> 00:00:42.100]  但是你也在散會之後
[00:00:42.100 --> 00:00:43.880]  向東方閃走的時候
[00:00:43.880 --> 00:00:45.680]  你回到教會十年
[00:00:45.680 --> 00:00:47.020]  你都不會有衝突的
[00:00:47.020 --> 00:00:48.260]  是不是?
[00:00:48.260 --> 00:00:50.060]  你有沒有留意到往往
[00:00:50.060 --> 00:00:52.460]  你和哪些人有衝突呢?
[00:00:52.460 --> 00:00:54.840]  除了突然之間在地鐵裡面
[00:00:54.840 --> 00:00:55.720]  來來去去
[00:00:55.720 --> 00:00:56.420]  撞到你
[00:00:56.420 --> 00:00:57.520]  於是來來去去
[00:00:57.520 --> 00:00:59.700]  有人身肉搏之外
[00:00:59.700 --> 00:01:01.700]  那些也是一會兒而已
[00:01:01.700 --> 00:01:04.500]  你最多衝突的就是你的家人
