
[00:00:00.000 --> 00:00:01.800]  約翰福音第四章四十三節
[00:00:01.800 --> 00:00:05.900]  過了那兩天耶穌離開那地方往加里里去
[00:00:05.900 --> 00:00:08.700]  因為耶穌自己坐過見證船
[00:00:08.700 --> 00:00:12.100]  先知在自己的家鄉是沒有人尊敬的
[00:00:12.100 --> 00:00:13.100]  到了加里里
[00:00:13.100 --> 00:00:15.300]  加里里人都歡迎他
[00:00:15.300 --> 00:00:17.700]  因為他們也想耶路撒冷去過節
[00:00:17.700 --> 00:00:22.000]  曾經看過他在這期間所做的一切事
[00:00:22.000 --> 00:00:24.200]  耶穌又到了加里里的迦南
[00:00:24.200 --> 00:00:27.400]  就是他從前遍水圍走的地方
[00:00:27.400 --> 00:00:30.600]  有一個大神他的兒子在加伯隆病了
[00:00:30.600 --> 00:00:34.800]  他正見耶穌從猶太到了加里里
[00:00:34.800 --> 00:00:38.000]  就來見他求他下去醫治他的兒子
[00:00:38.000 --> 00:00:40.000]  因為他的兒子快要死了
[00:00:40.000 --> 00:00:41.000]  耶穌對他說
[00:00:41.000 --> 00:00:44.400]  若不看見神跡其事你們總是不信
[00:00:44.400 --> 00:00:45.800]  那大神對他說
[00:00:45.800 --> 00:00:50.200]  先生求你趁著我的孩子還沒有死就下去吧
[00:00:50.200 --> 00:00:51.200]  耶穌對他說
[00:00:51.200 --> 00:00:52.600]  回去你的兒子會活
[00:00:52.600 --> 00:00:56.000]  那人信耶穌所說的話就回去了
[00:00:56.000 --> 00:00:58.400]  正下去的時候他的僕人迎面而來
[00:00:58.400 --> 00:01:00.000]  說他的兒子活了
[00:01:00.000 --> 00:01:02.200]  他就問什麼時候見好的
[00:01:02.200 --> 00:01:03.800]  他們對他說
[00:01:03.800 --> 00:01:06.800]  昨天下午一點鐘熱就退了
[00:01:06.800 --> 00:01:10.200]  他就知道這正是耶穌對他說
[00:01:10.200 --> 00:01:12.600]  你的兒子會活的時候
[00:01:12.600 --> 00:01:15.200]  他自己和全家都信了
[00:01:15.200 --> 00:01:21.800]  這是耶穌從猶太回加里里後所行的第二個神跡
[00:01:21.800 --> 00:01:24.600]  請大家再一次同心我們一同祈禱
[00:01:24.600 --> 00:01:26.000]  天父我們再一次感謝禰
[00:01:26.000 --> 00:01:29.600]  給禰寶貴的話語作為我們生命的指引
[00:01:29.600 --> 00:01:32.800]  教導我們什麼叫做真正的相信
[00:01:32.800 --> 00:01:34.800]  求禰借著禰的話語去提醒
[00:01:34.800 --> 00:01:36.600]  勸勉挑戰
[00:01:36.600 --> 00:01:38.800]  勸勉我們
[00:01:38.800 --> 00:01:40.600]  安慰我們
[00:01:40.600 --> 00:01:43.200]  也都是去督扎我們
[00:01:43.200 --> 00:01:45.000]  讓我們能夠容得下禰的話語
[00:01:45.000 --> 00:01:47.200]  在我們的生命裡面有去改變我們
[00:01:47.200 --> 00:01:49.600]  我們今天祈禱奉耶穌基督名求
[00:01:49.600 --> 00:01:50.600]  阿們
[00:01:54.000 --> 00:01:56.800]  約翰福音是一個很有趣的福音
[00:01:56.800 --> 00:01:57.800]  看來好像很淺
[00:01:57.800 --> 00:01:59.600]  其實也好像很深
[00:01:59.600 --> 00:02:00.600]  看來好像很明
[00:02:00.600 --> 00:02:02.600]  再看下去又好像很明
[00:02:02.600 --> 00:02:04.200]  其中一個最有趣的地方
[00:02:04.200 --> 00:02:06.600]  在四卷福音書裡面
[00:02:06.600 --> 00:02:09.200]  是唯有約翰福音信這個字
[00:02:09.200 --> 00:02:13.600]  用動詞寫這個信字出現了九十多次
[00:02:13.600 --> 00:02:16.600]  是遠遠比其他的福音書多很多
[00:02:16.600 --> 00:02:21.600]  我們可以說整個約翰福音的重點核心
[00:02:21.600 --> 00:02:22.800]  就是這個信字
[00:02:22.800 --> 00:02:24.800]  今天我就和大家思想這段聖經
