
[00:00:00.000 --> 00:00:08.000]  我們一起去分享上帝的說話前 我們一起低頭祈禱
[00:00:08.000 --> 00:00:12.000]  感謝愛我們的恩主
[00:00:12.000 --> 00:00:15.000]  因為祢讓我們有一個願意的心
[00:00:15.000 --> 00:00:19.000]  也給我們機會今天能夠回到祢的殿內去敬拜
[00:00:19.000 --> 00:00:23.000]  讓成年親子與我們同在 賜我們有五成
[00:00:23.000 --> 00:00:26.000]  以致我們能夠明白祢話語中的奧秘
[00:00:26.000 --> 00:00:30.000]  永遠聽的和說的都同夢祢的月立
[00:00:30.000 --> 00:00:33.000]  祈禱奉主耶穌基督的名而求 阿門
[00:00:33.000 --> 00:00:41.000]  不知道大家有沒有聽過一些親友或同事或身邊的人跟你說
[00:00:41.000 --> 00:00:43.000]  為什麼他不相信耶穌呢
[00:00:43.000 --> 00:00:45.000]  有沒有聽過
[00:00:45.000 --> 00:00:48.000]  一定有很多很多的原因
[00:00:48.000 --> 00:00:51.000]  不知道有沒有聽過一個這樣的原因
[00:00:51.000 --> 00:00:53.000]  他說做基督徒沒有什麼自由
[00:00:53.000 --> 00:00:57.000]  限制很多 又不准做這個又不准做那個
[00:00:57.000 --> 00:00:59.000]  怎樣做人呢
[00:00:59.000 --> 00:01:01.000]  有沒有聽過
[00:01:01.000 --> 00:01:03.000]  也有吧
[00:01:03.000 --> 00:01:07.000]  不過也聽過一些僱主 當然不知道現在的僱主是不是
[00:01:07.000 --> 00:01:13.000]  以前有些僱主很喜歡請基督徒做他的夥計 做他的下屬
[00:01:13.000 --> 00:01:15.000]  問他為什麼
[00:01:15.000 --> 00:01:18.000]  他說因為他們做事會賣力一點
[00:01:18.000 --> 00:01:21.000]  忠誠可靠
[00:01:23.000 --> 00:01:29.000]  因為這個以往很多人都覺得這個是基督徒的標誌
[00:01:29.000 --> 00:01:35.000]  不過我們發現這個基督徒的信譽好像越來越薄弱
[00:01:35.000 --> 00:01:37.000]  希望不是吧
[00:01:37.000 --> 00:01:43.000]  因為跟大家分享的經文就是這份所說的四章二十五節
