
[00:00:00.000 --> 00:00:02.560]  弟兄姐妹大家平安
[00:00:02.560 --> 00:00:04.520]  今天是母親節
[00:00:04.520 --> 00:00:11.540]  所以先祝福每一位母親或者將來在做母親的
[00:00:11.540 --> 00:00:13.560]  我看這裡沒有小朋友啊
[00:00:13.560 --> 00:00:15.640]  不過可能有啊
[00:00:15.640 --> 00:00:18.960]  你們節日幸福快樂
[00:00:18.960 --> 00:00:23.000]  因為是母親節
[00:00:23.000 --> 00:00:26.160]  我相信感覺上會溫暖一些
[00:00:26.160 --> 00:00:31.600]  會比普通的禮拜天充滿愛多一點
[00:00:31.600 --> 00:00:37.200]  但是我們在教會還是以神的話為中心
[00:00:37.200 --> 00:00:39.660]  所以我今天就選了一個題目
[00:00:39.660 --> 00:00:41.800]  應該是最偉大的愛
[00:00:41.800 --> 00:00:45.560]  就是主耶穌的愛
[00:00:45.560 --> 00:00:49.000]  我不知道今天大家來的時候是怎麼來
[00:00:49.000 --> 00:00:50.000]  因為下雨
[00:00:50.000 --> 00:00:51.440]  剛才主席也報告
[00:00:51.440 --> 00:00:55.160]  你們好像有戶外的活動
[00:00:55.160 --> 00:01:00.140]  下雨來教會的時候通常比天氣非常清朗
[00:01:00.140 --> 00:01:01.760]  很好的時候來教會
[00:01:01.760 --> 00:01:03.840]  有一點點不太方便
[00:01:03.840 --> 00:01:07.800]  必須要打傘用傘
[00:01:07.800 --> 00:01:10.800]  所以我也有這個不是壓力
[00:01:10.800 --> 00:01:14.040]  但是要多想一下有沒有帶傘
[00:01:14.040 --> 00:01:15.640]  但是坐車的時候
[00:01:15.640 --> 00:01:19.040]  香港一般都是坐地鐵
[00:01:19.040 --> 00:01:21.640]  不知道有多少人是沒有坐地鐵來
[00:01:21.640 --> 00:01:23.500]  如果你今天坐地鐵來
[00:01:23.500 --> 00:01:24.560]  你會像我一樣
[00:01:24.560 --> 00:01:26.640]  我進地鐵的時候我還不知道
[00:01:26.640 --> 00:01:31.240]  我出地鐵的時候會看到費用
[00:01:31.240 --> 00:01:35.560]  本來我們年紀超過60歲的人是很便宜的
[00:01:35.560 --> 00:01:37.600]  所以都不在乎費用
[00:01:37.600 --> 00:01:40.800]  今天地鐵有一個很好的優惠
[00:01:40.800 --> 00:01:43.160]  就是半價 對不對
[00:01:43.160 --> 00:01:45.560]  我看大家的面孔沒有什麼表情
[00:01:45.560 --> 00:01:48.160]  好像都跟自己沒有關係
[00:01:48.160 --> 00:01:52.500]  我想2塊錢的長者應該是沒有什麼優惠了
[00:01:52.500 --> 00:01:54.900]  我就都不想這件事情
[00:01:54.900 --> 00:02:00.640]  剛才下車的時候我就看到變成1塊錢
[00:02:00.640 --> 00:02:03.960]  我第一次這麼開心就是省了1塊錢
[00:02:03.960 --> 00:02:05.940]  哇 非常開心
[00:02:05.940 --> 00:02:08.100]  所以今天來的時候是很開心
[00:02:08.100 --> 00:02:10.860]  另外一個開心的事情
[00:02:10.860 --> 00:02:12.760]  母親節要感恩
[00:02:12.760 --> 00:02:14.300]  我們家也有一個母親
[00:02:14.300 --> 00:02:16.400]  就是我的母親
[00:02:16.400 --> 00:02:18.440]  她在台灣
[00:02:18.440 --> 00:02:20.840]  我早上當然寄一個短信
[00:02:20.840 --> 00:02:23.560]  就是母親節快樂
[00:02:23.560 --> 00:02:26.260]  然後我的愛人
[00:02:26.260 --> 00:02:27.840]  我的妻子周事母
[00:02:27.840 --> 00:02:28.600]  她也是母親
[00:02:28.600 --> 00:02:29.800]  是兩個兒子的母親
[00:02:29.800 --> 00:02:31.500]  今天她跟我一起來了
[00:02:31.500 --> 00:02:34.000]  所以我很開心在前面
[00:02:34.000 --> 00:02:37.240]  你看她還特別穿紅色的衣服
[00:02:37.240 --> 00:02:39.500]  所以可以轉過來
[00:02:39.500 --> 00:02:41.140]  我雖然不是主席
[00:02:41.140 --> 00:02:43.760]  所以瑞豐傳道請你不要介意
[00:02:43.760 --> 00:02:45.200]  還有一件開心的事情
[00:02:45.200 --> 00:02:47.500]  就是做基督徒永遠最開心的
[00:02:47.500 --> 00:02:49.600]  那就是今天來的時候
[00:02:49.600 --> 00:02:51.660]  有一位新朋友跟我們一起來
[00:02:51.660 --> 00:02:53.100]  就是坐在周事母旁邊
[00:02:53.100 --> 00:02:54.540]  她姓什麼我還不知道
[00:02:54.540 --> 00:02:55.800]  但是她有一個特點
[00:02:55.800 --> 00:02:59.460]  她今天早上6點鐘要往這邊趕路
[00:02:59.460 --> 00:03:00.760]  我相信你不介意
[00:03:00.760 --> 00:03:03.100]  我講你從哪一個地方來吧
[00:03:03.100 --> 00:03:05.100]  她從東莞來這裡
[00:03:05.100 --> 00:03:06.260]  然後來做禮拜
[00:03:06.260 --> 00:03:11.000]  所以這個是第三個非常感恩的事情
[00:03:11.000 --> 00:03:13.560]  是為了見周事母
[00:03:13.560 --> 00:03:17.440]  而周事母說剛好今天可以來這裡
[00:03:17.440 --> 00:03:19.340]  又是普通話崇拜
[00:03:19.340 --> 00:03:21.560]  剛好事母也可以跟我一起來
[00:03:21.560 --> 00:03:23.740]  所以今天早上就一起來了
[00:03:23.740 --> 00:03:25.140]  我順便多講一句
[00:03:25.140 --> 00:03:26.800]  我這裡完全沒有寫的
[00:03:26.800 --> 00:03:28.200]  就是我也沒有想的
[00:03:28.200 --> 00:03:29.900]  我現在才想到的
[00:03:29.900 --> 00:03:32.200]  我剛才看這個教會的程序表
[00:03:32.200 --> 00:03:34.800]  崇拜之後有愛宴嗎
[00:03:34.800 --> 00:03:37.400]  所以就鼓勵這位新來的弟兄
[00:03:37.400 --> 00:03:38.700]  如果你有時間的話
[00:03:38.700 --> 00:03:39.600]  留下來愛宴
[00:03:39.600 --> 00:03:42.960]  那我們就多有時間可以談談話
[00:03:42.960 --> 00:03:44.300]  求神加力量給我們
[00:03:44.300 --> 00:03:46.200]  藉著以下的神的話語
[00:03:46.200 --> 00:03:50.460]  讓我們感受聖經所教導的主耶穌的愛
[00:03:50.460 --> 00:03:55.100]  我們一起低頭做一個禱告
[00:03:55.100 --> 00:03:55.940]  親愛的主耶穌
[00:03:55.940 --> 00:03:58.060]  我們謝謝你愛我們
[00:03:58.060 --> 00:04:00.840]  藉著敬拜的祈禱
[00:04:00.840 --> 00:04:02.760]  藉著敬拜的詩歌
[00:04:02.760 --> 00:04:06.600]  藉著敬拜當中看聖經你的道理
[00:04:06.600 --> 00:04:09.960]  藉著聖靈垂聽我們所唱的
