
[00:00:00.000 --> 00:00:08.360]  在教會內有兩個禮儀是和我們的核心信仰有關
[00:00:08.360 --> 00:00:12.040]  有兩個禮儀是跟我們和師信仰有關係的
[00:00:12.040 --> 00:00:13.280]  是直接相關的
[00:00:13.280 --> 00:00:14.920]  是直接相關的
[00:00:14.920 --> 00:00:16.280]  是哪兩個禮儀呢
[00:00:16.280 --> 00:00:17.320]  是哪兩個禮儀呢 是哪兩個禮儀呢
[00:00:17.320 --> 00:00:18.320]  是哪兩個禮儀呢
[00:00:18.320 --> 00:00:19.040]  是哪兩個禮儀呢 浸禮
[00:00:19.040 --> 00:00:20.040]  是哪兩個禮儀呢 浸禮
[00:00:20.040 --> 00:00:21.200]  是哪兩個禮儀呢 浸禮
[00:00:21.200 --> 00:00:22.600]  是哪兩個禮儀呢 浸禮
[00:00:22.600 --> 00:00:23.440]  是哪兩個禮儀呢 浸禮
[00:00:23.440 --> 00:00:24.400]  是哪兩個禮儀呢 浸禮
[00:00:24.400 --> 00:00:25.160]  是哪兩個禮儀呢 浸禮
[00:00:25.160 --> 00:00:26.080]  是哪兩個禮儀呢 浸禮
[00:00:26.080 --> 00:00:30.800]  是主餐禮 今天就是主餐主日崇拜
[00:00:30.800 --> 00:00:32.880]  今天是主餐主日崇拜
[00:00:32.880 --> 00:00:36.480]  和大家分享的就是和主餐相關的訊息
[00:00:36.480 --> 00:00:41.840]  所以跟大家分享的就是主餐有相關的信息
[00:00:41.840 --> 00:00:45.960]  基督教如果作為一個廣泛的名詞
[00:00:45.960 --> 00:00:50.520]  基督教如果說一個廣泛的名詞
[00:00:50.520 --> 00:00:52.160]  可以分為東正教
[00:00:52.160 --> 00:00:53.960]  可以分為東正教
[00:00:53.960 --> 00:00:54.640]  天主教
[00:00:54.640 --> 00:00:55.720]  天主教
[00:00:55.720 --> 00:00:57.080]  和新教
[00:00:57.080 --> 00:00:58.000]  和新教
[00:00:58.000 --> 00:01:02.040]  新教就是從天主教基礎上改革出來的
[00:01:02.040 --> 00:01:07.160]  新教就是從天主教的基礎上改革出來的
[00:01:07.160 --> 00:01:09.800]  新教又叫做基督教
[00:01:09.800 --> 00:01:11.680]  新教也叫基督教
[00:01:11.680 --> 00:01:14.320]  基督教的內部發展二千年
[00:01:14.320 --> 00:01:16.880]  不斷產生很多不同的宗派
[00:01:16.880 --> 00:01:20.120]  基督教兩千多年發展
[00:01:20.120 --> 00:01:26.520]  已經發展到產生很多不同的宗派了
[00:01:26.520 --> 00:01:28.680]  大家所認識的有什麼宗派
