
[00:00:00.000 --> 00:00:03.000]  大兄姊妹、牧者平安
[00:00:03.000 --> 00:00:08.000]  很感謝神今天能夠在這裡跟大家分享神的說話
[00:00:08.000 --> 00:00:11.000]  讓我們先將以下的時間交託給神
[00:00:11.000 --> 00:00:15.000]  我們一起的禱告
[00:00:15.000 --> 00:00:18.000]  親愛的天父、愛我們的上帝
[00:00:18.000 --> 00:00:21.000]  感謝你願意做我們的神
[00:00:21.000 --> 00:00:24.000]  做我們生命的主
[00:00:24.000 --> 00:00:26.000]  感謝你的說話
[00:00:26.000 --> 00:00:30.000]  不僅是我們腳前的燈、路上的光
[00:00:30.000 --> 00:00:34.000]  你的話語更是我們生命的糧食
[00:00:34.000 --> 00:00:38.000]  指引我們怎樣能夠去做智慧的抉擇
[00:00:38.000 --> 00:00:40.000]  活在你的旨意裡面
[00:00:40.000 --> 00:00:43.000]  我們恭敬將以下的時間交託
[00:00:43.000 --> 00:00:45.000]  求你幫助我們
[00:00:45.000 --> 00:00:49.000]  叫全港的或者聆聽的人
[00:00:49.000 --> 00:00:51.000]  我們都因為有你的話語
[00:00:51.000 --> 00:00:54.000]  而得著你給我們一切的福氣
[00:00:54.000 --> 00:00:56.000]  讓我們的生命都會成長
[00:00:56.000 --> 00:00:59.000]  我們這樣的禱告、祈求、交託
[00:00:59.000 --> 00:01:01.000]  奉靠主耶穌基督的名
[00:01:01.000 --> 00:01:03.000]  阿們
[00:01:03.000 --> 00:01:11.000]  不知道你們的家裡有沒有一些家傳之寶呢?
[00:01:11.000 --> 00:01:13.000]  上一代傳下來給你
[00:01:13.000 --> 00:01:17.000]  你有打算傳下去給你的後代
[00:01:17.000 --> 00:01:20.000]  記得我去年娶媳婦的時候
[00:01:20.000 --> 00:01:25.000]  我就想過不如送一份首飾給她
[00:01:25.000 --> 00:01:27.000]  作為紀念
[00:01:27.000 --> 00:01:30.000]  她將來可以送給她的子女
[00:01:30.000 --> 00:01:32.000]  一代傳一代
