
[00:00:00.000 --> 00:00:07.500]  主持人:好,我們繼續看菲律賓書第二章第三和第四節的經文。
[00:00:07.500 --> 00:00:14.000]  其實一至四節都是講到教會和諧合一。
[00:00:14.000 --> 00:00:19.500]  教會和諧合一,姆羅在這四節聖經裡面分開兩部分。
[00:00:19.500 --> 00:00:27.500]  第一第二節講到教會整體,我們要和諧合一,整體我們的責任是什麼呢?
[00:00:27.500 --> 00:00:29.500]  我們要怎樣追求呢?
[00:00:29.500 --> 00:00:33.500]  然後今天這兩節經文是講到個人的責任,
[00:00:33.500 --> 00:00:38.000]  然後整體的責任,保羅是講到個人的責任。
[00:00:38.000 --> 00:00:45.500]  我們也可以從另外一個角度來講到這兩節經文是講到個人的責任的時候,
[00:00:45.500 --> 00:00:53.500]  也是我們處事為人的兩個很基本的原則,一個消極的,一個積極的。
[00:00:53.500 --> 00:00:57.000]  請聽我讀這兩節經文。
[00:00:57.000 --> 00:01:00.000]  菲律賓書第二章第三節說:
[00:01:00.000 --> 00:01:10.000]  凡事不可結黨,不可貪圖虛浮的榮耀,只要存心謙卑,各人看別人比自己強。
[00:01:10.000 --> 00:01:18.000]  第四節說:各人不要單顧自己的事,也要顧別人的事。
[00:01:18.000 --> 00:01:28.000]  如果我們分析這兩節經文的時候,我們會發現第一句:
[00:01:28.000 --> 00:01:37.000]  凡事不可結黨,不可貪圖虛浮的榮耀,是講到我們不要做一個自私自利的人。
[00:01:37.000 --> 00:01:47.000]  這個結黨可以翻譯做自私自利,新的譯本多數都是翻譯做自私自利。
[00:01:47.000 --> 00:01:57.000]  凡事不要在心思,在行動上做一個自私自利的人。
[00:01:57.000 --> 00:02:00.000]  為什麼我們會自私自利呢?
[00:02:00.000 --> 00:02:06.000]  指為是因為我們貪圖虛浮的榮耀。
[00:02:06.000 --> 00:02:10.000]  這是第一句,第二句的意思是:
[00:02:10.000 --> 00:02:13.000]  消極我們要避免做一個自私自利的人。
[00:02:13.000 --> 00:02:20.000]  第二個做人的原則也是教會和諧合一的基礎,
[00:02:20.000 --> 00:02:29.000]  就是只要存心謙卑,就是追求積極的,追求謙卑的人。
[00:02:29.000 --> 00:02:35.000]  怎樣謙卑呢?這裡提到兩樣東西,我們操練自己,以至我們能夠謙卑的。
[00:02:35.000 --> 00:02:40.000]  第一就是各人看別人比自己強。
[00:02:40.000 --> 00:02:49.000]  如果我們能夠看別人比自己強的時候,我們就不會自高自大,我們會謙卑。
[00:02:49.000 --> 00:02:56.000]  第二就是第四節,各人不要單顧自己的事,也要顧別人的事。
[00:02:56.000 --> 00:03:05.000]  一個謙卑的人,他不會只是顧自己的需要,他也會顧念別人的需要。
[00:03:05.000 --> 00:03:14.000]  大概這是兩個主題,一個是消極的,我們不要做一個自私自利的人。
[00:03:14.000 --> 00:03:19.000]  第二個是積極的,我們要存心謙卑。
[00:03:19.000 --> 00:03:28.000]  我們來看這兩節經文,從處事為人的角度來看。
[00:03:28.000 --> 00:03:42.000]  凡事不可結黨,我們剛才說過,很多新的譯本都譯作「不要自私自利」,有這樣的意思。
[00:03:42.000 --> 00:03:51.000]  其實自私自利是人的本性,人的罪性,我們生出來就是自私自利的,
[00:03:51.000 --> 00:03:56.000]  都是想到自己那種需要,都是尋求自己的利益的。
[00:03:56.000 --> 00:04:09.000]  我們留意到在原文,整篇是希列文寫的,原文是沒有動詞的,在句法上是沒有動詞的。
[00:04:09.000 --> 00:04:14.000]  沒有動詞的意思就是說完全、絕對的。
[00:04:14.000 --> 00:04:23.000]  所以這裡就說到凡事不可結黨,在一切我們所做的事情上,
