
[00:00:00.000 --> 00:00:05.000]  各位「恩全堂」和「恩全浸信會」的弟兄姊妹,平安!
[00:00:05.000 --> 00:00:08.000]  在講道之前,請大家和我一起同心祈禱!
[00:00:08.000 --> 00:00:18.000]  感謝主祢現在給我們有機會,有這個福分,可以自由地翻開你的說話,
[00:00:18.000 --> 00:00:23.000]  透過聆聽,透過學習,透過信服,親近去敬拜你!
[00:00:23.000 --> 00:00:29.000]  願神你的靈臨隔到我們當中,你賜給我們天上的亮光!
[00:00:29.000 --> 00:00:35.000]  讓我們能夠明白轉你的話語,讓我們內心你convict我們,感動我們!
[00:00:35.000 --> 00:00:41.000]  讓我們可以信服你自己的說話!保守你軟弱的僕人!
[00:00:41.000 --> 00:00:46.000]  讓我能夠有這個恩典力量,能夠講完這堂道!
[00:00:46.000 --> 00:00:50.000]  多謝你!奉耶穌基督的名祈禱!阿們!
[00:00:57.000 --> 00:01:01.000]  我相信大家都對使徒保羅非常認識!
[00:01:01.000 --> 00:01:05.000]  從這個教會的歷史裡,發展的歷史裡,
[00:01:05.000 --> 00:01:10.000]  我相信使徒保羅是整個發展史當中,其中最重要的人物!
[00:01:10.000 --> 00:01:15.000]  他是神一個極大重用的僕人!
[00:01:15.000 --> 00:01:21.000]  在《新約聖經》裡有27卷書,有13卷書,諸信律都是保羅所寫的!
[00:01:21.000 --> 00:01:24.000]  所以你看他影響是何等的深厚!
[00:01:24.000 --> 00:01:29.000]  神那麼重用保羅的一生,在他這個照命人生當中,
[00:01:29.000 --> 00:01:33.000]  其實他也經歷過不少的逼迫和困難!
[00:01:33.000 --> 00:01:38.000]  你看他在哥林多前書裡,他如何如數家珍地講到,
[00:01:38.000 --> 00:01:42.000]  哥林多後書,講到他自己本身的經歷!
[00:01:42.000 --> 00:01:47.000]  臨後11章23節到28節,請大家留心聽我讀!
[00:01:47.000 --> 00:01:53.000]  保羅說:「我給他們(使徒)多受勞苦,
[00:01:53.000 --> 00:01:59.000]  多下監牢,受鞭打是過重的,冒死的是屢次有的,
[00:01:59.000 --> 00:02:03.000]  被猶太人鞭打五次,每次四十下,減去一下,
[00:02:03.000 --> 00:02:08.000]  被棍打了三次,被石頭打了一次,遇到船壞三次,
[00:02:08.000 --> 00:02:14.000]  一晝一夜在深海漂流,又屢次行遠路,遭江河的危險,
[00:02:14.000 --> 00:02:18.000]  盜賊的危險,同族的危險,外邦人的危險,城裡的危險,
[00:02:18.000 --> 00:02:23.000]  曠野的危險,海中的危險,賈帝興的危險,受勞碌,
[00:02:23.000 --> 00:02:28.000]  受困苦,多次不得睡,又飢又渴,多次不得食,
[00:02:28.000 --> 00:02:32.000]  受寒冷,赤身露體,除了在外面的事,
[00:02:32.000 --> 00:02:38.000]  還有為宗教會掛心的事,天天壓在我身上。」
[00:02:38.000 --> 00:02:42.000]  頂尖你看到,我相信我們在座沒有任何一個人的人生
[00:02:42.000 --> 00:02:46.000]  是比保羅更坎坷,他有一個很坎坷的人生,
[00:02:46.000 --> 00:02:50.000]  他甚至很大大使用他,但是他的人生非常坎坷,
[00:02:50.000 --> 00:02:53.000]  受很多很多的逼迫,很多很多的困難。
[00:02:53.000 --> 00:02:56.000]  但是大家有沒有留意,剛才我們讀的聖經,
[00:02:56.000 --> 00:03:03.000]  即是臨後第四章第七節到第十八節,
[00:03:03.000 --> 00:03:08.000]  一段很長的聖經,但是當中有一句說話,
[00:03:08.000 --> 00:03:15.000]  好像保羅站在一個屬靈高台上面,然後豪邁地向世界宣告,
[00:03:15.000 --> 00:03:20.000]  沒錯,我伏視神,神呼召我伏視神,我一生伏視神,
[00:03:20.000 --> 00:03:25.000]  我的外體一天一天的毀壞,但是我不喪膽,
[00:03:25.000 --> 00:03:28.000]  因為我內心一天更新過一天。
[00:03:28.000 --> 00:03:31.000]  這個宣告真是,我們大家都很羨慕。
[00:03:31.000 --> 00:03:35.000]  我們伏視神的人,我們都知道,我們要付時間,
[00:03:35.000 --> 00:03:38.000]  付金錢,付代價,我們的精力,我們的體力等等,
[00:03:38.000 --> 00:03:42.000]  甚至我們年紀漸漸長大的時候,都會有這樣的情況,
[00:03:42.000 --> 00:03:45.000]  好像氣力不低等等,尤其是我們這樣的年齡,
[00:03:45.000 --> 00:03:50.000]  很容易體驗得到,我唱歌都不敢站起來,要坐在這裡。
[00:03:50.000 --> 00:03:54.000]  我相信大家都會感覺到這件事,我們何等羨慕保羅,
[00:03:54.000 --> 00:03:59.000]  他能夠這樣來宣告,沒錯,外表看我是這樣,
[00:03:59.000 --> 00:04:03.000]  但是我內心一天更新過一天,我的鬥志是仍然這麼強,
[00:04:03.000 --> 00:04:07.000]  我伏視神的心志仍然是這麼堅定。
[00:04:07.000 --> 00:04:10.000]  他宣告這句說話,不是隨口說的,
[00:04:10.000 --> 00:04:14.000]  不是阿Q清晨自己安慰自己,
[00:04:14.000 --> 00:04:19.000]  十六節這句這麼值得大家羨慕的說話,
[00:04:19.000 --> 00:04:22.000]  有八大理由去支持他說,
[00:04:22.000 --> 00:04:26.000]  意思就是好像他站在這個屬靈高台上,向世界宣告的時候,
[00:04:26.000 --> 00:04:31.000]  這個屬靈高台原來有兩條柱頂,非常牢固,撐起這個高台,
[00:04:31.000 --> 00:04:35.000]  每一邊柱頂有四個原因,一個有八個原因,
[00:04:35.000 --> 00:04:40.000]  把這個高台撐得穩穩陣陣,你看十六節,十七節你看到,
[00:04:40.000 --> 00:04:45.000]  究竟那個是什麼一回事,十六、十七節那裡,你看看,
[00:04:45.000 --> 00:04:49.000]  這個保羅不喪膽,原來是第十六節,
[00:04:49.000 --> 00:04:53.000]  他說所以我們不喪膽,
[00:04:53.000 --> 00:04:56.000]  這一節開始的時候說所以,所以我不喪膽,
[00:04:56.000 --> 00:05:00.000]  那他為什麼會喪膽呢?前面所說的,明白嗎?
[00:05:00.000 --> 00:05:04.000]  由第七節到第十五節,他那裡有四個原因,
[00:05:04.000 --> 00:05:09.000]  令到保羅說所以我不喪膽,外體毀壞,
[00:05:09.000 --> 00:05:13.000]  但是內心一見更新有一頓,接著十七節,
[00:05:13.000 --> 00:05:18.000]  我們聖經裡面看,開始的時候是我們者至暫至輕的苦楚,
[00:05:18.000 --> 00:05:22.000]  但其實看完文聖經的時候,希臘文裡面,十七節開始的時候有個加這個字,
[00:05:22.000 --> 00:05:29.000]  即是說什麼呢?Because,因為,十六節說我們不喪膽,看到嗎?
[00:05:29.000 --> 00:05:34.000]  十七節呢?因為,十七、十八節,
[00:05:34.000 --> 00:05:39.000]  十七、十八節也說了四個原因保羅是不喪膽,
[00:05:39.000 --> 00:05:43.000]  所以今早我用少許時間去看這八大愚蠢,
[00:05:43.000 --> 00:05:47.000]  我們希望能夠學習保羅一樣,在我們的照面人生裡面,
[00:05:47.000 --> 00:05:51.000]  我們服侍主,我們參與侍奉等等,
[00:05:51.000 --> 00:05:53.000]  我們的體力各方面會消耗,
[00:05:53.000 --> 00:05:56.000]  好像外體一天比一天的毀壞,
[00:05:56.000 --> 00:05:59.000]  我們的內心,這個鬥志,一天更新過一天,
[00:05:59.000 --> 00:06:04.000]  我們看第一個原因,為什麼保羅他會不喪膽,
[00:06:04.000 --> 00:06:08.000]  在第四章的,當然是第七節開始了,
[00:06:08.000 --> 00:06:12.000]  他這樣說,我們有者寶貝放在瓦器裡,
[00:06:12.000 --> 00:06:17.000]  要顯明這莫大的能力是出於神,不是出於我們,
[00:06:17.000 --> 00:06:24.000]  第十節說,身上帶著耶穌的死,使耶穌的生都顯明在我們身上,
[00:06:24.000 --> 00:06:26.000]  你看,什麼意思呢?
[00:06:26.000 --> 00:06:31.000]  他說我們是瓦器,我們的生命本身是瓦器,
[00:06:31.000 --> 00:06:35.000]  表示脆弱軟弱,容易毀壞的,但是不要緊,
[00:06:35.000 --> 00:06:38.000]  我們雖然表面是瓦器,但是我們裡面有個勁的,
[00:06:38.000 --> 00:06:42.000]  裡面有個寶貝在,所以人家看到我們的時候,
[00:06:42.000 --> 00:06:45.000]  這個瓦器,但不是,這個瓦器在服侍神的時候,
[00:06:45.000 --> 00:06:49.000]  在參與的時候,說他裡面的寶貝就發揮出他的能力,
[00:06:49.000 --> 00:06:52.000]  讓人看到的時候知道,這個不是那個瓦器的能力,
