
[00:00:00.000 --> 00:00:03.180]  《羅馬書》第25講
[00:00:03.180 --> 00:00:06.880]  《羅馬書》第9章14至33節
[00:00:06.880 --> 00:00:08.920]  剛才我們讀了經文
[00:00:08.920 --> 00:00:11.240]  是比較長的經文
[00:00:11.240 --> 00:00:12.680]  我們去到一個部分
[00:00:12.680 --> 00:00:15.560]  就是《羅馬書》第9章至11章
[00:00:15.560 --> 00:00:17.760]  是很重要的經文
[00:00:17.760 --> 00:00:19.840]  《羅馬書》第9章
[00:00:19.840 --> 00:00:23.040]  是講述以色列人被神放在一旁
[00:00:23.040 --> 00:00:25.800]  暫時不再是神的子民
[00:00:25.800 --> 00:00:26.920]  為什麼?
[00:00:26.920 --> 00:00:28.940]  因為是神的主權
[00:00:28.940 --> 00:00:31.560]  今天要講述神的主權
[00:00:31.560 --> 00:00:33.160]  但是第10章
[00:00:33.160 --> 00:00:36.760]  又是講述以色列人被神放在一旁
[00:00:36.760 --> 00:00:38.760]  暫時不是神的子民
[00:00:38.760 --> 00:00:40.760]  但是這次是講述什麼?
[00:00:40.760 --> 00:00:42.920]  是以色列人的責任
[00:00:42.920 --> 00:00:44.520]  是因為他們的不信
[00:00:44.520 --> 00:00:46.920]  所以神將他們放在一旁
[00:00:46.920 --> 00:00:50.240]  有沒有看到神的主權和人的責任
[00:00:50.240 --> 00:00:53.400]  永遠在聖經裡面是相輔相成
[00:00:53.400 --> 00:00:55.840]  第9章是神的主權
[00:00:55.840 --> 00:00:58.800]  第10章就是以色列人的責任
[00:00:58.800 --> 00:01:00.520]  然後到第11章
[00:01:00.520 --> 00:01:03.000]  神沒有放棄到以色列人
[00:01:03.000 --> 00:01:07.120]  以色列人仍然會歸回成為神的子民
[00:01:07.120 --> 00:01:11.080]  這就是《羅馬書》第9章至11章
[00:01:11.080 --> 00:01:15.080]  所以今天第9章是講述神的主權
[00:01:15.080 --> 00:01:16.320]  今天的題目
[00:01:16.320 --> 00:01:19.520]  就是神要恩待誰就恩待誰
[00:01:19.520 --> 00:01:22.880]  神要憐憫誰就憐憫誰
[00:01:22.880 --> 00:01:24.880]  我們說
[00:01:24.880 --> 00:01:28.240]  以色列人最後都會歸向神
[00:01:28.240 --> 00:01:30.800]  不單止是個人的立場
[00:01:30.800 --> 00:01:32.320]  這個很重要
[00:01:32.320 --> 00:01:34.600]  很多人都會說
[00:01:34.600 --> 00:01:36.280]  以色列人是會得救
[00:01:36.280 --> 00:01:39.920]  只不過是個人立場加入教會
[00:01:39.920 --> 00:01:41.160]  不是的
[00:01:41.160 --> 00:01:42.800]  聖經告訴我們
[00:01:42.800 --> 00:01:47.200]  整個民族都會歸回神
[00:01:47.200 --> 00:01:52.000]  最後全以色列都會接受神歸向神
[00:01:52.000 --> 00:01:53.920]  這個是民族立場
[00:01:53.920 --> 00:01:55.440]  是國的立場
[00:01:55.440 --> 00:01:57.280]  我都和大家講過
[00:01:57.280 --> 00:02:00.640]  地的嬰許還未完全實現
[00:02:00.640 --> 00:02:03.040]  如果你看地的嬰許的話
[00:02:03.040 --> 00:02:06.080]  神嬰許阿伯拉罕的土地
[00:02:06.080 --> 00:02:10.880]  是遠遠超過大衛甚至所羅門的版圖
[00:02:10.880 --> 00:02:16.680]  在地上真正的王朝亦都未完全實現
[00:02:16.680 --> 00:02:18.000]  所以如果你說
[00:02:18.000 --> 00:02:21.800]  只不過是個人立場加入教會的話
[00:02:21.800 --> 00:02:24.280]  神的嬰許就完全落空
[00:02:24.280 --> 00:02:26.680]  聖經不是這樣說
[00:02:26.680 --> 00:02:29.880]  全以色列最後都會得救
[00:02:29.880 --> 00:02:33.560]  神給以色列人地的嬰許和國的嬰許
[00:02:33.560 --> 00:02:35.240]  不會落空
[00:02:35.240 --> 00:02:39.040]  第九章的大綱可以分為四個部份
[00:02:39.040 --> 00:02:41.600]  上一次我已經和大家講過
[00:02:41.600 --> 00:02:43.440]  神的嬰許有沒有落空
[00:02:43.440 --> 00:02:45.640]  因為以色列人不相信
[00:02:45.640 --> 00:02:47.800]  沒有落空
[00:02:47.800 --> 00:02:52.760]  神從來不是說打算所有以色列人都得救
[00:02:52.760 --> 00:02:54.600]  但是在每一個時期
[00:02:54.600 --> 00:02:55.880]  在歷史當中
[00:02:55.880 --> 00:02:59.760]  都會有愚民會相信
[00:02:59.760 --> 00:03:02.000]  還有第二點
[00:03:02.000 --> 00:03:04.760]  就是神揀選以色列人
[00:03:04.760 --> 00:03:06.960]  現在又將他們放在一旁
[00:03:06.960 --> 00:03:10.120]  現在又說揀選外邦人
[00:03:10.120 --> 00:03:13.760]  揀選教會來完成以色列人的工作
[00:03:13.760 --> 00:03:15.840]  喂!神是不是不公平?
[00:03:15.840 --> 00:03:18.320]  揀選人不喜歡就揀這個
[00:03:18.320 --> 00:03:20.400]  不喜歡就不揀那個
[00:03:20.400 --> 00:03:22.080]  保羅說不是
[00:03:22.080 --> 00:03:24.800]  神絕對是公平
[00:03:24.800 --> 00:03:26.400]  還有第三點
[00:03:26.400 --> 00:03:29.720]  先知話語有沒有落空
[00:03:29.720 --> 00:03:32.160]  這個就是我剛才所講
[00:03:32.160 --> 00:03:35.640]  不單止神揀選以色列人
[00:03:35.640 --> 00:03:38.880]  是個人立場來救贖他們
[00:03:38.880 --> 00:03:42.200]  而是在民族、在國的立場
[00:03:42.200 --> 00:03:44.840]  這個嬰許都不會落空
[00:03:44.840 --> 00:03:48.640]  所以在世上會有一千年的國度
[00:03:48.640 --> 00:03:52.880]  是來實現神給以色列人的嬰許
[00:03:52.880 --> 00:03:54.360]  地的嬰許
[00:03:54.360 --> 00:03:57.040]  以及民族國的嬰許
[00:03:57.040 --> 00:04:00.520]  不單止是以色列人個人得救
[00:04:00.520 --> 00:04:01.960]  然後最後
[00:04:01.960 --> 00:04:04.400]  神的揀選有沒有落空?
[00:04:04.400 --> 00:04:06.040]  沒有落空
[00:04:06.040 --> 00:04:07.880]  這個就是我所講
[00:04:07.880 --> 00:04:09.400]  總括來講
[00:04:09.400 --> 00:04:11.560]  神的揀選
[00:04:11.560 --> 00:04:13.320]  以色列人也好
[00:04:13.320 --> 00:04:14.680]  教會也好
[00:04:14.680 --> 00:04:17.080]  絕對是不會落空
[00:04:17.080 --> 00:04:19.440]  今天要講的部分
[00:04:19.440 --> 00:04:22.200]  是不容易明白的部分
[00:04:22.200 --> 00:04:23.480]  因為為什麼?
[00:04:23.480 --> 00:04:25.760]  是講到神的屬性
[00:04:25.760 --> 00:04:27.760]  我們的人是有限
[00:04:27.760 --> 00:04:30.560]  我們不能夠明白很多東西
[00:04:30.560 --> 00:04:32.520]  尤其是神的屬性
[00:04:32.520 --> 00:04:35.600]  我們做人怎麼能夠明白一切呢?
[00:04:35.600 --> 00:04:37.800]  這個也是彼得
[00:04:37.800 --> 00:04:40.000]  他在彼得後書說
[00:04:40.000 --> 00:04:43.880]  保羅的教導有很多不是那麼容易明白
