
[00:00:00.000 --> 00:00:02.320]  今天見到一家大小,開唔開心呀?
[00:00:02.320 --> 00:00:03.840]  開心喎
[00:00:03.840 --> 00:00:07.360]  2016年通常過新年嘅時候
[00:00:07.360 --> 00:00:10.240]  我哋話要送舊迎新吖嘛
[00:00:10.240 --> 00:00:12.240]  咁於是乎我諗啦
[00:00:12.240 --> 00:00:14.240]  送舊
[00:00:14.240 --> 00:00:17.760]  有啲乜嘢係2015年你想送走嘅呢?
[00:00:17.760 --> 00:00:20.720]  迎新有啲咩係想新嘅呢?
[00:00:20.720 --> 00:00:24.160]  咁未諗送舊,未諗迎新之前
[00:00:24.160 --> 00:00:26.160]  先問一個問題
[00:00:26.160 --> 00:00:30.160]  2015年你過得開心呀?
[00:00:30.160 --> 00:00:32.160]  過得開心嘅可唔可以舉手呀?
[00:00:32.160 --> 00:00:36.160]  嘩,大部分人都過得開心喎
[00:00:36.160 --> 00:00:38.160]  咁再問一樣嘢
[00:00:38.160 --> 00:00:42.160]  2015年香港人過得開心呀?
[00:00:42.160 --> 00:00:46.160]  舉手,你覺得香港人過得開心嘅?
[00:00:46.160 --> 00:00:50.160]  你笑咗,你冇乜人舉手嘅?
[00:00:50.160 --> 00:00:53.520]  咁都好有因點喎
[00:00:53.520 --> 00:00:56.960]  當香港人過得唔開心嘅時候
[00:00:56.960 --> 00:00:58.960]  你過得開心
[00:00:58.960 --> 00:01:02.240]  咁一個好明顯有神的因點喺裏面
[00:01:02.240 --> 00:01:03.760]  咁我想問啦
[00:01:03.760 --> 00:01:05.760]  問一條問題你唔需要答我嘅
[00:01:05.760 --> 00:01:07.760]  你同你隔離個人講
[00:01:07.760 --> 00:01:11.040]  當送舊迎新嘅時候
[00:01:11.040 --> 00:01:13.360]  面對香港社會嘅需要
[00:01:13.360 --> 00:01:15.360]  面對香港社會嘅現狀
[00:01:15.360 --> 00:01:18.160]  送舊你想送走啲乜嘢?
[00:01:18.160 --> 00:01:20.960]  你想送走啲乜嘢?
[00:01:20.960 --> 00:01:25.440]  你同隔離講得㗎,你唔好同我講
[00:01:25.440 --> 00:01:40.800]  大家都有啲嘢想送走啦,知唔知證明
[00:01:40.800 --> 00:01:43.200]  咁你想迎新,你想迎見啲乜嘢?
[00:01:43.200 --> 00:01:46.720]  或者你想見到啲乜嘢?
[00:01:46.720 --> 00:01:48.320]  你想見到啲乜嘢?新嘅
[00:01:48.320 --> 00:01:50.320]  話俾隔離個人聽,你想見到啲乜嘢?
[00:01:50.320 --> 00:01:52.320]  香港社會
[00:01:52.320 --> 00:02:06.560]  上個禮拜我哋慶祝聖誕節
[00:02:06.560 --> 00:02:08.880]  紀念主耶穌道成肉身
[00:02:08.880 --> 00:02:10.560]  嚟到呢個世界
[00:02:10.560 --> 00:02:12.960]  但係同樣喺教會嘅節慶裏面
[00:02:12.960 --> 00:02:15.360]  聖誕節唔係單單慶祝
[00:02:15.360 --> 00:02:18.400]  主耶穌道成肉身嚟到呢個世界
[00:02:18.400 --> 00:02:20.960]  亦都同時間係仰望
[00:02:20.960 --> 00:02:26.320]  盼望緊主耶穌基督再返嚟
[00:02:26.320 --> 00:02:30.960]  因為主耶穌佢嚟到係要建立上帝嘅國度
[00:02:30.960 --> 00:02:33.280]  呢個係一個咩嘅國度呢?
[00:02:33.280 --> 00:02:36.320]  我哋今日睇詩篇72篇
[00:02:36.320 --> 00:02:39.920]  有聖經嘅就翻開你嘅聖經
[00:02:39.920 --> 00:02:43.280]  無聖經嘅就睇投影
[00:02:43.280 --> 00:02:45.920]  不過有聖經嘅我都鼓勵你翻開聖經
[00:02:45.920 --> 00:02:49.920]  因為攞住本聖經睇多啲聖經
[00:02:49.920 --> 00:02:51.760]  係一件美事
[00:02:51.760 --> 00:02:54.240]  我哋今日會睇詩篇72篇
[00:02:54.240 --> 00:02:59.840]  第一到第七節同埋十一到十四節
[00:02:59.840 --> 00:03:02.560]  詩篇72篇係一篇咩嘅詩篇呢?
[00:03:02.560 --> 00:03:05.600]  其實係一篇祈禱文
[00:03:05.600 --> 00:03:08.320]  係所羅門魂登基嘅時候
[00:03:08.320 --> 00:03:13.840]  佢嘅父親大衛王為佢祈禱嘅一篇詩篇
[00:03:13.840 --> 00:03:17.200]  呢篇嘅祈禱就係按住神嘅心意
[00:03:17.200 --> 00:03:21.760]  佢祈求佢盼望佢嘅兒子所羅門王
[00:03:21.760 --> 00:03:23.680]  佢作以色列嘅王嘅時候
[00:03:23.680 --> 00:03:28.160]  呢個王國嘅情況要如何?
[00:03:28.160 --> 00:03:31.040]  大家睇返以色列嘅歷史你會知道
[00:03:31.040 --> 00:03:33.680]  所羅門王作以色列王嘅時候
[00:03:33.680 --> 00:03:38.320]  係以色列最得榮耀嘅一個階段
