
[00:00:00.000 --> 00:00:02.540]  讓我們進入經文之前一起禱告好嗎
[00:00:02.540 --> 00:00:07.700]  親愛的主多謝祢
[00:00:07.700 --> 00:00:09.040]  藉著祢的降生
[00:00:09.040 --> 00:00:12.700]  我們人傳人類的罪的問題
[00:00:12.700 --> 00:00:14.200]  主讓祢幫助我們
[00:00:14.200 --> 00:00:15.600]  祢拯救我們
[00:00:15.600 --> 00:00:16.800]  主求祢幫助我們
[00:00:16.800 --> 00:00:18.800]  今日我們除了歡慶
[00:00:18.800 --> 00:00:20.000]  我們會有聚餐
[00:00:20.000 --> 00:00:21.400]  我們會有抽獎
[00:00:21.400 --> 00:00:23.200]  我們會有聯誼的時間
[00:00:23.200 --> 00:00:24.500]  但我們都不忘
[00:00:24.500 --> 00:00:27.300]  我們的心裏面都對準祢幫助我們
[00:00:27.300 --> 00:00:29.300]  求祢都打開我們的心
[00:00:29.300 --> 00:00:32.400]  讓今日的訊息能夠檢視我們自己的生命
[00:00:32.400 --> 00:00:34.300]  檢視我們敬拜祢的生命
[00:00:34.300 --> 00:00:35.300]  幫助我們
[00:00:35.300 --> 00:00:36.300]  我們有什麼祈禱
[00:00:36.300 --> 00:00:37.300]  奉耶穌名禱
[00:00:37.300 --> 00:00:38.600]  阿們
[00:00:38.600 --> 00:00:40.900]  在經文之前
[00:00:40.900 --> 00:00:42.300]  我真的很想問大家
[00:00:42.300 --> 00:00:47.100]  每一次你進入教會來敬拜的時候
[00:00:47.100 --> 00:00:51.500]  你的心情和你的態度是怎樣的呢
[00:00:51.500 --> 00:00:55.700]  每一次你回來教會尋求主耶穌的時候
[00:00:55.700 --> 00:00:59.400]  你的心情和你的態度是怎樣的呢
[00:00:59.400 --> 00:01:01.300]  今日我們都看了一段經文
[00:01:01.300 --> 00:01:03.200]  記述了兩班人
[00:01:03.200 --> 00:01:05.500]  其實都是來尋找主耶穌
[00:01:05.500 --> 00:01:07.300]  但經文告訴我們
[00:01:07.300 --> 00:01:10.200]  原來用不同的態度來尋找主耶穌
[00:01:10.200 --> 00:01:12.000]  帶來不同的結果
[00:01:12.000 --> 00:01:15.400]  我們今日會用一個人物比較的方式
[00:01:15.400 --> 00:01:20.200]  讓大家清楚了解他們每一個人的背景
[00:01:20.200 --> 00:01:23.400]  讓我們更加了解到他們的心態
[00:01:23.400 --> 00:01:27.300]  和他們不同的結果
[00:01:27.300 --> 00:01:29.500]  我們先了解一下他們的背景
[00:01:29.500 --> 00:01:31.000]  我們看到
[00:01:31.000 --> 00:01:33.300]  《馬太福音》二章一至三節
[00:01:33.300 --> 00:01:35.200]  我們看到當希律王的時候
[00:01:35.200 --> 00:01:37.800]  主耶穌要降生在伯利恆
[00:01:37.800 --> 00:01:42.300]  第一班要尋找主耶穌的就是博士
[00:01:42.300 --> 00:01:45.400]  我們經常以為博士就是三個博士
[00:01:45.400 --> 00:01:47.000]  經常說三博士三博士
[00:01:47.000 --> 00:01:50.200]  其實沒有一段經文說是三個博士
[00:01:50.200 --> 00:01:54.200]  可能是我們從他帶來的禮物
[00:01:54.200 --> 00:01:56.200]  有三份禮物
[00:01:56.200 --> 00:01:58.600]  所以我們覺得他當然有三個人
[00:01:58.600 --> 00:01:59.600]  其實不是的
[00:01:59.600 --> 00:02:01.100]  是幾個博士
[00:02:01.100 --> 00:02:02.500]  記住了
[00:02:02.500 --> 00:02:04.100]  以後都說是幾個博士
[00:02:04.100 --> 00:02:06.600]  來尋求主耶穌
[00:02:06.600 --> 00:02:09.600]  博士是什麼人呢?
[00:02:09.600 --> 00:02:14.800]  原來博士的原文是一個波斯文
[00:02:14.800 --> 00:02:17.600]  其實他是來自波斯的一些學者
[00:02:17.600 --> 00:02:20.800]  從他能夠懂得去觀察一些星象
[00:02:20.800 --> 00:02:24.800]  我們知道其實他是一些波斯的占星家
[00:02:24.800 --> 00:02:26.800]  為什麼他們這麼遠來呢?
[00:02:26.800 --> 00:02:31.800]  其實他們是發現了一個天文學的現象
[00:02:31.800 --> 00:02:33.800]  還有他為什麼會知道
[00:02:33.800 --> 00:02:37.600]  有一位猶太人的王要來降生呢?
[00:02:37.600 --> 00:02:41.000]  其實原來猶太人的經典
[00:02:41.000 --> 00:02:43.000]  就是今天我們的舊約
[00:02:43.000 --> 00:02:45.200]  其實一早已經預言了
[00:02:45.200 --> 00:02:49.400]  有一個以色列民族從大衛家裡面的後裔
[00:02:49.400 --> 00:02:51.200]  要成為救主
[00:02:51.200 --> 00:02:53.800]  所以其實我們翻查一些歷史
[00:02:53.800 --> 00:02:56.600]  我們知道其實猶太人
[00:02:56.600 --> 00:02:58.400]  曾經有一段秘魯的時間
[00:02:58.400 --> 00:02:59.800]  他們去到波斯的時候
[00:02:59.800 --> 00:03:02.200]  其實這班秘魯的人
[00:03:02.200 --> 00:03:04.000]  他們都會帶著他們的經典
[00:03:04.000 --> 00:03:05.400]  來到波斯的地方
[00:03:05.400 --> 00:03:07.200]  可能會進行一些交流
[00:03:07.200 --> 00:03:10.200]  或者那時候波斯的一些學者
[00:03:10.200 --> 00:03:13.800]  會和這些猶太人有一些交流
[00:03:13.800 --> 00:03:15.200]  所以他們從中就知道
[00:03:15.200 --> 00:03:17.800]  有一個猶太人的王
[00:03:17.800 --> 00:03:21.600]  要來降生在以色列地
[00:03:21.600 --> 00:03:25.200]  所以其實這些預言會是怎樣呢?
[00:03:25.200 --> 00:03:29.200]  文素記二十四章十七至十九節說
[00:03:29.200 --> 00:03:31.600]  有星要出於瓦國
[00:03:31.600 --> 00:03:34.200]  有象要興於以色列
[00:03:34.200 --> 00:03:38.400]  十九節有一位出於瓦國的必長大權
[00:03:38.400 --> 00:03:40.600]  另外一段就說
