
[00:00:00.000 --> 00:00:02.660]  今天我們的講道題目
[00:00:02.660 --> 00:00:05.320]  是《大衛的抉擇》
[00:00:05.320 --> 00:00:07.940]  這是一個很中性的題目
[00:00:07.940 --> 00:00:09.620]  你看完之後你不知道我說什麼
[00:00:09.620 --> 00:00:12.960]  我其實是特意選一個中性一點的題目
[00:00:12.960 --> 00:00:13.920]  不要太刺激
[00:00:13.920 --> 00:00:15.000]  刺激得太多
[00:00:15.000 --> 00:00:17.920]  人們現在有很多不知什麼反應
[00:00:17.920 --> 00:00:21.840]  那麼就簡單一點的題目
[00:00:21.840 --> 00:00:23.120]  《大衛的抉擇》
[00:00:23.120 --> 00:00:24.920]  那麼稍後讀下去
[00:00:24.920 --> 00:00:27.800]  其實這篇講道是很故事式的
[00:00:27.800 --> 00:00:30.520]  所以我講很多章不同的聖經
[00:00:30.520 --> 00:00:31.800]  在《撒慕爾記》上
[00:00:31.800 --> 00:00:34.520]  都是環繞著故事講大衛
[00:00:34.520 --> 00:00:36.920]  最後有一節的經文
[00:00:36.920 --> 00:00:38.680]  在中間我挑了出來
[00:00:38.680 --> 00:00:41.080]  在《撒慕爾記》上二十四章十節
[00:00:41.080 --> 00:00:44.120]  如果你其他的事情不記得
[00:00:44.120 --> 00:00:45.640]  就記住這一節經文
[00:00:45.640 --> 00:00:46.880]  到離開的時候
[00:00:46.880 --> 00:00:50.920]  那麼大衛的故事有多少個大概知道的
[00:00:50.920 --> 00:00:52.880]  讓手示意一下
[00:00:52.880 --> 00:00:54.800]  大概知道的
[00:00:54.800 --> 00:00:56.520]  知道有這個人
[00:00:56.520 --> 00:00:58.720]  但是又不太知道那個故事的
[00:00:58.720 --> 00:00:59.680]  也有吧
[00:00:59.680 --> 00:01:02.920]  那麼這個主要記載在《舊約聖經》裡面
[00:01:02.920 --> 00:01:04.840]  《舊約聖經》很好
[00:01:04.840 --> 00:01:06.920]  很好的意思就是
[00:01:06.920 --> 00:01:09.760]  他很多時候是用一些故事的人物
[00:01:09.760 --> 00:01:14.240]  記載了以前真正存在過的人物
[00:01:14.240 --> 00:01:17.840]  他跟神之間的關係是怎麼樣呢?
[00:01:17.840 --> 00:01:19.880]  讓我們對信仰
[00:01:19.880 --> 00:01:21.640]  來去多一點的領會
[00:01:21.640 --> 00:01:23.520]  就不是一些規條式
[00:01:23.520 --> 00:01:25.720]  一二三四五六七條
[00:01:25.720 --> 00:01:27.080]  就很容易忘記
[00:01:27.080 --> 00:01:28.560]  印象不深刻
[00:01:28.560 --> 00:01:29.800]  大衛的故事
[00:01:29.800 --> 00:01:32.280]  如果有些人也不是太清楚的
[00:01:32.280 --> 00:01:34.760]  熟悉的就容忍一下
[00:01:34.760 --> 00:01:38.920]  我就講得稍微多一點點
[00:01:38.920 --> 00:01:40.800]  但是也是很簡單的
[00:01:40.800 --> 00:01:44.560]  首先就是在《撒慕爾記》上
[00:01:44.560 --> 00:01:47.720]  《撒慕爾記》是誰寫的呢?
[00:01:47.720 --> 00:01:49.400]  就是撒慕爾
[00:01:49.400 --> 00:01:50.800]  撒慕爾的先知
[00:01:50.800 --> 00:01:54.360]  他寫下在他那個年代的時候發生一些事情
[00:01:54.360 --> 00:01:57.920]  很主要就是環繞在大衛這個王
[00:01:57.920 --> 00:02:00.040]  和他上一個王
[00:02:00.040 --> 00:02:01.560]  蘇羅的身上
