
[00:00:00.000 --> 00:00:03.840]  那今天早上我要跟弟兄姊妹特別來分享
[00:00:03.840 --> 00:00:06.660]  一個題目叫做觸摸的手
[00:00:06.660 --> 00:00:09.220]  那麼剛才我們在
[00:00:09.220 --> 00:00:13.320]  敬拜的之前我們已經讀過了一段的經文
[00:00:13.320 --> 00:00:16.380]  是在路加福音第八章裡面
[00:00:16.380 --> 00:00:19.960]  那麼特別看到一個血肉的婦人
[00:00:19.960 --> 00:00:23.800]  那我們今天在看這段經文之前呢
[00:00:23.800 --> 00:00:25.860]  我就要先講一下我們昨天
[00:00:25.860 --> 00:00:28.420]  前天在這個金利神
[00:00:28.680 --> 00:00:32.000]  迎會的時候我也跟弟兄姊妹特別分享到
[00:00:32.000 --> 00:00:34.560]  在聖經上面有一個人叫做
[00:00:34.560 --> 00:00:36.860]  是在這一個
[00:00:36.860 --> 00:00:38.660]  格拉森的地方
[00:00:38.660 --> 00:00:40.700]  有一個被鬼附的人
[00:00:40.700 --> 00:00:42.240]  他被神來醫治
[00:00:42.240 --> 00:00:44.540]  那麼當他被神醫治的時候呢
[00:00:44.540 --> 00:00:48.140]  主耶穌就對那個格拉森被鬼附的人說
[00:00:48.140 --> 00:00:51.460]  你去到你的親戚朋友
[00:00:51.460 --> 00:00:53.500]  你去到你的城市裡面
[00:00:53.500 --> 00:00:55.560]  能將神在你身上
[00:00:55.820 --> 00:00:59.660]  所做何等大奇妙的工作能夠述說出來
[00:00:59.660 --> 00:01:05.540]  所以這個人呢回到他自己的家鄉在他的城市裡面他就把神在他身上
[00:01:05.540 --> 00:01:07.340]  所做的工作
[00:01:07.340 --> 00:01:11.180]  所成就的大事能夠告訴許多的人
[00:01:11.180 --> 00:01:12.720]  那麼當這一個人
[00:01:12.720 --> 00:01:16.800]  在那裡分享耶穌在他身上所做的工作的時候
[00:01:16.800 --> 00:01:22.700]  哇整個的城都聽見耶穌所成就的工作哈利路亞
[00:01:22.700 --> 00:01:25.520]  因此呢讓那個城市裡面的人
[00:01:25.760 --> 00:01:27.560]  會非常有一個渴望
[00:01:27.560 --> 00:01:31.660]  他們渴望要來尋找耶穌哈利路亞
[00:01:31.660 --> 00:01:38.060]  那麼因此呢當他們聽見耶穌的事情他們要來想要來
[00:01:38.060 --> 00:01:39.340]  尋找耶穌
[00:01:39.340 --> 00:01:46.000]  就在這一段的經文裡面就講到有一個管會堂的人他的名字叫做耶魯
[00:01:46.000 --> 00:01:50.600]  那麼這個耶魯呢他是一個做官的人
[00:01:50.860 --> 00:01:57.000]  不但是一個做官的人這個管會堂的人也就是好像我們今天在教會裡面在門口
[00:01:57.000 --> 00:02:00.580]  在教會裡面做管理工作的人
[00:02:00.580 --> 00:02:02.120]  那麼這一個人呢
[00:02:02.120 --> 00:02:03.920]  他有一個女兒
[00:02:03.920 --> 00:02:05.700]  他的女兒12歲了
[00:02:05.700 --> 00:02:10.060]  那麼這個女兒12歲的時候就得了一場
[00:02:10.060 --> 00:02:11.840]  不知道叫做什麼病
[00:02:11.840 --> 00:02:16.200]  可是他的病已經病到怎麼樣了已經快要死了
[00:02:16.200 --> 00:02:17.480]  已經快要死了
[00:02:17.480 --> 00:02:19.780]  所以呢這個耶魯第一個想到
[00:02:20.040 --> 00:02:22.600]  就想到說聽見有許多的人
[00:02:22.600 --> 00:02:24.400]  提到這位耶穌基督
[00:02:24.400 --> 00:02:25.680]  在他們中間
